LFVR01000305.1	GCA_001047335.1
NZ_JALMUV010000030.1	GCF_023155275.1
NZ_CP051627.1	GCF_023208015.1
NZ_CP096281.1	GCF_023210535.1
NZ_JALKFU020000114.1	GCF_023242965.2
NZ_JALKFX010000033.1	GCF_023243045.1
NZ_JALKFZ020000140.1	GCF_023243075.1
NZ_CP096907.1	GCF_023273835.1
NZ_JALLPO010000002.1	GCF_023276435.1
NZ_JALLPO010000004.1	GCF_023276435.1
NZ_CP086322.1	GCF_023277745.1
NZ_CP097123.1	GCF_023330645.1
NZ_JAMCCK010000066.1	GCF_023370675.1
NZ_JAMCCK010000010.1	GCF_023370675.1
NZ_JAMFLF010000013.1	GCF_023501965.1
NZ_JAMFLC010000002.1	GCF_023501985.1
NZ_CP097322.1	GCF_023515955.1
NZ_CP097323.1	GCF_023515955.1
NZ_JAMGBG010000019.1	GCF_023516595.1
NZ_JAMGBG010000003.1	GCF_023516595.1
NZ_JAMHJQ010000006.1	GCF_023534745.1
NZ_JAMHJP010000007.1	GCF_023534765.1
NZ_JAMJFM010000043.1	GCF_023544705.1
NZ_JAMJVZ010000048.1	GCF_023554615.1
NZ_JALLIN010000036.1	GCF_023630175.1
NZ_JAMOZN010000047.1	GCF_023667545.1
NZ_JAMOZB010000002.1	GCF_023669545.1
NZ_JAMQAW010000002.1	GCF_023701525.1
NZ_JAJOZC010000001.1	GCF_023701695.1
NZ_CP098437.1	GCF_023702105.1
NZ_CP098485.1	GCF_023702655.1
NZ_JAMAVW010000008.1	GCF_023713605.1
NZ_JAMQQG010000003.1	GCF_023716925.1
NZ_JAMQQF010000021.1	GCF_023716945.1
NZ_JAMRXH010000026.1	GCF_023740735.1
NZ_JAMRXH010000001.1	GCF_023740735.1
NZ_JAMRXG010000001.1	GCF_023740755.1
NZ_JAMRXG010000025.1	GCF_023740755.1
NZ_JAKGSF010000003.1	GCF_023838445.1
NZ_JAMHIV010000006.1	GCF_023897065.1
NZ_JAMHIV010000003.1	GCF_023897065.1
NZ_CP099468.1	GCF_023923245.1
NZ_JAJQKZ010000002.1	GCF_023930305.1
NZ_JAMXMW010000007.1	GCF_024055675.1
NZ_JAMXMV010000009.1	GCF_024055715.1
NZ_JAMXMX010000001.1	GCF_024055725.1
NZ_JAMXMY010000015.1	GCF_024055795.1
NZ_JAHLJR010000134.1	GCF_024105145.1
NZ_JAHLJP010000100.1	GCF_024105195.1
NZ_JAHLJN010000083.1	GCF_024105315.1
NZ_JAHLJO010000080.1	GCF_024105335.1
NZ_JAHLJM010000077.1	GCF_024107415.1
NZ_JAHLJL010000070.1	GCF_024107435.1
NZ_JAHLJK010000071.1	GCF_024107455.1
NZ_JAHLJJ010000057.1	GCF_024107495.1
NZ_JAHLJH010000030.1	GCF_024107515.1
NZ_CP099738.1	GCF_024125735.1
NZ_JAMTCM010000005.1	GCF_024171805.1
NZ_JAMTCL010000050.1	GCF_024171845.1
NZ_JAMTCP010000025.1	GCF_024171885.1
NZ_JAMTCO010000008.1	GCF_024171925.1
NZ_JAMTCV010000011.1	GCF_024171985.1
NZ_JAMZEA010000009.1	GCF_024172125.1
NZ_JAMTCW010000005.1	GCF_024172145.1
NZ_JAMZEB010000002.1	GCF_024172165.1
NZ_JAMZEC010000001.1	GCF_024172185.1
NZ_JANAVF010000015.1	GCF_024213195.1
NZ_JANAVP010000027.1	GCF_024213665.1
NZ_CP100397.1	GCF_024218735.1
NZ_JADBHJ010000032.1	GCF_024268275.1
NZ_CP101140.1	GCF_024297125.1
NZ_JAJQLI010000002.1	GCF_024349065.1
NZ_JAJQLN010000001.1	GCF_024349145.1
NZ_AP026073.1	GCF_024349765.1
NZ_CP101397.1	GCF_024365045.1
NZ_JAMJWF010000006.1	GCF_024435335.1
NZ_JANFNG010000032.1	GCF_024436035.1
NZ_JANFNH010000028.1	GCF_024436055.1
NZ_CP101649.1	GCF_024442315.1
NZ_CP101651.1	GCF_024442335.1
NZ_JAMOLN010000053.1	GCF_024448165.1
NZ_JAMOLM010000022.1	GCF_024448175.1
NZ_JANHKP010000001.1	GCF_024497955.1
NZ_JANHKP010000023.1	GCF_024497955.1
NZ_CP076385.1	GCF_024499195.1
NZ_JAMXPJ020000034.1	GCF_024508375.2
NZ_CP075715.1	GCF_024584805.1
NZ_CP102510.1	GCF_024611995.1
NZ_CP102512.1	GCF_024612015.1
NZ_JANKBZ010000057.1	GCF_024623785.1
NZ_JANBBE010000008.1	GCF_024648825.1
NZ_JANFDE010000012.1	GCF_024648905.1
NZ_CP113910.1	GCF_024701375.2
NZ_JANFAK020000063.1	GCF_024721315.2
NZ_JANFAK020000083.1	GCF_024721315.2
NZ_JANRMN010000006.1	GCF_024742195.1
NZ_JANRMN010000024.1	GCF_024742195.1
NZ_JANUGQ010000039.1	GCF_024756275.1
NZ_CP058273.1	GCF_024760485.1
NZ_MAUN01000016.1	GCF_024761905.1
NZ_CP103871.1	GCF_024927965.1
NZ_CP104098.1	GCF_025163575.1
NZ_JAJAGO010000001.1	GCF_025165795.1
NZ_JAMGSL010000013.1	GCF_025195125.1
NZ_CP104317.1	GCF_025252265.1
NZ_CP073721.1	GCF_025264685.1
NZ_CP073767.1	GCF_025264705.1
NZ_JAJUKK010000008.1	GCF_025271315.1
NZ_CP104697.1	GCF_025398775.1
NZ_JAODTX010000073.1	GCF_025399765.1
NZ_JAODTZ010000077.1	GCF_025399795.1
NZ_JAODUA010000001.1	GCF_025399895.1
NZ_JANEZS010000002.1	GCF_025403355.1
NZ_JAMPTM010000008.1	GCF_025403375.1
NZ_CP104864.1	GCF_025427835.1
NZ_JAODNK010000205.1	GCF_025465275.1
NZ_JAODNK010000049.1	GCF_025465275.1
NZ_JANZYP010000001.1	GCF_025506355.1
NZ_JANZYP010000002.1	GCF_025506355.1
NZ_JAOQAQ010000003.1	GCF_025517595.1
NZ_CP106793.1	GCF_025642135.1
NZ_CP106795.1	GCF_025642175.1
NZ_CP092644.1	GCF_025643355.1
NZ_CP102826.1	GCF_025643595.1
NZ_JAHTIK010000001.1	GCF_025655475.1
NZ_JAOVZD010000012.1	GCF_025716995.1
NZ_CP109672.1	GCF_025908395.1
NZ_JAPCIE010000001.1	GCF_025909865.1
NZ_JAODUN010000008.1	GCF_025960925.1
NZ_BQUN01000095.1	GCF_026008495.1
NZ_BQYM01000012.1	GCF_026008515.1
NZ_CP100416.1	GCF_026017845.1
NZ_CP098740.1	GCF_026167665.1
NZ_JAPFQQ010000014.1	GCF_026183975.1
NZ_JAPFQR010000015.1	GCF_026184015.1
NZ_JACGZJ010000006.1	GCF_026191925.1
CP110818.1	GCF_026210455.1
NZ_JANADG010000003.1	GCF_026229605.1
NZ_JANADG010000001.1	GCF_026229605.1
NZ_JAPJDL010000033.1	GCF_026242055.1
NZ_JAPJDM010000003.1	GCF_026242095.1
NZ_JAPHNL010000263.1	GCF_026274175.1
NZ_JAPEQR010000001.1	GCF_026339515.1
NZ_JAPEQR010000002.1	GCF_026339515.1
NZ_JAPEQQ010000003.1	GCF_026339555.1
NZ_JAPEQO010000001.1	GCF_026339575.1
NZ_JAPEQO010000003.1	GCF_026339575.1
NZ_JAPEQM010000002.1	GCF_026339595.1
NZ_JAPEQN010000001.1	GCF_026339615.1
NZ_JAPEQK010000001.1	GCF_026339635.1
NZ_JAPEQL010000001.1	GCF_026339655.1
NZ_JAPEQI010000001.1	GCF_026339705.1
NZ_JAPEQF010000001.1	GCF_026339755.1
NZ_JAPEQE010000010.1	GCF_026339775.1
NZ_JAPEQC010000001.1	GCF_026339795.1
NZ_JAPEQD010000001.1	GCF_026339815.1
NZ_JAPEPZ010000001.1	GCF_026339875.1
NZ_JAPEPW010000001.1	GCF_026339955.1
NZ_JAPEPS010000001.1	GCF_026340005.1
NZ_JAPEPR010000001.1	GCF_026340055.1
NZ_JAPEPO010000001.1	GCF_026340095.1
NZ_JAPEPL010000001.1	GCF_026340135.1
NZ_JAPEPP010000001.1	GCF_026340175.1
NZ_JAPEPJ010000004.1	GCF_026340255.1
NZ_JAPEPH010000001.1	GCF_026340285.1
NZ_JAPEPI010000005.1	GCF_026340305.1
NZ_JAPEPG010000002.1	GCF_026340395.1
NZ_JAPEPG010000001.1	GCF_026340395.1
NZ_JAPEPD010000003.1	GCF_026340475.1
NZ_JAPEPB010000001.1	GCF_026340565.1
NZ_JAPEOZ010000001.1	GCF_026340655.1
NZ_JAPEOV010000001.1	GCF_026340885.1
NZ_JAPEOT010000001.1	GCF_026340925.1
NZ_JAPEON010000003.1	GCF_026341115.1
NZ_JAPEOR010000001.1	GCF_026341125.1
NZ_JAPEOP010000001.1	GCF_026341135.1
NZ_JAIFZO010000002.1	GCF_026341275.1
NZ_JAPEOM010000004.1	GCF_026341295.1
NZ_JAPEOM010000001.1	GCF_026341295.1
NZ_JAPEOK010000001.1	GCF_026341515.1
NZ_JAPEOL010000003.1	GCF_026341545.1
NZ_JAPEOJ010000002.1	GCF_026341595.1
NZ_JAPEOA010000001.1	GCF_026341715.1
NZ_JAPEOB010000001.1	GCF_026341775.1
NZ_JAPEOB010000004.1	GCF_026341775.1
NZ_JAPENZ010000001.1	GCF_026341795.1
NZ_JAPENV010000003.1	GCF_026341875.1
NZ_JAPENR010000019.1	GCF_026341955.1
NZ_JAPENP010000002.1	GCF_026341995.1
NZ_JAPENL010000001.1	GCF_026342015.1
NZ_JAPENO010000003.1	GCF_026342055.1
NZ_JAPENK010000002.1	GCF_026342075.1
NZ_JAPENN010000002.1	GCF_026342085.1
NZ_JAPENJ010000003.1	GCF_026342115.1
NZ_JAPENI010000001.1	GCF_026342135.1
NZ_JAPENH010000001.1	GCF_026342155.1
NZ_JAPENC010000003.1	GCF_026342275.1
NZ_JAPEMZ010000001.1	GCF_026342285.1
NZ_JAPEMY010000001.1	GCF_026342335.1
NZ_JAPEMX010000002.1	GCF_026342365.1
NZ_JAPEMW010000001.1	GCF_026342395.1
NZ_JAPEMT010000002.1	GCF_026342435.1
NZ_JAPEMR010000012.1	GCF_026342455.1
NZ_JAPEMQ010000004.1	GCF_026342475.1
NZ_JAPEMS010000001.1	GCF_026342495.1
NZ_JAPEMP010000001.1	GCF_026342595.1
NZ_JAPEML010000002.1	GCF_026342695.1
NZ_JAPEMK010000001.1	GCF_026342745.1
NZ_JAPEMJ010000001.1	GCF_026342795.1
NZ_JAPEMH010000001.1	GCF_026342895.1
NZ_JAPEMD010000004.1	GCF_026343035.1
NZ_JAPEME010000005.1	GCF_026343055.1
NZ_JAPEMB010000001.1	GCF_026343125.1
NZ_JAPEMA010000003.1	GCF_026343185.1
NZ_JAPELY010000001.1	GCF_026343295.1
NZ_JAPELX010000001.1	GCF_026343335.1
NZ_JAPELW010000001.1	GCF_026343345.1
NZ_JAPELV010000002.1	GCF_026343375.1
NZ_JAPELU010000002.1	GCF_026343385.1
NZ_JAPELT010000002.1	GCF_026343435.1
NZ_JAPELS010000002.1	GCF_026343535.1
NZ_JAPELR010000004.1	GCF_026343545.1
NZ_JAPELP010000001.1	GCF_026343615.1
NZ_JAPELQ010000003.1	GCF_026343635.1
NZ_JAPELO010000001.1	GCF_026343645.1
NZ_JAPELN010000001.1	GCF_026343715.1
NZ_JAOWCB010000005.1	GCF_026420845.1
NZ_CP084204.1	GCF_026427415.1
NZ_JAPNPA010000003.1	GCF_026627225.1
NZ_JAPNLO010000015.1	GCF_026627245.1
NZ_JAPNLI010000005.1	GCF_026627485.1
NZ_JAPNLK010000122.1	GCF_026627505.1
NZ_CP113262.1	GCF_026642235.1
NZ_JAPPRL010000004.1	GCF_026672605.1
NZ_CP101750.1	GCF_026810505.1
NZ_JAPUDN010000031.1	GCF_026965885.1
NZ_CP114413.1	GCF_027270315.1
NZ_JAPWHT010000010.1	GCF_027270795.1
NZ_JAPWHU010000024.1	GCF_027270975.1
NZ_DAHVQP010000114.1	GCF_027317685.1
NZ_DAHVSH010000175.1	GCF_027324685.1
NZ_DAHWEF010000156.1	GCF_027326485.1
NZ_JAPZBJ010000002.1	GCF_027460215.1
NZ_JAPZBC010000001.1	GCF_027460265.1
NZ_CP114903.1	GCF_027497255.1
NZ_CP114205.1	GCF_027497495.1
NZ_JAPZVN010000001.1	GCF_027533845.1
NZ_JAMYEN010000221.1	GCF_027570385.1
NZ_CP115301.1	GCF_027625935.1
NZ_CP115450.1	GCF_027627435.1
NZ_JAQFWQ010000001.1	GCF_027706725.1
NZ_JAQGLA010000004.1	GCF_027853915.1
NZ_JAQGLB010000006.1	GCF_027853965.1
NZ_JAQGLB010000014.1	GCF_027853965.1
JAQIOU010000002.1	GCF_027889795.1
NZ_JAQISL010000032.1	GCF_027920075.1
NZ_BSEV01000009.1	GCF_027922005.1
NZ_BSDI01000017.1	GCF_027923225.1
NZ_AP026976.1	GCF_027924345.1
NZ_AP026978.1	GCF_027924405.1
NZ_BNEF01000003.1	GCF_027925645.1
NZ_JAAGKO020000014.1	GCF_027947535.2
NZ_JABXJJ020000009.1	GCF_027947545.2
NZ_CP116353.1	GCF_028198125.1
NZ_JAQKPV010000012.1	GCF_028200735.1
NZ_JAQMYP010000056.1	GCF_028369295.1
NZ_JAQMYP010000059.1	GCF_028369295.1
NZ_JAQOSL010000017.1	GCF_028401405.1
NZ_JAQOSL010000016.1	GCF_028401405.1
NZ_CP097263.1	GCF_028622115.1
NZ_JANCPR020000025.1	GCF_028657195.3
NZ_JANCPR020000047.1	GCF_028657195.3
NZ_CP117866.1	GCF_028736035.1
NZ_JARBGU010000048.1	GCF_028863315.1
NZ_JARBGS010000051.1	GCF_028863365.1
NZ_CP118527.1	GCF_028885415.1
NZ_CP118615.1	GCF_028993575.1
NZ_JARACH010000024.1	GCF_029087445.1
NZ_JAPDOH010000001.1	GCF_029125965.1
NZ_CP119144.1	GCF_029167025.1
NZ_CP119149.1	GCF_029167585.1
NZ_CP119147.1	GCF_029167645.1
NZ_JARHTP010000013.1	GCF_029223485.1
NZ_JARHTQ010000006.1	GCF_029223525.1
NZ_JARJBC010000025.1	GCF_029269905.1
NZ_JARJBE010000018.1	GCF_029269915.1
NZ_JARKIN010000001.1	GCF_029351045.1
NZ_CP120210.1	GCF_029369745.1
NZ_JAJNMN010000001.1	GCF_029428735.1
NZ_CP120744.1	GCF_029581315.1
NZ_CP120861.1	GCF_029581435.1
NZ_CP120862.1	GCF_029581475.1
NZ_JARUBF010000001.1	GCF_029626025.1
NZ_JARUBG010000001.1	GCF_029626075.1
NZ_JARUBK010000001.1	GCF_029626165.1
NZ_JARUBP010000001.1	GCF_029626225.1
NZ_JAQQFV010000002.1	GCF_029675105.1
NZ_JAQQGQ010000018.1	GCF_029759805.1
NZ_JARVKT010000001.1	GCF_029809455.1
NZ_JARVKY010000006.1	GCF_029813785.1
NZ_JARVKV010000046.1	GCF_029813835.1
NZ_JARWBG010000021.1	GCF_029846775.1
NZ_JARWQP010000498.1	GCF_029867355.1
NZ_JARWQQ010000304.1	GCF_029867385.1
NZ_JARWRB010000182.1	GCF_029867615.1
NZ_JARWRK010000424.1	GCF_029867705.1
NZ_JARWRN010000867.1	GCF_029867765.1
NZ_JARWRZ010000269.1	GCF_029867925.1
NZ_JARWSC010000609.1	GCF_029867985.1
NZ_JARWSE010000670.1	GCF_029868045.1
NZ_JARWNN010000723.1	GCF_029868145.1
NZ_JARWNQ010000631.1	GCF_029868245.1
NZ_JARWOA010000550.1	GCF_029868435.1
NZ_JARWOD010000177.1	GCF_029868505.1
NZ_JARWOE010000529.1	GCF_029868525.1
NZ_JARWOH010000168.1	GCF_029868565.1
NZ_JARWOJ010000189.1	GCF_029868625.1
NZ_JARWOU010000102.1	GCF_029868845.1
NZ_JARWOU010000111.1	GCF_029868845.1
NZ_JARWOX010000152.1	GCF_029868895.1
NZ_JARWPC010000400.1	GCF_029869045.1
NZ_JARWPK010000471.1	GCF_029869165.1
NZ_JARWQD010000068.1	GCF_029869545.1
NZ_JARWQF010000638.1	GCF_029869565.1
NZ_JARWQI010000703.1	GCF_029869645.1
NZ_JARWQK010000293.1	GCF_029869705.1
NZ_JARWQR010000652.1	GCF_029869745.1
NZ_JARWRG010000426.1	GCF_029869765.1
NZ_JARZAE010000004.1	GCF_029892095.1
NZ_JARZAG010000020.1	GCF_029892155.1
NZ_JARXVH010000001.1	GCF_029892565.1
NZ_JARXVH010000015.1	GCF_029892565.1
NZ_JARZAI010000034.1	GCF_029893355.1
NZ_JARZAI010000005.1	GCF_029893355.1
NZ_JARXYX010000004.1	GCF_029893585.1
NZ_JARXYI010000001.1	GCF_029893625.1
NZ_JARXYP010000002.1	GCF_029893805.1
NZ_JARXXY010000003.1	GCF_029893845.1
NZ_JARXYH010000001.1	GCF_029893855.1
NZ_JARXYN010000002.1	GCF_029893905.1
NZ_JARXYO010000001.1	GCF_029893925.1
NZ_JARXYQ010000002.1	GCF_029894045.1
NZ_JARXYD010000019.1	GCF_029894145.1
NZ_JARXYM010000001.1	GCF_029894325.1
NZ_JARXYK010000001.1	GCF_029894355.1
NZ_JARXYL010000001.1	GCF_029894375.1
NZ_JARXZB010000001.1	GCF_029894405.1
NZ_JARXZB010000006.1	GCF_029894405.1
NZ_JARXYJ010000001.1	GCF_029894425.1
NZ_JASAMB010000015.1	GCF_029948125.1
NZ_JASBOE010000022.1	GCF_029958285.1
NZ_JASCXS010000020.1	GCF_029967545.1
NZ_JASCIS010000039.1	GCF_029968015.1
NZ_JASCIS010000060.1	GCF_029968015.1
NZ_JASCIQ010000042.1	GCF_029968035.1
NZ_JASCIR010000046.1	GCF_029968095.1
NZ_JASCSI010000021.1	GCF_030010455.1
NZ_JASCSJ010000021.1	GCF_030010495.1
NZ_JASCXL010000083.1	GCF_030010595.1
NZ_JASCXO010000003.1	GCF_030010605.1
NZ_JASCXK010000010.1	GCF_030010655.1
NZ_JASEND010000012.1	GCF_030027225.1
NZ_JASEND010000005.1	GCF_030027225.1
NZ_CP124542.1	GCF_030028615.1
NZ_CP124863.1	GCF_030028635.1
NZ_JASGNH010000005.1	GCF_030056425.1
NZ_JASHLT010000054.1	GCF_030056615.1
NZ_JASITC010000011.1	GCF_030063405.1
NZ_JASITA010000049.1	GCF_030063415.1
NZ_CP116413.1	GCF_030064675.1
NZ_JAOTIK010000002.1	GCF_030116705.1
NZ_JASKMS010000001.1	GCF_030124145.1
NZ_JASKMT010000001.1	GCF_030124175.1
NZ_JASKYV010000009.1	GCF_030135485.1
NZ_JASKYV010000012.1	GCF_030135485.1
NZ_JAPZLD010000006.1	GCF_030182635.1
NZ_JAPZLD010000026.1	GCF_030182635.1
NZ_JASITI010000006.1	GCF_030238025.1
NZ_BSQG01000004.1	GCF_030268225.1
NZ_BSRN01000036.1	GCF_030268625.1
NZ_BSRN01000067.1	GCF_030268625.1
NZ_BSRP01000083.1	GCF_030268665.1
NZ_BSRP01000023.1	GCF_030268665.1
NZ_BSRQ01000003.1	GCF_030268685.1
NZ_BSRX01000011.1	GCF_030268825.1
NZ_BSSA01000035.1	GCF_030268885.1
NZ_BSSF01000004.1	GCF_030268985.1
NZ_BSSH01000020.1	GCF_030269025.1
NZ_BSSI01000019.1	GCF_030269045.1
NZ_BSTB01000011.1	GCF_030269285.1
NZ_BSTC01000013.1	GCF_030269305.1
NZ_BSTD01000010.1	GCF_030269325.1
NZ_BSTF01000029.1	GCF_030269365.1
NZ_BSTF01000001.1	GCF_030269365.1
NZ_BSTJ01000004.1	GCF_030269445.1
NZ_BSTK01000004.1	GCF_030269465.1
NZ_BSTL01000031.1	GCF_030269485.1
NZ_BSTN01000027.1	GCF_030269545.1
NZ_BSTR01000010.1	GCF_030269645.1
NZ_BSTU01000001.1	GCF_030269705.1
NZ_JASCXJ010000035.1	GCF_030271535.1
NZ_CP127296.1	GCF_030285645.1
NZ_CP127386.1	GCF_030286025.1
NZ_JASVWF010000005.1	GCF_030286555.1
NZ_JASVWB010000003.1	GCF_030287445.1
NZ_AP018448.1	GCF_030294945.1
NZ_VEXL01000044.1	GCF_030400305.1
NZ_JAUEPF010000040.1	GCF_030403535.1
NZ_JAUEPC010000026.1	GCF_030403545.1
NZ_JAUEPB010000098.1	GCF_030403595.1
NZ_JAUEPA010000043.1	GCF_030403635.1
NZ_JAQMWP010000017.1	GCF_030403745.1
NZ_JAUEPL010000020.1	GCF_030406405.1
NZ_JAUEPK010000005.1	GCF_030406415.1
NZ_CP129125.1	GCF_030406845.1
NZ_CP129126.1	GCF_030406865.1
NZ_CP129137.1	GCF_030406905.1
NZ_CP076543.1	GCF_030440515.1
NZ_JARYZJ010000036.1	GCF_030449695.1
NZ_CP129614.1	GCF_030486425.1
NZ_CP129915.1	GCF_030490905.1
NZ_JASTLB010000001.1	GCF_030499535.1
NZ_CP098783.1	GCF_030506235.1
NZ_CP130487.1	GCF_030520245.1
NZ_CP050436.1	GCF_030544505.1
NZ_CP130630.1	GCF_030551255.1
NZ_JAMOAO010000001.1	GCF_030555055.1
NZ_JAUJFK010000011.1	GCF_030709715.1
NZ_CP120983.1	GCF_030719215.1
NZ_CP120992.1	GCF_030719275.1
NZ_CP120998.1	GCF_030719295.1
NZ_JAUQWH010000095.1	GCF_030757795.1
NZ_JASERM010000007.1	GCF_030766905.1
NZ_JASERK010000006.1	GCF_030766925.1
NZ_JASERL010000002.1	GCF_030766935.1
NZ_JASERI010000406.1	GCF_030766965.1
NZ_JASERJ010000035.1	GCF_030766985.1
NZ_JASITE010000022.1	GCF_030767025.1
NZ_JASITF010000005.1	GCF_030767035.1
NZ_JAURUE010000001.1	GCF_030803745.1
NZ_JAUSVA010000002.1	GCF_030813695.1
NZ_JAUSVD010000002.1	GCF_030814495.1
NZ_JAUSWC010000016.1	GCF_030815045.1
NZ_JAUSWW010000002.1	GCF_030815415.1
NZ_JAUSXW010000001.1	GCF_030816315.1
NZ_JAUSXZ010000001.1	GCF_030816375.1
NZ_JAUSYI010000001.1	GCF_030816745.1
NZ_JAUSYP010000001.1	GCF_030816955.1
NZ_JAUSYR010000004.1	GCF_030816995.1
NZ_JAUSYT010000001.1	GCF_030817035.1
NZ_JAUSZI010000002.1	GCF_030817415.1
NZ_JAUSZL010000004.1	GCF_030817535.1
NZ_JAUSZM010000003.1	GCF_030817655.1
NZ_JAUSZW010000004.1	GCF_030817975.1
NZ_CP121271.1	GCF_030863865.1
NZ_JAPSIW010000067.1	GCF_031178505.1
NZ_JAVDWW010000013.1	GCF_031457585.1
NZ_JAVDYB010000001.1	GCF_031458235.1
NZ_CP134203.1	GCF_031597775.1
NZ_JACKQO010000006.1	GCF_031625215.1
NZ_JACKQP010000005.1	GCF_031625235.1
NZ_CP134500.1	GCF_031760065.1
NZ_CP134493.1	GCF_031767055.1
NZ_JAVREK010000020.1	GCF_031845375.1
NZ_JAVREN010000006.1	GCF_031845405.1
NZ_JAVREO010000003.1	GCF_031845445.1
NZ_JAVRES010000006.1	GCF_031845505.1
NZ_JAVRET010000008.1	GCF_031845585.1
NZ_JAVREX010000013.1	GCF_031845605.1
NZ_JAVREX010000007.1	GCF_031845605.1
NZ_JAVREW010000017.1	GCF_031845625.1
NZ_JAVREZ010000003.1	GCF_031845645.1
NZ_JAVREY010000002.1	GCF_031845665.1
NZ_JAVRFF010000001.1	GCF_031845745.1
NZ_JAVRFF010000042.1	GCF_031845745.1
JAVRFG010000047.1	GCF_031845765.1
NZ_JAVRFH010000021.1	GCF_031845825.1
NZ_JAVRFJ010000003.1	GCF_031845845.1
NZ_JAVRFD010000038.1	GCF_031845865.1
NZ_JAVSCF010000007.1	GCF_031932565.1
NZ_JAVSCF010000053.1	GCF_031932565.1
NZ_JASNFO010000044.1	GCF_032027725.1
NZ_CP134875.1	GCF_032105745.1
NZ_CP134877.1	GCF_032110285.1
NZ_JASKMB010000021.1	GCF_032191095.1
NZ_JAVTLL010000005.1	GCF_032248415.1
NZ_JASTTH010000011.1	GCF_032248595.1
NZ_JASTTG010000012.1	GCF_032248615.1
NZ_JASTTK010000002.1	GCF_032248675.1
NZ_JASTTK010000027.1	GCF_032248675.1
NZ_JANUXO010000001.1	GCF_032335455.1
NZ_JAWCTQ010000001.1	GCF_032423885.1
NZ_JAUPWM010000067.1	GCF_032436795.1
NZ_JAUPWM010000002.1	GCF_032436795.1
NZ_JAWDJQ010000072.1	GCF_032465575.1
NZ_JARAKF010000001.1	GCF_032595465.1
NZ_CP122458.1	GCF_032598905.1
NZ_JAUYWK010000059.1	GCF_032656605.1
NZ_JAWLJX010000009.1	GCF_033042415.1
NZ_JAWLKA010000046.1	GCF_033042455.1
NZ_JAWMAJ010000261.1	GCF_033100835.1
NZ_CP137002.1	GCF_033109485.1
NZ_JAWLSB010000004.1	GCF_033142445.1
NZ_JAWLSC010000024.1	GCF_033142465.1
NZ_CP137524.1	GCF_033216215.1
NZ_BNDU01000010.1	GCF_033238585.1
NZ_CP137549.1	GCF_033335955.1
NZ_CP137573.1	GCF_033343995.1
NZ_JAOBTQ010000001.1	GCF_033366695.1
NZ_JAOBTR010000002.1	GCF_033366705.1
NZ_JAOBTP010000001.1	GCF_033366815.1
NZ_CP137734.1	GCF_033406955.1
NZ_JANCLW010000001.1	GCF_033433935.1
NZ_JAWQJT010000002.1	GCF_033441515.1
NZ_JAVFVX010000019.1	GCF_033441795.1
NZ_JAWQRR010000051.1	GCF_033446045.1
NZ_JARGEG010000039.1	GCF_033660025.1
NZ_JAWJZF010000517.1	GCF_033764205.1
NZ_JAMYEJ010000024.1	GCF_033790865.1
NZ_JAMYEK010000021.1	GCF_033790905.1
NZ_JARAUL010000031.1	GCF_033792045.1
NZ_JARAUM010000014.1	GCF_033792065.1
NZ_JARAUN010000059.1	GCF_033792085.1
NZ_JARAUO010000033.1	GCF_033792105.1
NZ_JARAUV010000025.1	GCF_033792205.1
NZ_JARAUW010000071.1	GCF_033792395.1
NZ_JARAUX010000024.1	GCF_033792405.1
NZ_JARAVT010000018.1	GCF_033792905.1
NZ_JARAVX010000004.1	GCF_033792965.1
NZ_JARAVZ010000008.1	GCF_033793005.1
NZ_JARAVY010000026.1	GCF_033793015.1
NZ_JARAVY010000008.1	GCF_033793015.1
NZ_JARAWA010000008.1	GCF_033793045.1
NZ_JARAWC010000031.1	GCF_033793055.1
NZ_JARAWC010000003.1	GCF_033793055.1
NZ_JARAWC010000001.1	GCF_033793055.1
NZ_JARAWB010000040.1	GCF_033793065.1
NZ_JARAWG010000037.1	GCF_033793185.1
NZ_JARAWI010000039.1	GCF_033793205.1
NZ_JARAWH010000034.1	GCF_033793215.1
NZ_JARAWJ010000048.1	GCF_033793265.1
NZ_JARAWK010000041.1	GCF_033793285.1
NZ_JARAWN010000047.1	GCF_033793305.1
NZ_JARAWO010000026.1	GCF_033793365.1
NZ_JARAWP010000019.1	GCF_033793405.1
NZ_JARAWP010000006.1	GCF_033793405.1
NZ_JARAWP010000030.1	GCF_033793405.1
NZ_JARAWY010000009.1	GCF_033793635.1
NZ_JARAXF010000007.1	GCF_033793745.1
NZ_JARAXF010000016.1	GCF_033793745.1
NZ_JARAXJ010000021.1	GCF_033793825.1
NZ_JARAXO010000008.1	GCF_033793905.1
NZ_JARAXR010000006.1	GCF_033793985.1
NZ_JARAXQ010000006.1	GCF_033793995.1
NZ_JARAXU010000113.1	GCF_033794065.1
NZ_JARAXW010000008.1	GCF_033794085.1
NZ_JARAXV010000006.1	GCF_033794105.1
NZ_JARAXX010000001.1	GCF_033794145.1
NZ_JARAYD010000057.1	GCF_033794255.1
NZ_JARAYG010000007.1	GCF_033794285.1
NZ_JARAYH010000015.1	GCF_033794325.1
NZ_JARAYJ010000002.1	GCF_033794345.1
NZ_JARAYJ010000011.1	GCF_033794345.1
NZ_JARAYL010000025.1	GCF_033794405.1
NZ_JARGEE010000396.1	GCF_033794485.1
NZ_JARGEE010000391.1	GCF_033794485.1
