Organism	Scaffold	Start	End	Score	SCO5086	SCO5087	SCO5088	SCO5089	assembly_file	representative	dereplication_status
Streptomyces sp. SNU607	NZ_CP050436.1	5550025	5558801	7.1372	1	1	1	1	GCF_030544505.1_ASM3054450v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. B21-104	NZ_CP122368.1	1262113	1270892	7.1369	1	1	1	1	GCF_036873195.1_ASM3687319v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. P9-2B-1	NZ_CP129125.1	1221951	1230727	4.0967	1	1	0	1	GCF_030406845.1_ASM3040684v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. JH010	NZ_JAJNMN010000001.1	1196157	1204934	4.0967	1	1	0	1	GCF_029428735.1_ASM2942873v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. KA12	NZ_JAPDOH010000001.1	3583239	3592015	7.1371	1	1	1	1	GCF_029125965.1_ASM2912596v1_genomic.fna.gz	GCF_042740335.1_ASM4274033v1_genomic.fna.gz	redundant
Streptomyces sp. SL294	NZ_JAPPRL010000004.1	4687244	4696021	4.0969	1	1	0	1	GCF_026672605.1_ASM2667260v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. JV181	NZ_JAQYXF010000248.1	328879	337655	7.137	1	1	1	1	GCF_036322385.1_ASM3632238v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. ME02-7008A	NZ_JARAXQ010000006.1	328761	337537	7.137	1	1	1	1	GCF_033793995.1_ASM3379399v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. ME02-7008A-1	NZ_JARAXR010000006.1	182291	191067	7.137	1	1	1	1	GCF_033793985.1_ASM3379398v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. B21-089	NZ_JARUMX010000001.1	1315340	1324117	7.1369	1	1	1	1	GCF_036898705.1_ASM3689870v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. B21-088	NZ_JARUMY010000001.1	1268001	1276777	4.0969	1	1	0	1	GCF_036898735.1_ASM3689873v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC095614	NZ_JBEOTG010000026.1	44872	53648	7.1369	1	1	1	1	GCF_040303405.1_ASM4030340v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC002238	NZ_JBEOWV010000008.1	181608	190377	7.1371	1	1	1	1	GCF_040296225.1_ASM4029622v1_genomic.fna.gz	GCF_042740335.1_ASM4274033v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001725	NZ_JBEOZL010000005.1	56441	65217	7.1369	1	1	1	1	GCF_040298065.1_ASM4029806v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001616	NZ_JBEOZX010000044.1	44804	53580	7.1369	1	1	1	1	GCF_040298325.1_ASM4029832v1_genomic.fna.gz	GCF_042740335.1_ASM4274033v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC000341	NZ_JBEPEC010000003.1	182327	191104	7.137	1	1	1	1	GCF_040300585.1_ASM4030058v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC005317	NZ_JBEXGI010000012.1	139554	148330	4.0969	1	1	0	1	GCF_040607235.1_ASM4060723v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC004981	NZ_JBEXJD010000009.1	136076	144851	7.137	1	1	1	1	GCF_040608915.1_ASM4060891v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC004735	NZ_JBEXJQ010000005.1	181701	190476	7.1372	1	1	1	1	GCF_040609195.1_ASM4060919v1_genomic.fna.gz	GCF_042740335.1_ASM4274033v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC019922	NZ_JBEYAN010000011.1	56352	65129	7.1371	1	1	1	1	GCF_040631715.1_ASM4063171v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC019826	NZ_JBEYAV010000001.1	182293	191069	4.0969	1	1	0	1	GCF_040631865.1_ASM4063186v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC013130	NZ_JBEYDK010000021.1	44763	53540	7.1371	1	1	1	1	GCF_040633275.1_ASM4063327v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC012842	NZ_JBEYDR010000005.1	182205	190982	7.1371	1	1	1	1	GCF_040633505.1_ASM4063350v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC012617	NZ_JBEYDV010000005.1	182247	191024	7.1371	1	1	1	1	GCF_040633595.1_ASM4063359v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC012486	NZ_JBEYDX010000002.1	182216	190992	7.1371	1	1	1	1	GCF_040633635.1_ASM4063363v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC012473	NZ_JBEYDZ010000014.1	73603	82380	7.1369	1	1	1	1	GCF_040633695.1_ASM4063369v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC007168	NZ_JBEYEZ010000005.1	182225	191002	7.1372	1	1	1	1	GCF_040703615.1_ASM4070361v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC006682	NZ_JBEYJL010000010.1	74064	82841	7.1372	1	1	1	1	GCF_040703935.1_ASM4070393v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC013087	NZ_JBEYKJ010000046.1	42434	51211	4.0969	1	1	0	1	GCF_040633405.1_ASM4063340v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC013082	NZ_JBEYKK010000013.1	182239	191015	4.0967	1	1	0	1	GCF_040633375.1_ASM4063337v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC047804	NZ_JBEYSB010000013.1	67843	76619	7.1369	1	1	1	1	GCF_040642495.1_ASM4064249v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC047802	NZ_JBEYSD010000002.1	242129	250906	4.0967	1	1	0	1	GCF_040642515.1_ASM4064251v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC046409	NZ_JBEYZL010000003.1	321630	330406	7.137	1	1	1	1	GCF_040646055.1_ASM4064605v1_genomic.fna.gz	GCF_042740335.1_ASM4274033v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC048556	NZ_JBEZIL010000020.1	38549	47324	7.1369	1	1	1	1	GCF_040650995.1_ASM4065099v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC048215	NZ_JBEZMH010000002.1	181446	190222	7.137	1	1	1	1	GCF_040652575.1_ASM4065257v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC048212	NZ_JBEZMI010000003.1	292269	301046	7.1369	1	1	1	1	GCF_040652615.1_ASM4065261v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC048210	NZ_JBEZMJ010000006.1	182358	191135	7.1371	1	1	1	1	GCF_040652595.1_ASM4065259v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC048209	NZ_JBEZMK010000037.1	38721	47498	4.0969	1	1	0	1	GCF_040652695.1_ASM4065269v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC020196	NZ_JBFAFB010000050.1	18213	26989	7.1372	1	1	1	1	GCF_040642315.1_ASM4064231v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC049952	NZ_JBFALU010000015.1	136067	144844	4.0967	1	1	0	1	GCF_040656275.1_ASM4065627v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC049950	NZ_JBFALW010000020.1	7777	16554	4.0965	1	1	0	1	GCF_040656335.1_ASM4065633v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC053808	NZ_JBFASE010000002.1	181741	190510	7.137	1	1	1	1	GCF_040677585.1_ASM4067758v1_genomic.fna.gz	GCF_042740335.1_ASM4274033v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC053741	NZ_JBFASN010000012.1	71701	80478	7.1371	1	1	1	1	GCF_040677815.1_ASM4067781v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052503	NZ_JBFAUG010000014.1	64183	72960	7.1369	1	1	1	1	GCF_040679115.1_ASM4067911v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052196	NZ_JBFAVL010000026.1	44826	53602	7.1371	1	1	1	1	GCF_040679775.1_ASM4067977v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052196	NZ_JBFAVL010000108.1	34	2944	5.1092	0	1	1	1	GCF_040679775.1_ASM4067977v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	readded_by_content
Streptomyces sp. NPDC052071	NZ_JBFAWQ010000005.1	329527	338302	7.1372	1	1	1	1	GCF_040680415.1_ASM4068041v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC093023	NZ_JBFBFE010000006.1	328914	337691	7.1371	1	1	1	1	GCF_040684015.1_ASM4068401v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC088922	NZ_JBFBHT010000003.1	182256	191033	7.1369	1	1	1	1	GCF_040685335.1_ASM4068533v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC086779	NZ_JBFBJH010000006.1	139720	148496	7.1371	1	1	1	1	GCF_040686015.1_ASM4068601v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NRRL B-24051	NZ_JOAE01000008.1	182294	191070	7.1371	1	1	1	1	GCF_000720405.1_ASM72040v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. SID7815	NZ_WWHD01000001.1	6098771	6107548	7.1372	1	1	1	1	GCF_009862365.1_ASM986236v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001530	NZ_JBIAVS010000003.1	3812	7584	6.1471	1	1	1	1	GCF_042894545.1_ASM4289454v1_genomic.fna.gz	GCF_042894545.1_ASM4289454v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056039	NZ_JBHJXA010000005.1	96890	126150	6.1358	1	1	1	1	GCF_042267285.1_ASM4226728v1_genomic.fna.gz	GCF_042267285.1_ASM4226728v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. R41	NZ_CP163443.1	8306876	8310688	6.1459	1	1	1	1	GCF_041053055.1_ASM4105305v1_genomic.fna.gz	GCF_041053055.1_ASM4105305v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC008137	NZ_JBIBHN010000043.1	1303	29885	6.1352	1	1	1	1	GCF_042957035.1_ASM4295703v1_genomic.fna.gz	GCF_042957035.1_ASM4295703v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC048111	NZ_JBIDBD010000039.1	411	3230	5.1055	0	1	1	1	GCF_043202815.1_ASM4320281v1_genomic.fna.gz	GCF_043202815.1_ASM4320281v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. CRCS-T-1	NZ_CP101651.1	3613728	3643147	6.1358	1	1	1	1	GCF_024442335.1_ASM2444233v1_genomic.fna.gz	GCF_024442335.1_ASM2444233v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC046759	NZ_JBEYYJ010000021.1	48137	51939	6.1446	1	1	1	1	GCF_040645475.1_ASM4064547v1_genomic.fna.gz	GCF_040645475.1_ASM4064547v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC046759	NZ_JBEYYJ010000001.1	428421	431250	5.1063	0	1	1	1	GCF_040645475.1_ASM4064547v1_genomic.fna.gz	GCF_040645475.1_ASM4064547v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC091389	NZ_JBIVTY010000005.1	246673	250492	6.1458	1	1	1	1	GCF_044759235.1_ASM4475923v1_genomic.fna.gz	GCF_044768845.1_ASM4476884v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC091281	NZ_JBIVUY010000011.1	231300	235112	6.1458	1	1	1	1	GCF_044757425.1_ASM4475742v1_genomic.fna.gz	GCF_044757425.1_ASM4475742v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC091025	NZ_JBIVWP010000001.1	190225	194044	6.1458	1	1	1	1	GCF_044768845.1_ASM4476884v1_genomic.fna.gz	GCF_044768845.1_ASM4476884v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC050564	NZ_JBITGS010000036.1	3262	7009	6.1457	1	1	1	1	GCF_044457265.1_ASM4445726v1_genomic.fna.gz	GCF_044457265.1_ASM4445726v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC050564	NZ_JBITGS010000016.1	168942	178280	7.1438	1	1	1	2	GCF_044457265.1_ASM4445726v1_genomic.fna.gz	GCF_044457265.1_ASM4445726v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. GQFP	NZ_CP089312.1	2030532	2034327	6.1454	1	1	1	1	GCF_021545335.1_ASM2154533v1_genomic.fna.gz	GCF_021545335.1_ASM2154533v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC060000	NZ_JBHWUU010000045.1	18852	22612	6.1452	1	1	1	1	GCF_042737375.1_ASM4273737v1_genomic.fna.gz	GCF_042737375.1_ASM4273737v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC051917	NZ_JBFAXW010000040.1	68343	73520	7.1603	1	1	1	1	GCF_040689325.1_ASM4068932v1_genomic.fna.gz	GCF_040689325.1_ASM4068932v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC006874	NZ_JBEYIK010000030.1	31506	40283	7.1369	1	1	1	1	GCF_040635745.1_ASM4063574v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC047726	NZ_JBEYSS010000008.1	155342	164119	4.0967	1	1	0	1	GCF_040642855.1_ASM4064285v1_genomic.fna.gz	GCF_046244555.1_ASM4624455v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC088348	NZ_JBIVNM010000014.1	101143	104921	6.1514	1	1	1	1	GCF_044753605.1_ASM4475360v1_genomic.fna.gz	GCF_044753605.1_ASM4475360v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC058204	NZ_JBHVVU010000039.1	15267	19068	6.1456	1	1	1	1	GCF_042882625.1_ASM4288262v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC058219	NZ_JBHVWD010000007.1	208038	211839	6.1456	1	1	1	1	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC058417	NZ_JBHXKO010000042.1	51146	54947	6.1456	1	1	1	1	GCF_042721935.1_ASM4272193v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC058418	NZ_JBHXKP010000047.1	45747	49548	6.1456	1	1	1	1	GCF_042721815.1_ASM4272181v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC058425	NZ_JBHXKW010000034.1	51109	54910	6.1456	1	1	1	1	GCF_042721795.1_ASM4272179v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC058479	NZ_JBHXMM010000042.1	19304	23105	6.1456	1	1	1	1	GCF_042720825.1_ASM4272082v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC086091	NZ_JBIVCH010000037.1	15103	18913	6.1456	1	1	1	1	GCF_044746465.1_ASM4474646v1_genomic.fna.gz	GCF_042882465.1_ASM4288246v1_genomic.fna.gz	redundant
Streptomyces sp. NBC_01092	NZ_CP108659.1	10207722	10224319	8.17	2	1	1	1	GCF_045039535.1_ASM4503953v1_genomic.fna.gz	GCF_045039535.1_ASM4503953v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NBC_01092	NZ_CP108659.1	3972059	3975837	6.1426	1	1	1	1	GCF_045039535.1_ASM4503953v1_genomic.fna.gz	GCF_045039535.1_ASM4503953v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC001928	NZ_JBEOYF010000018.1	27873	44470	8.1701	2	1	1	1	GCF_040296925.1_ASM4029692v1_genomic.fna.gz	GCF_040296925.1_ASM4029692v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NBC_00385	NZ_CP107951.1	2858903	2869426	4.0827	1	0	1	1	GCF_035917155.1_ASM3591715v1_genomic.fna.gz	GCF_035917155.1_ASM3591715v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. MUM 203J	NZ_JADWYO010000017.1	74634	78000	5.1495	1	1	1	0	GCF_022414595.1_ASM2241459v1_genomic.fna.gz	GCF_022414595.1_ASM2241459v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. MUM 203J	NZ_JADWYO010000054.1	35382	39133	6.147	1	1	1	1	GCF_022414595.1_ASM2241459v1_genomic.fna.gz	GCF_022414595.1_ASM2241459v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056442	NZ_JBHTRD010000097.1	2444	6315	6.1496	1	1	1	1	GCF_042796135.1_ASM4279613v1_genomic.fna.gz	GCF_042791895.1_ASM4279189v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC056525	NZ_JBHTTO010000155.1	2262	6133	6.1496	1	1	1	1	GCF_042794895.1_ASM4279489v1_genomic.fna.gz	GCF_042791895.1_ASM4279189v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001817	NZ_JBEOYZ010000043.1	21271	25073	6.1459	1	1	1	1	GCF_040297345.1_ASM4029734v1_genomic.fna.gz	GCF_040297345.1_ASM4029734v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC048002	NZ_JBEZNL010000004.1	283971	288783	7.1415	1	1	1	1	GCF_040653275.1_ASM4065327v1_genomic.fna.gz	GCF_042742895.1_ASM4274289v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC058867	NZ_JBHYMN010000006.1	11865	16677	7.1413	1	1	1	1	GCF_042742915.1_ASM4274291v1_genomic.fna.gz	GCF_042742895.1_ASM4274289v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC058865	NZ_JBHYMP010000004.1	234176	238988	7.1413	1	1	1	1	GCF_042742895.1_ASM4274289v1_genomic.fna.gz	GCF_042742895.1_ASM4274289v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC052164	NZ_JBFAVU010000001.1	462220	467890	7.1408	1	1	1	1	GCF_040679935.1_ASM4067993v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052164	NZ_JBFAVU010000001.1	177151	180873	6.1452	1	1	1	1	GCF_040679935.1_ASM4067993v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. YH02	NZ_CP171841.1	6977292	6981173	6.1461	1	1	1	1	GCF_043996095.1_ASM4399609v1_genomic.fna.gz	GCF_043996095.1_ASM4399609v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. BE308	NZ_JAQYXA010000281.1	134268	139935	7.1408	1	1	1	1	GCF_036322465.1_ASM3632246v1_genomic.fna.gz	GCF_036322465.1_ASM3632246v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. BE308	NZ_JAQYXA010000413.1	19526	23248	6.1455	1	1	1	1	GCF_036322465.1_ASM3632246v1_genomic.fna.gz	GCF_036322465.1_ASM3632246v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC052179	NZ_JBFAVP010000003.1	119317	124984	7.1408	1	1	1	1	GCF_040679875.1_ASM4067987v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052179	NZ_JBFAVP010000008.1	163284	167006	6.1452	1	1	1	1	GCF_040679875.1_ASM4067987v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC052069	NZ_JBFAWR010000001.1	131058	136728	7.1408	1	1	1	1	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC052069	NZ_JBFAWR010000001.1	422233	425955	6.1452	1	1	1	1	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC127532	NZ_JBHXVT010000005.1	500784	506451	7.1408	1	1	1	1	GCF_042672155.1_ASM4267215v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC127532	NZ_JBHXVT010000005.1	202313	206034	6.1452	1	1	1	1	GCF_042672155.1_ASM4267215v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC055082	NZ_JBITWT010000002.1	604498	610165	7.1393	1	1	1	1	GCF_044543995.1_ASM4454399v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC055082	NZ_JBITWT010000002.1	307447	311168	6.1452	1	1	1	1	GCF_044543995.1_ASM4454399v1_genomic.fna.gz	GCF_040680375.1_ASM4068037v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC020480	NZ_JBIRVA010000012.1	245079	250912	6.1397	1	1	1	1	GCF_044386595.1_ASM4438659v1_genomic.fna.gz	GCF_040640975.1_ASM4064097v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC056202	NZ_JBHJTV010000001.1	531191	536635	7.1529	1	1	1	2	GCF_042268065.1_ASM4226806v1_genomic.fna.gz	GCF_042268065.1_ASM4226806v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056056	NZ_JBHJWT010000005.1	585693	591165	7.1529	1	1	1	2	GCF_042267155.1_ASM4226715v1_genomic.fna.gz	GCF_042267155.1_ASM4226715v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056013	NZ_JBHJXI010000003.1	278640	284099	7.1529	1	1	1	2	GCF_042274405.1_ASM4227440v1_genomic.fna.gz	GCF_042274405.1_ASM4227440v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC057674	NZ_JBHVIF010000264.1	72	4552	6.1195	0	1	1	2	GCF_042799755.1_ASM4279975v1_genomic.fna.gz	GCF_042799755.1_ASM4279975v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC057675	NZ_JBHVIG010000311.1	4511	8976	6.1195	0	1	1	2	GCF_042799735.1_ASM4279973v1_genomic.fna.gz	GCF_042799675.1_ASM4279967v1_genomic.fna.gz	readded_by_content
Streptomyces sp. NPDC057677	NZ_JBHVII010000003.1	369125	374569	7.1529	1	1	1	2	GCF_042799675.1_ASM4279967v1_genomic.fna.gz	GCF_042799675.1_ASM4279967v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC057680	NZ_JBHVIL010000003.1	852893	858287	7.1537	1	1	1	2	GCF_042799655.1_ASM4279965v1_genomic.fna.gz	GCF_042799655.1_ASM4279965v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC051920	NZ_JBFAXV010000004.1	335805	339665	6.1485	1	1	1	1	GCF_040681015.1_ASM4068101v1_genomic.fna.gz	GCF_040681015.1_ASM4068101v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056375	NZ_JBHJPV010000003.1	1107	6565	7.1538	1	1	1	2	GCF_042262125.1_ASM4226212v1_genomic.fna.gz	GCF_042722455.1_ASM4272245v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC056374	NZ_JBHJPW010000013.1	216645	222103	7.1538	1	1	1	2	GCF_042263085.1_ASM4226308v1_genomic.fna.gz	GCF_042722455.1_ASM4272245v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC001351	NZ_JBIAWS010000001.1	516103	520462	6.1432	1	1	1	1	GCF_042896045.1_ASM4289604v1_genomic.fna.gz	GCF_042896045.1_ASM4289604v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC001351	NZ_JBIAWS010000009.1	37975	41646	6.1433	1	1	1	1	GCF_042896045.1_ASM4289604v1_genomic.fna.gz	GCF_042896045.1_ASM4289604v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056399	NZ_JBHJPJ010000248.1	67	4566	6.1205	0	1	1	2	GCF_042261175.1_ASM4226117v1_genomic.fna.gz	GCF_042722455.1_ASM4272245v1_genomic.fna.gz	readded_by_content
Streptomyces sp. NPDC055912	NZ_JBHJZQ010000029.1	964	6475	7.154	1	1	1	2	GCF_042270425.1_ASM4227042v1_genomic.fna.gz	GCF_042722455.1_ASM4272245v1_genomic.fna.gz	redundant
Streptomyces sp. NPDC127103	NZ_JBHXFM010000006.1	135159	140575	7.154	1	1	1	2	GCF_042722455.1_ASM4272245v1_genomic.fna.gz	GCF_042722455.1_ASM4272245v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. NPDC056580	NZ_JBHTVE010000007.1	373640	377989	6.1399	1	1	1	1	GCF_042793175.1_ASM4279317v1_genomic.fna.gz	GCF_042793175.1_ASM4279317v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. HPF1205	NZ_JAINVH010000076.1	4445	7087	4.0873	1	0	1	1	GCF_020400825.1_ASM2040082v1_genomic.fna.gz	GCF_020400825.1_ASM2040082v1_genomic.fna.gz	dereplication_representative
Streptomyces sp. HPF1205	NZ_JAINVH010000001.1	220022	223932	6.1444	1	1	1	1	GCF_020400825.1_ASM2040082v1_genomic.fna.gz	GCF_020400825.1_ASM2040082v1_genomic.fna.gz	dereplication_representative
