JSWS02000001.1	GCA_000772595.2
AABECT010000018.1	GCA_004726025.1
AABEBW010000049.1	GCA_004726165.1
AABECB010000022.1	GCA_004726205.1
AABEEH010000035.1	GCA_004726285.1
AABEES010000001.1	GCA_004726345.1
AABEBT010000051.1	GCA_004726385.1
AABECQ010000038.1	GCA_004726405.1
AABECQ010000033.1	GCA_004726405.1
AABECI010000033.1	GCA_004726425.1
AABECK010000002.1	GCA_004726485.1
AABECV010000063.1	GCA_004726505.1
AABEDW010000002.1	GCA_004726585.1
AABEDP010000001.1	GCA_004726605.1
AABEEA010000003.1	GCA_004726745.1
AABEEC010000052.1	GCA_004726785.1
AABEEP020000005.1	GCA_004726845.2
AABEEK010000001.1	GCA_004726865.1
AABEEL020000062.1	GCA_004726905.2
AABEDM020000003.1	GCA_004726925.2
AABEET010000025.1	GCA_004726965.1
AABEFE010000017.1	GCA_004727005.1
AABEFI010000066.1	GCA_004727025.1
AABEFF020000001.1	GCA_004727085.2
AABEDJ010000001.1	GCA_004727145.1
AABEFB010000001.1	GCA_004727285.1
AABEEO010000010.1	GCA_004727305.1
AABEEW010000026.1	GCA_004727365.1
AABEEY010000001.1	GCA_004727385.1
AABEER010000002.1	GCA_004727405.1
AABEFM010000076.1	GCA_004727445.1
AABEEZ010000001.1	GCA_004727465.1
AABEFH010000004.1	GCA_004727485.1
AABEFN010000006.1	GCA_004727545.1
AABEJN010000001.1	GCA_004727605.1
AABEJJ010000001.1	GCA_004727645.1
AABEIS010000001.1	GCA_004727665.1
AABEJZ010000001.1	GCA_004727905.1
AABEKH010000001.1	GCA_004728005.1
AABEKM010000001.1	GCA_004728085.1
AABEKL010000001.1	GCA_004728095.1
AABEKP010000001.1	GCA_004728145.1
AABEKV010000029.1	GCA_004728265.1
AABELG010000001.1	GCA_004728365.1
AABELF010000001.1	GCA_004728385.1
AABEJA010000001.1	GCA_004728505.1
AABEFS010000004.1	GCA_004728525.1
AABEIB010000001.1	GCA_004728625.1
AABEJS010000008.1	GCA_004728685.1
AABEGR010000001.1	GCA_004728785.1
AABEHL010000007.1	GCA_004728905.1
AABEGC010000001.1	GCA_004728925.1
AABEGN010000005.1	GCA_004728965.1
AABEIO010000003.1	GCA_004729005.1
AABEHH010000001.1	GCA_004729025.1
AABEJG010000001.1	GCA_004729065.1
AABEJC010000001.1	GCA_004729085.1
AABEGS010000001.1	GCA_004729165.1
AABEHP010000001.1	GCA_004729185.1
AABEFQ010000003.1	GCA_004729305.1
AABELE010000001.1	GCA_004729345.1
AABEJM010000001.1	GCA_004729385.1
AABEFW010000007.1	GCA_004729485.1
AABEFV010000022.1	GCA_004729525.1
AABEGI010000004.1	GCA_004729625.1
AABEGJ010000002.1	GCA_004729645.1
AABEGP010000002.1	GCA_004729745.1
AABEGM010000010.1	GCA_004729765.1
AABEHF010000020.1	GCA_004729785.1
AABEGW010000001.1	GCA_004729805.1
AABEHA010000002.1	GCA_004729825.1
AABEHG010000002.1	GCA_004729845.1
AABEJB010000040.1	GCA_004729965.1
AABEIJ010000002.1	GCA_004729985.1
AABEGV010000001.1	GCA_004730025.1
AABEGY010000014.1	GCA_004730085.1
AABEHO010000001.1	GCA_004730165.1
AABEHB010000001.1	GCA_004730185.1
AABEHR010000001.1	GCA_004730325.1
AABEIP010000001.1	GCA_004730445.1
AABEIR010000001.1	GCA_004730465.1
AABEIT010000001.1	GCA_004730485.1
AABEJF010000003.1	GCA_004730525.1
AABEIE010000001.1	GCA_004730565.1
AABEIH010000001.1	GCA_004730645.1
AABELM010000001.1	GCA_004730665.1
AABELN010000001.1	GCA_004730845.1
AABELQ010000036.1	GCA_004730885.1
AABEMA010000018.1	GCA_004730905.1
AABEMI010000004.1	GCA_004731085.1
AABEMN010000031.1	GCA_004731165.1
AABEMX010000007.1	GCA_004731425.1
AABELP010000003.1	GCA_004731445.1
AABEMT010000001.1	GCA_004731505.1
AABDQW010000001.1	GCA_004731535.1
AABEMK010000008.1	GCA_004731565.1
AABDSP010000002.1	GCA_004731595.1
AABEOI010000026.1	GCA_004731645.1
AABEOJ010000001.1	GCA_004731725.1
AABENP010000018.1	GCA_004731905.1
AABEOG010000001.1	GCA_004732085.1
AABEON010000001.1	GCA_004732105.1
AABEOL010000004.1	GCA_004732205.1
AABEOE010000001.1	GCA_004732305.1
AABEPD010000003.1	GCA_004732325.1
AABENX010000029.1	GCA_004732485.1
AABEQS010000018.1	GCA_004732805.1
AABEPG010000001.1	GCA_004732865.1
AABETC010000007.1	GCA_004733005.1
AABETX010000035.1	GCA_004733185.1
AABEQI010000021.1	GCA_004733505.1
AABERU010000018.1	GCA_004733585.1
AABEVE010000026.1	GCA_004733625.1
AABEUL010000001.1	GCA_004733785.1
AABERX010000004.1	GCA_004733805.1
AABETH010000001.1	GCA_004733825.1
AABERA010000002.1	GCA_004733965.1
AABEQO010000077.1	GCA_004734025.1
AABETP010000027.1	GCA_004734045.1
AABEVG010000025.1	GCA_004734225.1
AABEWF010000001.1	GCA_004734605.1
AABERY010000003.1	GCA_004734765.1
AABERC010000001.1	GCA_004734815.1
AABESN010000018.1	GCA_004734845.1
AABEVA010000002.1	GCA_004734885.1
AABEQF010000044.1	GCA_004734905.1
AABEWI010000016.1	GCA_004735005.1
AABEQP010000001.1	GCA_004735125.1
AABERP010000021.1	GCA_004735365.1
AABETN010000001.1	GCA_004735505.1
AABEPH010000020.1	GCA_004735865.1
AABESU010000001.1	GCA_004736005.1
AABEPV010000001.1	GCA_004736085.1
AABEPR010000001.1	GCA_004736105.1
AABESV010000002.1	GCA_004736185.1
AABEWM010000001.1	GCA_004736605.1
AABEZJ010000026.1	GCA_004736725.1
AABEZD010000022.1	GCA_004736805.1
AABEZD010000024.1	GCA_004736805.1
AABEYN010000017.1	GCA_004737145.1
AABEYT010000014.1	GCA_004737285.1
AABFAO010000169.1	GCA_004737345.1
AABFAP010000019.1	GCA_004737445.1
AABEYZ010000001.1	GCA_004737565.1
AABEWY010000022.1	GCA_004737585.1
AABEZM010000001.1	GCA_004737745.1
AABFAC010000016.1	GCA_004738125.1
AABFAA010000003.1	GCA_004738165.1
AABFAQ010000001.1	GCA_004738245.1
AABEZH010000001.1	GCA_004738265.1
AABFAN010000001.1	GCA_004738285.1
AABEYM010000022.1	GCA_004738305.1
AABEXT010000120.1	GCA_004738505.1
AABEXY010000201.1	GCA_004738545.1
AABFAF010000017.1	GCA_004738725.1
AABFAE010000014.1	GCA_004738745.1
AABFBR010000001.1	GCA_004739065.1
AABFBQ010000001.1	GCA_004739105.1
AABFDK010000155.1	GCA_004739115.1
AABFAX010000022.1	GCA_004739225.1
AABFBT010000004.1	GCA_004739385.1
AABFBZ010000051.1	GCA_004739625.1
AABFFO010000065.1	GCA_004739745.1
AABFCU010000035.1	GCA_004739845.1
AABFDN010000001.1	GCA_004740085.1
AABFDY010000004.1	GCA_004740245.1
AABFEA010000001.1	GCA_004740305.1
AABFFC010000001.1	GCA_004740605.1
AABFBY010000002.1	GCA_004740705.1
AABFEW010000019.1	GCA_004741005.1
AABFFH010000001.1	GCA_004741135.1
AABFFT010000001.1	GCA_004741245.1
AABFJR010000001.1	GCA_004741465.1
AABFGM010000001.1	GCA_004741505.1
AABFGZ010000001.1	GCA_004741845.1
AABFGB010000001.1	GCA_004742065.1
AABFII010000001.1	GCA_004742105.1
AABFGR010000001.1	GCA_004742325.1
AABFLC010000002.1	GCA_004742425.1
AABFHU010000004.1	GCA_004742865.1
AABFIL010000050.1	GCA_004743025.1
AABFGF010000001.1	GCA_004743225.1
AABFIM010000042.1	GCA_004743405.1
AABFJD010000024.1	GCA_004743625.1
AABFJB010000001.1	GCA_004743645.1
AABFJC010000001.1	GCA_004743695.1
AABFKK010000057.1	GCA_004744045.1
AABFKK010000054.1	GCA_004744045.1
AABFLE010000011.1	GCA_004744245.1
AABFLK010000017.1	GCA_004744405.1
AABFLY010000003.1	GCA_004744565.1
AABFMB010000002.1	GCA_004744605.1
AABFMF010000032.1	GCA_004744645.1
AABFMZ010000003.1	GCA_004746015.1
AABFNV010000001.1	GCA_004746265.1
AABFNQ010000024.1	GCA_004746485.1
AABFOB010000001.1	GCA_004746585.1
AABFOA010000001.1	GCA_004746605.1
AABFOG010000002.1	GCA_004746685.1
AABFPO010000001.1	GCA_004746785.1
AABFOX010000001.1	GCA_004747005.1
AABFPH010000001.1	GCA_004747245.1
AABFMI010000002.1	GCA_004747285.1
AABFML010000003.1	GCA_004747325.1
AABFMQ010000002.1	GCA_004747425.1
AABFPQ010000016.1	GCA_004747665.1
AABFPV010000042.1	GCA_004747785.1
AABFPW010000002.1	GCA_004747825.1
AABFPU010000001.1	GCA_004747845.1
AABFQW010000001.1	GCA_004748005.1
AABFQU010000026.1	GCA_004748025.1
AABFQJ010000017.1	GCA_004748125.1
AABFRI010000023.1	GCA_004748205.1
AABFTM010000015.1	GCA_004748265.1
AABFRS010000043.1	GCA_004748405.1
AABFRS010000042.1	GCA_004748405.1
AABFTY010000001.1	GCA_004748505.1
AABFRZ010000036.1	GCA_004748565.1
AABFUG010000024.1	GCA_004748665.1
AABFQG010000024.1	GCA_004748705.1
AABFRB010000032.1	GCA_004748945.1
AABFRF010000005.1	GCA_004749065.1
AABFRC010000018.1	GCA_004749085.1
AABFRN010000001.1	GCA_004749125.1
AABFRO010000003.1	GCA_004749205.1
AABFSN010000035.1	GCA_004749545.1
AABFSX010000002.1	GCA_004749965.1
AABFQQ010000002.1	GCA_004749985.1
AABFUN010000029.1	GCA_004750085.1
AABFWI010000001.1	GCA_004750225.1
AABFUI010000100.1	GCA_004750345.1
AABFUJ010000007.1	GCA_004750405.1
AABFVP010000047.1	GCA_004750565.1
AABFVO010000002.1	GCA_004750605.1
AABFVX010000001.1	GCA_004750645.1
AABFUQ010000001.1	GCA_004750745.1
AABFXK010000001.1	GCA_004750865.1
AABFXH010000001.1	GCA_004750945.1
AABFXL010000004.1	GCA_004750965.1
AABFUM010000003.1	GCA_004751025.1
AABFVG010000002.1	GCA_004751185.1
AABFVS010000001.1	GCA_004751505.1
AABFXA010000023.1	GCA_004751805.1
AABFXO010000021.1	GCA_004751925.1
AABFZJ010000001.1	GCA_004752025.1
AABFZG010000015.1	GCA_004752055.1
AABFZG010000001.1	GCA_004752055.1
AABFZD010000006.1	GCA_004752105.1
AABFYF010000023.1	GCA_004752225.1
AABFYL010000001.1	GCA_004752265.1
AABFZA010000027.1	GCA_004752325.1
AABFYQ010000001.1	GCA_004752365.1
AABFYE010000002.1	GCA_004752605.1
AABFZV010000018.1	GCA_004752865.1
AABFXZ010000002.1	GCA_004753045.1
AABFYD010000001.1	GCA_004753085.1
AABGAK010000013.1	GCA_004753305.1
AABGBR010000004.1	GCA_004753525.1
AABGEX010000001.1	GCA_004753805.1
AABGEP010000001.1	GCA_004754165.1
AABGET010000011.1	GCA_004754185.1
AABGBW010000036.1	GCA_004754525.1
AABGAW010000019.1	GCA_004754605.1
AABGCN010000001.1	GCA_004754925.1
AABGDZ010000005.1	GCA_004754935.1
AABGDR010000001.1	GCA_004755485.1
AABGDV010000005.1	GCA_004755525.1
AABGEY010000002.1	GCA_004755685.1
AABGFE010000001.1	GCA_004755765.1
AABGCP010000008.1	GCA_004756005.1
AABGCK010000001.1	GCA_004756025.1
AABGCH010000003.1	GCA_004756085.1
AABGJG010000001.1	GCA_004756125.1
AABGHY010000001.1	GCA_004756185.1
AABGFW010000010.1	GCA_004756425.1
AABGGE010000001.1	GCA_004756505.1
AABGGO010000002.1	GCA_004756945.1
AABGJB010000004.1	GCA_004757165.1
AABGHD010000164.1	GCA_004757205.1
AABGHN010000003.1	GCA_004757425.1
AABGIT010000003.1	GCA_004757845.1
AABGIL010000027.1	GCA_004757865.1
AABGLI010000001.1	GCA_004758305.1
AABGLH010000083.1	GCA_004758325.1
AABGLF010000001.1	GCA_004758545.1
AABGLC010000010.1	GCA_004758575.1
AABGJI010000028.1	GCA_004758705.1
AABGKQ010000024.1	GCA_004758765.1
AABGJR010000003.1	GCA_004758925.1
AABGJP010000001.1	GCA_004759005.1
AABGKD010000016.1	GCA_004759165.1
AABGKB010000020.1	GCA_004759185.1
AABGLQ010000002.1	GCA_004759665.1
AABGNQ010000027.1	GCA_004759785.1
AABGNE010000014.1	GCA_004759905.1
AABGQB010000003.1	GCA_004760005.1
AABGMH010000001.1	GCA_004760025.1
AABGQM010000002.1	GCA_004760265.1
AABGOC010000053.1	GCA_004760285.1
AABGNZ010000033.1	GCA_004760345.1
AABGMI010000043.1	GCA_004760645.1
AABGNY010000039.1	GCA_004760705.1
AABGQA010000001.1	GCA_004760825.1
AABGOI010000264.1	GCA_004761045.1
AABGOP010000119.1	GCA_004761065.1
AABGOP010000107.1	GCA_004761065.1
AABGPT010000022.1	GCA_004761545.1
AABGUJ010000001.1	GCA_004762215.1
AABGQO010000045.1	GCA_004762235.1
AABGQO010000051.1	GCA_004762235.1
AABGUC010000001.1	GCA_004762255.1
AABGRI010000001.1	GCA_004762375.1
AABGSX010000044.1	GCA_004762725.1
AABGUA010000049.1	GCA_004762785.1
AABGTK010000060.1	GCA_004762805.1
AABGTK010000067.1	GCA_004762805.1
AABGTR010000035.1	GCA_004762905.1
AABGRD010000033.1	GCA_004763065.1
AABGRF010000001.1	GCA_004763225.1
AABGRE010000119.1	GCA_004763245.1
AABGRO010000058.1	GCA_004763285.1
AABGTL010000068.1	GCA_004763885.1
AABGTS010000061.1	GCA_004764045.1
AABGTZ010000028.1	GCA_004764125.1
AABGUD010000001.1	GCA_004764155.1
AABGUG010000001.1	GCA_004764185.1
AABGUF010000001.1	GCA_004764205.1
AABGUH010000001.1	GCA_004764225.1
AABGUT010000001.1	GCA_004764265.1
AABGUK010000001.1	GCA_004764305.1
AABGUX010000001.1	GCA_004764855.1
AABGVL010000001.1	GCA_004764895.1
AABGWC010000001.1	GCA_004764965.1
AABGVD010000017.1	GCA_004764995.1
AABGVF010000015.1	GCA_004765035.1
AABGVS010000004.1	GCA_004765105.1
AABGVK010000001.1	GCA_004765125.1
AABGVI010000001.1	GCA_004765165.1
AABGUW010000005.1	GCA_004765205.1
AABGWE010000041.1	GCA_004765245.1
AABGVN010000001.1	GCA_004765265.1
AABGWA010000001.1	GCA_004765285.1
AABGVH010000014.1	GCA_004765305.1
AABGVH010000015.1	GCA_004765305.1
AABGWB010000003.1	GCA_004765325.1
AABGVA010000001.1	GCA_004765345.1
AABGVG010000005.1	GCA_004765365.1
AABGVY010000001.1	GCA_004765405.1
AABGVM010000001.1	GCA_004765425.1
AABGVZ010000001.1	GCA_004765445.1
AABGUY010000001.1	GCA_004765465.1
AABGRV010000045.1	GCA_004765505.1
AABGRV010000047.1	GCA_004765505.1
AABGWP010000009.1	GCA_004765985.1
AABGWO010000001.1	GCA_004766005.1
AABGWH010000001.1	GCA_004769875.1
AABGWG010000005.1	GCA_004769955.1
AACJOR010000001.1	GCA_005232535.1
AACJQD010000001.1	GCA_005232615.1
AACJQC010000001.1	GCA_005232715.1
AACJPW010000040.1	GCA_005232855.1
AACJPW010000039.1	GCA_005232855.1
AACJPL010000013.1	GCA_005233015.1
AACJPI010000018.1	GCA_005233035.1
AACJPD010000017.1	GCA_005233055.1
AACJPP010000001.1	GCA_005233155.1
AACJPN010000012.1	GCA_005233195.1
AACJQK010000001.1	GCA_005233255.1
AACJPC010000007.1	GCA_005233295.1
AACJOW010000001.1	GCA_005233315.1
AACJOY010000008.1	GCA_005233395.1
AACJOZ010000002.1	GCA_005233455.1
AACKAD010000027.1	GCA_005243885.1
AACJYG010000094.1	GCA_005243925.1
AACJYG010000086.1	GCA_005243925.1
AACJXP010000001.1	GCA_005243975.1
AACJXQ010000107.1	GCA_005244145.1
AACJXZ010000001.1	GCA_005244165.1
AACKAH010000031.1	GCA_005244205.1
AACJYF010000096.1	GCA_005244305.1
AACJYU010000001.1	GCA_005244385.1
AACJYJ010000001.1	GCA_005244485.1
AACKAB010000046.1	GCA_005244505.1
AACKAC010000013.1	GCA_005244565.1
AACKAE010000065.1	GCA_005244585.1
AACJYR010000003.1	GCA_005244625.1
AACJYT010000001.1	GCA_005244665.1
AACJYM010000001.1	GCA_005244685.1
AACJZN010000001.1	GCA_005245045.1
AACJZM010000001.1	GCA_005245065.1
AACJZP010000030.1	GCA_005245125.1
AACJZW010000040.1	GCA_005245245.1
AACKAG010000049.1	GCA_005245265.1
AACKAG010000040.1	GCA_005245265.1
AACKAJ010000046.1	GCA_005245345.1
AACKAJ010000034.1	GCA_005245345.1
AACKAM010000041.1	GCA_005245365.1
AACKAR010000022.1	GCA_005245385.1
AACKAR010000024.1	GCA_005245385.1
AACKAL010000004.1	GCA_005245405.1
AACKAS010000001.1	GCA_005245425.1
AACKAN010000017.1	GCA_005245465.1
AACKBZ010000011.1	GCA_005245545.1
AACKBR010000004.1	GCA_005245565.1
AACKBS010000001.1	GCA_005245625.1
AACKBU010000003.1	GCA_005245645.1
AACKBX010000030.1	GCA_005245665.1
AACKBP010000021.1	GCA_005245685.1
AACKBP010000023.1	GCA_005245685.1
AACKDJ010000001.1	GCA_005245705.1
AACKAX010000001.1	GCA_005245925.1
AACKBA010000017.1	GCA_005245985.1
AACKAU010000001.1	GCA_005246085.1
AACKBC010000025.1	GCA_005246205.1
AACKBG010000021.1	GCA_005246265.1
AACKBO010000039.1	GCA_005246445.1
AACKBK010000023.1	GCA_005246485.1
AACKCA010000005.1	GCA_005246505.1
AACKBQ010000038.1	GCA_005246525.1
AACKBT010000001.1	GCA_005246565.1
AACKBM010000032.1	GCA_005246585.1
AACKBV010000004.1	GCA_005246605.1
AACKBY010000001.1	GCA_005246685.1
AACKCI010000008.1	GCA_005246725.1
AACKCL010000001.1	GCA_005246745.1
AACKCJ010000001.1	GCA_005246785.1
AACKCO010000004.1	GCA_005246825.1
AACKCN010000001.1	GCA_005246845.1
AACKCK010000001.1	GCA_005246885.1
AACKCW010000009.1	GCA_005246965.1
AACKCY010000001.1	GCA_005247025.1
AACKDB010000010.1	GCA_005247085.1
AACKDF010000003.1	GCA_005247125.1
AACKDR010000001.1	GCA_005247245.1
AACKDZ010000021.1	GCA_005247305.1
AACKDU010000001.1	GCA_005247325.1
AACKDV010000042.1	GCA_005247335.1
AACKDT010000001.1	GCA_005247385.1
AACKEE010000001.1	GCA_005247505.1
AACKEJ010000001.1	GCA_005247665.1
AACKEQ010000007.1	GCA_005247685.1
AACKEY010000001.1	GCA_005247845.1
AACKEW010000001.1	GCA_005247945.1
AACKFC010000053.1	GCA_005247985.1
AACKFC010000047.1	GCA_005247985.1
AACKGB010000001.1	GCA_005248265.1
AACKGE010000036.1	GCA_005248365.1
AACKIS010000028.1	GCA_005249665.1
AACKIS010000029.1	GCA_005249665.1
AACKJD010000018.1	GCA_005249905.1
AACKJP010000030.1	GCA_005250085.1
AACKKC010000014.1	GCA_005250105.1
AACKKJ010000001.1	GCA_005250125.1
AACKKM010000001.1	GCA_005250155.1
AACKKL010000001.1	GCA_005250265.1
AACKKD010000017.1	GCA_005250425.1
AACKJI010000002.1	GCA_005250485.1
AACRIN010000001.1	GCA_005346665.1
AAAHOY010000001.1	GCA_005471315.1
AADCIF010000001.1	GCA_005522255.1
AADCHC010000001.1	GCA_005523485.1
AADCHB010000001.1	GCA_005523565.1
AADCHL010000054.1	GCA_005523735.1
AADZVA010000033.1	GCA_005875455.1
AADZVD010000001.1	GCA_005875535.1
AADZVK010000022.1	GCA_005875545.1
AADZVL010000001.1	GCA_005875595.1
AADZVJ010000025.1	GCA_005875615.1
AADZVP010000001.1	GCA_005875635.1
AADZVO010000053.1	GCA_005875695.1
AADZVQ010000005.1	GCA_005875715.1
AADZVV010000059.1	GCA_005875775.1
AADZVR010000001.1	GCA_005875795.1
AADZWE010000057.1	GCA_005875915.1
AADZWF010000029.1	GCA_005875975.1
AADZWV010000001.1	GCA_005876315.1
AADZXC010000004.1	GCA_005876375.1
AAEACH010000002.1	GCA_005895865.1
AAEACC010000057.1	GCA_005895965.1
AAECFX010000011.1	GCA_005924465.1
AAECGF010000001.1	GCA_005924505.1
AAECFM010000098.1	GCA_005924845.1
AAECFF010000015.1	GCA_005924875.1
AAECFF010000018.1	GCA_005924875.1
AAECFW010000004.1	GCA_005924945.1
AAECFU010000007.1	GCA_005924985.1
AAECGD010000026.1	GCA_005925005.1
AAECIM010000001.1	GCA_005925535.1
AAECIL010000001.1	GCA_005925615.1
AAECHA010000001.1	GCA_005925735.1
AAECHD010000001.1	GCA_005925755.1
AAECHT010000002.1	GCA_005925935.1
AAECIA010000001.1	GCA_005926295.1
AAECIF010000001.1	GCA_005926355.1
AAECII010000001.1	GCA_005926495.1
AAEOKM010000041.1	GCA_006093375.1
AAEOKU010000001.1	GCA_006093455.1
AAEOKW010000055.1	GCA_006093495.1
AAAIEP010000001.1	GCA_006149205.1
AAAMCD010000001.1	GCA_006149225.1
AAAJBD010000001.1	GCA_006149245.1
AAATEC010000001.1	GCA_006149285.1
AAATJE010000001.1	GCA_006149305.1
AAATUB010000001.1	GCA_006149325.1
AAATXN010000001.1	GCA_006149365.1
AAAUFS010000001.1	GCA_006149385.1
AAAJBN010000001.1	GCA_006149505.1
AAAJJB010000001.1	GCA_006149545.1
AAAKEY010000001.1	GCA_006149585.1
AAAKDE010000001.1	GCA_006149605.1
AAAKUC010000001.1	GCA_006149645.1
AAAMCF010000001.1	GCA_006149705.1
AAAMCE010000001.1	GCA_006149725.1
AAAMIX010000001.1	GCA_006149765.1
AAAOWU010000001.1	GCA_006149805.1
AAAOPT010000001.1	GCA_006149825.1
AAANMW010000001.1	GCA_006149865.1
AAESMJ010000001.1	GCA_006151525.1
AAAVOT010000001.1	GCA_006165025.1
AABEDL020000003.1	GCA_006176665.2
AAEXPN010000025.1	GCA_006218705.1
AAEXOZ010000030.1	GCA_006218825.1
AAEXOZ010000053.1	GCA_006218825.1
AAEXNT010000001.1	GCA_006219045.1
AAEXPP010000018.1	GCA_006219085.1
AAEXPP010000003.1	GCA_006219085.1
AAEXOH010000003.1	GCA_006219245.1
AAEXPC010000034.1	GCA_006219425.1
AAEXPC010000033.1	GCA_006219425.1
AAEXPL010000023.1	GCA_006219445.1
AAEXPL010000025.1	GCA_006219445.1
AAEXND010000001.1	GCA_006219605.1
AAEXOU010000009.1	GCA_006219625.1
AAEXOV010000005.1	GCA_006219645.1
AAEXPE010000106.1	GCA_006219665.1
AAEXOX010000109.1	GCA_006219805.1
AAEXMU010000001.1	GCA_006219825.1
AAEXMQ010000001.1	GCA_006219885.1
AAEXMI010000051.1	GCA_006220045.1
AAEXOR010000005.1	GCA_006220385.1
AAEXOR010000039.1	GCA_006220385.1
AAEXOC010000001.1	GCA_006220465.1
AAEXPI010000007.1	GCA_006223745.1
AAEXPJ010000022.1	GCA_006223825.1
AAFFJY010000019.1	GCA_006352675.1
AAFFKJ010000001.1	GCA_006353165.1
AAFFOD010000026.1	GCA_006353295.1
AAFFLA010000074.1	GCA_006353675.1
AAFFLE010000001.1	GCA_006353715.1
AAFFLC010000001.1	GCA_006353745.1
AAFFLJ010000082.1	GCA_006353795.1
AAFFLL010000003.1	GCA_006353815.1
AAFFLI010000001.1	GCA_006353915.1
AAFFME010000001.1	GCA_006354275.1
AAFFLY010000001.1	GCA_006354455.1
AAFFMI010000096.1	GCA_006354575.1
AAFFMJ010000026.1	GCA_006354595.1
AAFFMG010000011.1	GCA_006354635.1
AAFFMO010000002.1	GCA_006354695.1
AAFFMN010000002.1	GCA_006354755.1
AAFFMP010000001.1	GCA_006354815.1
AAFFML010000002.1	GCA_006354855.1
AAFFMH010000003.1	GCA_006354915.1
AAFFMW010000009.1	GCA_006354955.1
AAFFMU010000006.1	GCA_006354975.1
AAFFNL010000064.1	GCA_006355115.1
AAFFNL010000068.1	GCA_006355115.1
AAFFNM010000063.1	GCA_006355195.1
AAFFNT010000014.1	GCA_006355455.1
AAFFNU010000001.1	GCA_006355475.1
AAFFNV010000077.1	GCA_006355495.1
AAFMDH010000001.1	GCA_006495075.1
AAFMBQ010000001.1	GCA_006495305.1
AAFMBS010000022.1	GCA_006495355.1
AAFMBW010000031.1	GCA_006495395.1
AAFMBR010000037.1	GCA_006495415.1
AAFMBX010000001.1	GCA_006495435.1
AAFMBV010000002.1	GCA_006495455.1
AAFMBY010000002.1	GCA_006495495.1
AAFMBT010000001.1	GCA_006495535.1
AAFMCK010000003.1	GCA_006495675.1
AAFMCH010000059.1	GCA_006495755.1
AAFMDM010000041.1	GCA_006496155.1
AAFMCY010000062.1	GCA_006496175.1
AAFOTH010000001.1	GCA_006544725.1
AAFOVR010000127.1	GCA_006545245.1
AAFOXE010000016.1	GCA_006545805.1
AAFOXT010000001.1	GCA_006546085.1
AAFOXR010000003.1	GCA_006546125.1
AAHZEF010000047.1	GCA_007446485.1
AAHZEK010000037.1	GCA_007446555.1
AAHZGL010000002.1	GCA_007447145.1
AAHZFT010000003.1	GCA_007447785.1
AAHZFX010000009.1	GCA_007447945.1
AAHZGP010000106.1	GCA_007448165.1
AAHZGX010000001.1	GCA_007448205.1
AAHZHB010000001.1	GCA_007448305.1
AAHZIA010000027.1	GCA_007448565.1
AAHZHX010000002.1	GCA_007448645.1
AAHZHY010000036.1	GCA_007448785.1
AAHZIB010000037.1	GCA_007448805.1
AAHZIB010000040.1	GCA_007448805.1
AAHZIE010000003.1	GCA_007448885.1
AAHZIJ010000009.1	GCA_007448965.1
AAHZIN010000006.1	GCA_007449005.1
AAHZIN010000034.1	GCA_007449005.1
AAHZIP010000038.1	GCA_007449025.1
AAHZHV010000044.1	GCA_007449145.1
AAHZIZ010000009.1	GCA_007449225.1
AAHZJA010000001.1	GCA_007449265.1
AAHZJV010000024.1	GCA_007449565.1
AAHZKC010000069.1	GCA_007449625.1
AAHZLL010000025.1	GCA_007450285.1
AAHZME010000002.1	GCA_007451285.1
AAHZZO010000003.1	GCA_007456875.1
AAIAAM010000022.1	GCA_007458095.1
AAIAAM010000014.1	GCA_007458095.1
AAHZXG010000002.1	GCA_007458335.1
AAHZXG010000030.1	GCA_007458335.1
AAIAAG010000001.1	GCA_007458955.1
AAIAHH010000041.1	GCA_007462155.1
AAIAJH010000039.1	GCA_007462475.1
AAIAHI010000029.1	GCA_007462515.1
AAIAJG010000003.1	GCA_007463415.1
AAIAIY010000023.1	GCA_007463455.1
AAIAOW010000020.1	GCA_007463815.1
AAIALO010000003.1	GCA_007464435.1
AAIAOM010000001.1	GCA_007465655.1
AAIAOU010000027.1	GCA_007465935.1
AAIAPA010000008.1	GCA_007466095.1
AAIAPS010000002.1	GCA_007466335.1
AAIAQT010000061.1	GCA_007467735.1
AAIARD010000031.1	GCA_007468115.1
AAIAUC010000001.1	GCA_007468255.1
AAIATC010000001.1	GCA_007468355.1
AAIAVB010000003.1	GCA_007468775.1
AAIAUQ010000001.1	GCA_007468915.1
AAIAWX010000004.1	GCA_007470395.1
AAIRHQ010000001.1	GCA_007718025.1
AAIRIE010000002.1	GCA_007719045.1
AAIRIK010000026.1	GCA_007719085.1
AAIRII010000001.1	GCA_007719145.1
AAIRMI010000021.1	GCA_007721105.1
AAIRMT010000049.1	GCA_007721125.1
AAIRNG010000001.1	GCA_007721445.1
AAIRNP010000039.1	GCA_007721565.1
AAIRNX010000017.1	GCA_007721645.1
AAIRNV010000038.1	GCA_007721725.1
AAIRPQ010000001.1	GCA_007722625.1
AAIRWK010000013.1	GCA_007726265.1
AAISHE010000001.1	GCA_007728745.1
AAISUL010000023.1	GCA_007739195.1
AAISUY010000059.1	GCA_007739835.1
AAISUY010000040.1	GCA_007739835.1
AAIZUA010000001.1	GCA_007848955.1
AAJADD010000014.1	GCA_007853075.1
AAJADM010000011.1	GCA_007853215.1
AAJACZ010000001.1	GCA_007853855.1
