Organism                                                      Scaffold              Start    End      Score  LMOf2365_1112  LMOf2365_1113  LMOf2365_1114  LMOf2365_1115  LMOf2365_1116  LMOf2365_1117  LMOf2365_1118  LMOf2365_1119
Listeria monocytogenes SFBRL160_S13                           DABYGZ010000001.1     659122   664810   10.30  0              1              1              1              0              1              1              1            
Listeria monocytogenes PNUSAL004032                           QZQV01000045.1        243      3867     6.17   0              1              1              1              0              1              0              0            
Listeria monocytogenes PNUSAL006946                           AAOYXS010000008.1     176874   180678   9.24   0              1              1              1              1              1              0              0            
Listeria monocytogenes 19B07544-3                             AAJXUE010000025.1     15       4018     6.20   0              0              0              1              0              1              1              1            
Listeria monocytogenes L7-0337                                AAHZHV010000044.1     263      2269     5.12   0              1              1              1              0              0              0              0            
Listeria monocytogenes AG24-0172                              ABTIHE010000002.1     589235   594036   8.25   0              0              1              1              0              1              1              1            
Listeria monocytogenes PNUSAL016784                           ABLBMW010000002.1     130655   136313   13.26  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL008438                           AAWYLS010000001.1     607198   612876   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes L7-1808                                AAHZHY010000036.1     5985     11063    11.24  0              1              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL008563                           AAXBSG010000001.1     614981   620659   13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes FDA731238 27-1                         AAAJVH010000001.1     621598   627277   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes PNUSAL002406                           AAATGZ010000035.1     0        3594     7.24   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL003948                           AABCSB010000005.1     259319   264417   11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes FSIS22314216                           ABMVDU010000003.1     3254     8915     8.22   0              1              1              1              1              0              0              1            
Listeria monocytogenes PNUSAL003828                           AAAXSA010000042.1     0        2898     5.19   0              0              0              0              1              1              1              0            
Listeria monocytogenes PNUSAL002034                           AAAYXP010000002.1     390023   395701   10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes SFBRL029_S16                           DABYCB010000036.1     336      3140     5.19   0              0              0              0              0              1              1              1            
Listeria monocytogenes DMG1500168                             DAAKAM010000130.1     237      3658     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DABQHI010000046.1     0        2097     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes OH-1409855                             AABDPA010000064.1     249      2244     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL002130                           AAAZLY010000001.1     909965   913520   9.23   0              1              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL003630                           AAAWZF010000042.1     384      2364     5.13   0              0              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL004283                           RHJH01000017.1        274      3141     7.19   0              1              1              1              1              0              0              0            
Listeria monocytogenes PNUSAL009152                           AAYWUG010000001.1     861831   867509   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes CFSAN061343                            AAZCPG010000007.1     168651   174329   13.37  0              1              1              1              1              1              1              1            
Aeriscardovia sp.                                             JAFNRP010000004.1     66278    71307    6.09   0              1              0              0              1              1              1              0            
Prevotella sp.                                                JAFNPL010000362.1     4916     9947     6.09   0              1              0              0              1              1              1              0            
Aeriscardovia sp.                                             JAFRDN010000001.1     46719    51810    6.08   0              1              0              0              1              1              1              0            
Aeriscardovia sp.                                             JAFRAT010000008.1     71599    76626    6.09   0              1              0              0              1              1              1              0            
Aeriscardovia sp.                                             JAFPUC010000011.1     16337    23167    7.11   0              2              0              0              1              1              1              0            
Aeriscardovia sp.                                             JAFYJT010000053.1     11375    15881    6.09   0              1              0              0              1              1              1              0            
Aeriscardovia sp.                                             JAFYIB010000037.1     24899    29928    6.09   0              1              0              0              1              1              1              0            
Aeriscardovia sp.                                             JAGCBN010000014.1     24379    29406    6.09   0              1              0              0              1              1              1              0            
Listeria monocytogenes PNUSAL010382                           ABASSW010000001.1     594154   599832   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL010391                           ABASUG010000001.1     387697   393375   13.36  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL010458                           ABAUQG010000002.1     260624   266302   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL010958                           ABBNUW010000072.1     273      3140     7.18   0              1              1              1              1              0              0              0            
Listeria innocua 1166203-C002-001                             ABCIOM010000001.1     820113   822108   5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL011488                           ABCRZV010000001.1     614323   620001   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL012292                           ABDWQV010000022.1     17888    22986    11.33  0              1              1              1              1              1              1              0            
Enterococcus faecalis FSIS12107311                            ABEHUL010000056.1     0        2352     5.12   0              0              0              0              0              1              1              1            
Enterococcus faecalis FSIS12107311                            ABEHUL010000016.1     367      3216     7.13   0              1              1              1              1              0              0              0            
Listeria innocua                                              DAFIWU010000001.1     114868   116863   5.13   0              1              1              1              0              0              0              0            
Listeria innocua                                              DAFJBM010000001.1     864602   870280   13.37  0              1              1              1              1              1              1              1            
Listeria innocua JJ42                                         DAMWVV010000083.1     0        4145     9.27   0              0              1              1              1              1              1              0            
Listeria innocua                                              DAFIYC010000061.1     0        2041     5.13   0              0              0              1              1              1              0              0            
Listeria innocua                                              DAFISO010000028.1     14891    19989    11.33  0              1              1              1              1              1              1              0            
Listeria innocua FDA0904545-032-001                           ABEKZN010000001.1     863901   869579   13.36  0              1              1              1              1              1              1              1            
Listeria innocua FDA904858-S001-005                           ABEGDP010000022.1     8769     11589    7.18   0              1              1              1              1              0              0              0            
Listeria innocua FDA904858-S001-005                           ABEGDP010000029.1     8        2812     5.18   0              0              0              0              0              1              1              1            
Listeria innocua FDA904858-S001-003                           ABEGDN010000020.1     47827    52925    11.33  0              1              1              1              1              1              1              0            
Listeria innocua CFSAN045767                                  AABDZX010000002.1     2011     7688     10.31  0              1              1              1              1              0              1              1            
Lachnospiraceae bacterium                                     JALETZ010000006.1     141651   148602   11.13  0              1              1              1              1              1              1              0            
Listeria monocytogenes Lmo-638-1                              ABGCHL010000001.1     630729   636407   13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes F2-382                                 BAZC01000034.1        2404     7351     8.28   0              1              1              0              1              1              1              0            
Listeria monocytogenes Listeria monocytogenes 4b              DAAKRP010000077.1     156      3896     9.25   0              0              0              1              1              1              1              1            
Listeria monocytogenes CFSAN023465                            NZ_CP045747.1         631549   636647   11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes clinical isolate of L. monocytogenes   DABPWD010000071.1     0        3463     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes NIHS-28                                NZ_BAZD01000003.1     251791   257469   10.30  0              1              1              1              0              1              1              1            
Listeria monocytogenes GTVSS-006                              NZ_CP176699.1         1163425  1169125  10.32  0              1              0              1              1              1              1              1            
Listeria monocytogenes CFSAN093423                            AANOMM010000001.1     609374   614175   8.23   0              0              1              1              1              1              0              1            
Listeria monocytogenes OSF108472                              AAXUPP010000078.1     0        2796     7.18   0              0              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL022718                           ABTTGT010000034.1     24690    29780    8.28   0              1              1              1              0              1              1              0            
Listeria monocytogenes FDA955571-S109-001                     AAAUVH010000085.1     264      2757     7.16   0              1              1              1              1              0              0              0            
Listeria monocytogenes 944                                    LJPD01000008.1        591328   597155   15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL002841                           AAAUSI010000072.1     0        2235     5.15   0              0              0              0              0              1              1              1            
Listeria monocytogenes PNUSAL003279                           AAAVVM010000001.1     641337   646128   11.32  0              0              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL022719                           ABTTGS010000037.1     147      3560     4.17   0              0              0              1              0              1              1              0            
Listeria monocytogenes CFIAFB20130044                         DAAHSX010000061.1     103      3524     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes LIS22-0186                             ABFNTA010000021.1     47839    51631    9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL008697                           AAXTDH010000027.1     269      3238     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes PNUSAL005281                           AANEEU010000057.1     0        1953     5.13   0              0              1              1              1              0              0              0            
Listeria monocytogenes FDA1180445-S019-001                    ABEVQD010000001.1     591219   595993   8.26   0              0              1              1              1              0              1              1            
Listeria monocytogenes DMG1500243                             DAAKAV010000072.1     10       2125     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes PNUSAL007711                           AAVWLE010000001.1     213      5310     8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes PNUSAL004625                           AAAJHO010000051.1     232      2227     5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes FDA731238 46-1                         AAAJUY010000001.1     629459   635138   10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes PNUSAL001627                           AAAJRZ010000001.1     605376   611055   10.28  0              1              1              1              1              1              0              1            
Listeria monocytogenes PNUSAL004267                           RFAG01000035.1        16       3816     9.25   0              0              1              1              1              1              1              0            
Listeria monocytogenes GT23-0157                              ABLMJW010000004.1     54364    60022    13.26  0              1              1              1              1              1              1              1            
Lactobacillus sp.                                             JAGGHU010000016.1     12626    17336    8.13   0              0              1              0              1              1              1              1            
Bombilactobacillus bombi CCM 8440                             NZ_JBHLWZ010000004.1  2187     7751     10.15  0              1              1              0              1              1              1              1            
Listeria monocytogenes PNUSAL014302                           ABGXQR010000010.1     109384   115063   13.37  0              1              1              1              1              1              1              1            
Listeria innocua                                              DAIKVT010000001.1     283168   285162   5.13   0              1              1              1              0              0              0              0            
Listeria innocua                                              DAIKWC010000002.1     453541   455530   5.12   0              1              1              1              0              0              0              0            
Listeria innocua                                              DAIKWT010000003.1     311668   313663   5.12   0              1              1              1              0              0              0              0            
Staphylococcus aureus Ma2/A14043                              CP102976.1            372816   378429   10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus                                         DAKLYJ010000028.1     617      5641     8.14   0              1              1              0              1              1              1              0            
Lactobacillus iners                                           JAOBBM010000106.1     184      2071     5.05   0              0              1              1              1              0              0              0            
Lactobacillus crispatus                                       JAOBDF010000020.1     449      4209     9.09   0              1              1              1              1              1              0              0            
Listeria monocytogenes PNUSAL015581                           ABIUSW010000001.1     841564   847242   13.37  0              1              1              1              1              1              1              1            
Bacilli bacterium PG1894_192                                  BNWN01000001.1        27952    33075    11.22  0              1              1              1              1              1              1              0            
Bacilli bacterium PG1894_193                                  BNWO01000018.1        24423    28645    9.19   0              0              1              1              1              1              1              0            
Staphylococcus aureus ASASM92                                 DALRGA010000003.1     83372    88985    10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus                                         DAHIUW010000006.1     82340    87364    8.14   0              1              1              0              1              1              1              0            
Staphylococcus aureus                                         DALTMV010000005.1     641      5665     8.14   0              1              1              0              1              1              1              0            
Staphylococcus aureus                                         DALTIT010000004.1     1680     5844     6.12   0              0              1              0              1              1              1              0            
Staphylococcus aureus 693N_SA                                 DAMUCI010000005.1     112437   118049   7.11   0              1              1              0              1              1              0              1            
Staphylococcus aureus 313S_SA                                 DAMUHR010000008.1     65313    70926    5.08   0              1              0              0              1              1              0              1            
Staphylococcus aureus 762S2_SA                                DAMUGH010000002.1     162630   168243   10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus 551S_SA                                 DAMUNC010000003.1     53       4806     8.13   0              0              1              0              1              1              1              1            
Staphylococcus aureus 431S_SA                                 DAMUKG010000086.1     630      3758     5.10   0              0              0              0              1              1              1              0            
Staphylococcus aureus 345S_SA                                 DAMUIT010000003.1     0        3464     6.09   0              1              1              0              1              1              0              0            
Staphylococcus aureus 289S_SA                                 DAMUHH010000068.1     1        2600     4.07   0              0              1              0              1              1              0              0            
Listeria innocua 000919-1F                                    ABKGRU010000001.1     578261   580256   5.12   0              1              1              1              0              0              0              0            
Listeria innocua                                              DANSLL010000001.1     583928   585917   5.12   0              1              1              1              0              0              0              0            
Streptococcus pneumoniae SP1177                               JAPCFO010000016.1     17357    21970    3.04   0              1              0              0              1              0              1              0            
Staphylococcus aureus C908                                    CP127551.1            1603113  1608726  10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus                                         DAKVDZ010000018.1     0        2492     4.06   0              1              1              0              1              0              0              0            
Staphylococcus aureus                                         DAKGNT010000003.1     307611   312635   8.14   0              1              1              0              1              1              1              0            
Staphylococcus aureus                                         DAKVHP010000040.1     0        4018     6.11   0              0              1              0              1              1              1              0            
Staphylococcus aureus                                         DAKVHJ010000153.1     0        3273     6.08   0              1              1              0              1              1              0              0            
Staphylococcus aureus                                         DAKVGY010000045.1     132      3260     5.10   0              0              0              0              1              1              1              0            
Staphylococcus aureus                                         DAKVJP010000166.1     195      3007     4.07   0              0              1              0              1              1              0              0            
Listeria innocua 23MDARD140                                   ABLQJO010000001.1     584831   586826   5.13   0              1              1              1              0              0              0              0            
Listeria innocua 23MDARD051                                   ABLQKI010000001.1     858858   864536   13.36  0              1              1              1              1              1              1              1            
Listeria innocua                                              DALICB010000033.1     389      2504     5.14   0              0              0              1              1              1              0              0            
Listeria innocua                                              DALIAN010000025.1     168      4169     9.26   0              0              0              1              1              1              1              1            
Listeria innocua                                              DAIKVY010000035.1     25454    28321    7.18   0              1              1              1              1              0              0              0            
Listeria innocua FDA929098-S034-008                           ABDYQW010000055.1     0        2803     5.18   0              0              0              0              0              1              1              1            
Listeria innocua FDA929098-S040-010                           ABEGDJ010000001.1     858862   862654   9.24   0              1              1              1              1              1              0              0            
Listeria innocua FDA929098-S020-005                           ABCSLY010000022.1     268      5366     11.33  0              1              1              1              1              1              1              0            
Listeria innocua 772159                                       AANEJU010000031.1     92       3513     7.23   0              0              0              1              1              1              1              0            
Listeria innocua FDA929098-S050-005                           ABCBVX010000015.1     16668    18663    5.13   0              1              1              1              0              0              0              0            
Listeria innocua FDA929098-S050-005                           ABCBVX010000019.1     0        2905     5.19   0              0              0              0              1              1              1              0            
Staphylococcus aureus                                         DAPAKR010000005.1     123872   128896   8.14   0              1              1              0              1              1              1              0            
Listeria monocytogenes PNUSAL018543                           ABLSPB010000001.1     815711   821389   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes AG23-0151                              ABLUAW010000003.1     40444    42421    5.08   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL017486                           ABLULK010000003.1     159041   164720   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL017134                           ABLXFD010000001.1     118854   124532   13.37  0              1              1              1              1              1              1              1            
Listeria monocytogenes PNUSAL018771                           ABMCQW010000001.1     612403   618081   13.37  0              1              1              1              1              1              1              1            
Lactobacillales bacterium                                     JAISJD010000023.1     43135    45111    5.09   0              1              1              1              0              0              0              0            
Staphylococcus aureus                                         DAPSBW010000002.1     370998   378816   10.15  0              1              1              0              1              1              1              1            
Listeria monocytogenes PNUSAL019041                           ABMYRK010000001.1     122227   127904   10.35  0              1              1              0              1              1              1              1            
Staphylococcus aureus sk55y55t_S7_L001                        DAPVEN010000004.1     71548    77161    10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus H12                                     DAMRUS010000010.1     0        4686     8.12   0              0              1              0              1              1              1              1            
Staphylococcus aureus sk43y43t_S11_L001                       DAPVFD010000011.1     73243    76018    4.08   0              1              1              0              1              0              0              0            
Staphylococcus aureus sk43y43t_S11_L001                       DAPVFD010000005.1     0        2507     5.07   0              0              0              0              0              1              1              1            
Listeria innocua 23MDARD150                                   ABNGFC010000001.1     115939   117928   5.12   0              1              1              1              0              0              0              0            
Staphylococcus lugdunensis                                    JAWEBE010000030.1     15895    21508    10.15  0              1              1              0              1              1              1              1            
Staphylococcus lugdunensis SL118                              NZ_CP041726.1         2224063  2229087  8.14   0              1              1              0              1              1              1              0            
Staphylococcus lugdunensis UMB1187A                           JASOOR010000528.1     961      3612     4.07   0              1              1              0              1              0              0              0            
Clostridiales bacterium                                       JAWEMO010000090.1     4469     7593     5.09   0              0              0              0              1              1              1              0            
Clostridiales bacterium                                       JAWEMO010000122.1     83       2238     5.05   0              1              1              1              0              0              0              0            
Staphylococcus lugdunensis                                    JAWFOB010000309.1     0        2866     5.09   0              0              0              0              1              1              1              0            
Staphylococcus lugdunensis                                    JAWHIU010000228.1     111      3823     6.10   0              1              1              0              1              1              0              0            
Clostridium perfringens                                       JAWGWM010000071.1     7500     11798    3.06   0              1              0              0              1              0              1              0            
Listeria monocytogenes PNUSAL019729                           ABORAA010000001.1     618797   624474   10.35  0              1              1              0              1              1              1              1            
Listeria monocytogenes CFSAN072488                            AABEKL010000001.1     19862    25539    13.37  0              1              1              1              1              1              1              1            
Staphylococcus aureus MRSA                                    DAROYN010000002.1     200794   205818   8.14   0              1              1              0              1              1              1              0            
Listeria innocua 24MDFML001619C                               ABPCHI010000001.1     116075   118070   5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes PNUSAL019881                           ABPFFK010000001.1     874102   879780   13.37  0              1              1              1              1              1              1              1            
Enterococcus hirae FSIS12218426                               ABPZZT010000012.1     61425    67095    13.26  0              1              1              1              1              1              1              1            
Bifidobacteriaceae bacterium                                  JAXJQD010000106.1     221      5062     6.08   0              1              0              0              1              1              1              0            
Listeria innocua P231790055-9                                 ABTFRT010000001.1     144263   149941   13.37  0              1              1              1              1              1              1              1            
Listeria innocua                                              DAFISJ010000035.1     251      5349     11.33  0              1              1              1              1              1              1              0            
Listeria monocytogenes PNUSAL022245                           ABTIIN010000001.1     619805   625482   10.35  0              1              1              0              1              1              1              1            
Listeria innocua 24MDFML006585D                               ABTNOT010000009.1     9820     11815    5.12   0              1              1              1              0              0              0              0            
Listeria innocua FDA1245115-S016-001                          ABTNSL010000001.1     642044   647722   13.37  0              1              1              1              1              1              1              1            
Listeria innocua                                              DAFIVB010000006.1     145116   148908   9.24   0              1              1              1              1              1              0              0            
Listeria innocua                                              DAFIZR010000045.1     323      2895     7.17   0              1              1              1              1              0              0              0            
Listeria innocua                                              DAFIRU010000002.1     420026   423718   4.15   0              0              0              0              1              1              0              1            
Listeria innocua                                              DAFIRU010000017.1     20635    22590    5.12   0              1              1              1              0              0              0              0            
Listeria innocua                                              DAFISR010000003.1     207017   212700   10.28  0              1              1              1              1              1              0              1            
Listeria monocytogenes AG24-0441                              ABTSVV010000001.1     646051   651729   13.37  0              1              1              1              1              1              1              1            
Listeria innocua FDA1257439-S006-001                          ABUVIS010000001.1     694676   700353   13.36  0              1              1              1              1              1              1              1            
Listeria innocua FDA604409-S052-001                           ABDYQU010000089.1     0        1904     5.12   0              1              1              1              0              0              0              0            
Listeria innocua NY83364174                                   AAAXKH010000023.1     47693    50139    7.16   0              1              1              1              1              0              0              0            
Listeria innocua FDA1089468-S079-001                          AAARFV010000053.1     21       2592     5.17   0              0              0              0              0              1              1              1            
Listeria innocua 24MDFML000500-A                              ABUZZU010000001.1     575545   577540   5.13   0              1              1              1              0              0              0              0            
Enterococcus termitis CGMCC 1.15732                           JBHUGQ010000001.1     2646214  2648189  5.07   0              1              1              1              0              0              0              0            
Staphylococcus aureus LS127                                   JBGNVK010000058.1     243      5856     10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus MR297                                   JBEWAD010000279.1     724      3135     4.06   0              1              1              0              1              0              0              0            
Staphylococcus cohnii 1645                                    JBETMS010000007.1     97576    103189   10.15  0              1              1              0              1              1              1              1            
Staphylococcus cohnii 1649                                    JBETMR010000002.1     54917    60530    8.13   0              1              0              0              1              1              1              1            
Staphylococcus cohnii 1701                                    JBETML010000010.1     54805    60418    10.15  0              1              1              0              1              1              1              1            
Listeria monocytogenes PNUSAL023856                           ABWHJY010000001.1     549938   555616   13.36  0              1              1              1              1              1              1              1            
Staphylococcus aureus subsp. aureus JKD6159                   NC_017338.2           1585928  1591541  10.15  0              1              1              0              1              1              1              1            
Staphylococcus aureus H26                                     NZ_VRQL01000070.1     0        2588     5.07   0              0              0              0              0              1              1              1            
Staphylococcus aureus S53509-2015                             DAKZRH010000026.1     35769    38515    4.07   0              1              1              0              1              0              0              0            
Staphylococcus aureus H13                                     NZ_VRQV01000137.1     0        4616     8.12   0              0              1              0              1              1              1              1            
Staphylococcus aureus H15                                     NZ_VRQT01000033.1     22537    26254    7.10   0              0              0              0              1              1              1              1            
Staphylococcus aureus E021                                    NZ_VRQY01000120.1     329      3137     4.07   0              0              1              0              1              1              0              0            
Staphylococcus aureus ST93                                    DALNSD010000001.1     542338   547363   6.11   0              1              1              0              0              1              1              0            
Staphylococcus aureus S20102-2017                             DAKZKB010000001.1     273155   278179   8.14   0              1              1              0              1              1              1              0            
Staphylococcus aureus S41104-2016                             DAKZSO010000046.1     69       4233     6.12   0              0              1              0              1              1              1              0            
Staphylococcus aureus                                         DAHIVI010000120.1     63       3191     5.10   0              0              0              0              1              1              1              0            
Staphylococcus aureus                                         DAHIAO010000023.1     16272    19984    6.10   0              1              1              0              1              1              0              0            
Staphylococcus aureus AUSMDU00007479                          DACMNO010000002.1     228797   234409   7.11   0              1              1              0              1              1              0              1            
Staphylococcus aureus AUSMDU00012796                          DADOSF010000054.1     17       4673     5.08   0              0              1              0              1              1              0              1            
Lactobacillus crispatus 125-2-CHN                             GG698761.1            47083    52645    13.14  0              1              1              1              1              1              1              1            
Lactobacillus crispatus MV-3A-US                              GG704607.1            274152   281509   13.13  0              1              1              1              1              1              1              1            
Lactobacillus crispatus                                       JAOBBK010000207.1     22       2644     7.06   0              1              1              1              1              0              0              0            
Lactobacillus crispatus C0059E1                               NZ_JAKHQW010000093.1  2756     5530     5.08   0              0              0              0              0              1              1              1            
Lactobacillus crispatus CTV-05                                GL531736.1            446674   449437   7.07   0              1              1              1              1              0              0              0            
Listeria seeligeri FSL S4-171                                 CM001052.1            2006220  2010779  6.17   0              0              1              1              0              1              1              0            
Listeria seeligeri LS44                                       NZ_JAPJWJ010000001.1  379601   385282   13.29  0              1              1              1              1              1              1              1            
Lactobacillus crispatus FB049-03                              NZ_JH932290.1         356940   364194   13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus C0049A1                               NZ_JAKHRB010000126.1  1222     3180     5.05   0              1              1              1              0              0              0              0            
Lactobacillus crispatus C0049A1                               NZ_JAKHRB010000128.1  47       3308     7.10   0              0              0              0              1              1              1              1            
Lactobacillus crispatus FB077-07                              NZ_JH932274.1         226887   235162   13.15  0              1              1              1              1              1              1              1            
Lactobacillus crispatus VMC2                                  NZ_LJDA01000103.1     26526    28121    5.04   0              0              1              1              1              0              0              0            
Lactobacillus crispatus LB83                                  NZ_JBBOIM010000001.1  38911    40869    5.05   0              1              1              1              0              0              0              0            
Lactobacillus crispatus LB129                                 NZ_JBBOJJ010000006.1  289      3112     7.07   0              1              1              1              1              0              0              0            
Lactobacillus crispatus RL11                                  NZ_NKLJ01000238.1     18       4551     11.12  0              0              1              1              1              1              1              1            
Lactobacillus crispatus RL08                                  NZ_NKLM01000297.1     2836     5607     5.07   0              0              0              0              0              1              1              1            
Lactobacillus crispatus C0028A1                               NZ_JAKHRA010000133.1  47       3308     7.10   0              0              0              0              1              1              1              1            
Lactobacillus crispatus C0090E6                               NZ_JAKHFI010000018.1  28776    32536    9.09   0              1              1              1              1              1              0              0            
Heyndrickxia coagulans XZL9                                   NZ_ANAP01000078.1     879      6482     13.18  0              1              1              1              1              1              1              1            
Enterococcus caccae ATCC BAA-1240                             NZ_KB946335.1         651889   657581   13.27  0              1              1              1              1              1              1              1            
Listeria monocytogenes N1-011A                                NC_021826.1           3090455  3094247  9.25   0              1              1              1              1              1              0              0            
Listeria monocytogenes DMG1500284                             DAAKBU010000033.1     0        3493     7.23   0              0              0              0              1              1              1              1            
Listeria monocytogenes PNUSAL000883                           AAAKJS010000041.1     96       4097     9.27   0              0              0              1              1              1              1              1            
Listeria monocytogenes CDPHFDLB-FM19-00638-A                  AACKAD010000027.1     25877    30088    9.28   0              0              1              1              1              1              1              0            
Listeria monocytogenes FSL N3-0689                            AAXGGC010000001.1     593449   599127   13.38  0              1              1              1              1              1              1              1            
Listeria monocytogenes serotype 7 str. SLCC2482               NC_018591.1           1163231  1168910  10.31  0              1              1              1              1              0              1              1            
Listeria monocytogenes DMG1500507                             DAAKJD010000134.1     163      2278     5.14   0              0              0              1              1              1              0              0            
Listeria monocytogenes 18ZQLM03                               VOXO01000012.1        81608    84033    5.16   0              0              0              0              0              1              1              1            
Listeria monocytogenes DMG1500427                             DAAKFL010000001.1     449279   454957   10.36  0              1              1              0              1              1              1              1            
Listeria monocytogenes PNUSAL006671                           AANCTZ010000029.1     83       4874     11.32  0              0              1              1              1              1              1              1            
Listeria monocytogenes DMG1500504                             DAAKJA010000055.1     6222     8734     4.14   0              1              1              0              1              0              0              0            
Listeria monocytogenes FDA1117726-S039-001                    AAKCOV010000017.1     49887    51882    5.13   0              1              1              1              0              0              0              0            
Listeria monocytogenes FDA1117726-S039-001                    AAKCOV010000036.1     198      3198     5.20   0              0              0              0              1              1              1              0            
Listeria monocytogenes CFSAN081546                            AAQOYZ010000001.1     570164   575840   10.29  0              1              1              1              1              1              0              1            
Listeria monocytogenes PNUSAL008276                           AAWRCS010000056.1     283      5380     8.28   0              1              1              1              1              0              1              0            
Listeria monocytogenes LM07-00948                             CYVS01000003.1        17957    23783    15.38  1              1              1              1              1              1              1              1            
Listeria monocytogenes DMG1500060                             DAAJXU010000081.1     9684     12482    7.18   0              1              1              1              1              0              0              0            
Listeria monocytogenes FDA1117726-S006-001                    AAKCQQ010000043.1     261      3682     7.23   0              0              0              1              1              1              1              0            
Listeria monocytogenes DMG1500506                             DAAJWC010000121.1     186      5284     8.32   0              1              1              0              1              1              1              0            
Listeria monocytogenes PNUSAL002428                           AAATHC010000042.1     0        2889     7.19   0              0              1              1              1              1              0              0            
Listeria monocytogenes FDA277976                              AAAJBR010000003.1     253      5351     11.34  0              1              1              1              1              1              1              0            
Listeria monocytogenes FLAG-34723                             RLMM01000001.1        623396   629072   10.32  0              1              1              1              0              1              1              1            
Listeria monocytogenes L7-1802                                AAHZIN010000006.1     81836    87494    13.26  0              1              1              1              1              1              1              1            
Virgibacillus alimentarius J18                                NZ_JFBD01000095.1     5808     11220    8.10   0              1              1              0              1              1              1              0            
Exiguobacterium mexicanum HUD                                 JQGI01000001.1        1754145  1759710  10.15  0              1              1              0              1              1              1              1            
Staphylococcus cohnii subsp. cohnii 532                       LATV01000010.1        58320    63933    10.15  0              1              1              0              1              1              1              1            
Staphylococcus sp. GDK8D64P                                   NZ_JAESMU010000016.1  87281    89783    4.06   0              1              1              0              1              0              0              0            
Staphylococcus sp. GDX8P65P                                   NZ_JAESML010000031.1  12705    17458    8.13   0              0              1              0              1              1              1              1            
Heyndrickxia coagulans B4096                                  NZ_LQYJ01000039.1     76890    82493    13.18  0              1              1              1              1              1              1              1            
Caldibacillus debilis B4135                                   NZ_LQYT01000009.1     30701    36525    10.11  0              1              1              0              1              1              1              1            
Listeria monocytogenes NRRL B-33372                           NZ_MKNO01000015.1     857213   862890   10.34  0              1              1              0              1              1              1              1            
Actinomyces naeslundii R19039                                 NZ_MSKZ01000008.1     110539   112501   5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii R13240                                 NZ_MSLA01000013.1     153939   155901   5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii R8152                                  NZ_MSLB01000021.1     85005    86967    5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii Pn6N                                   NZ_MSRJ01000012.1     42521    44483    5.04   0              1              1              1              0              0              0              0            
Actinomyces naeslundii MMRC12-1                               NZ_MSRI01000003.1     82125    84087    5.04   0              1              1              1              0              0              0              0            
