Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43	Number	Strand	Layout_group	representative	dereplication_status	Start_x	Start_y	End_x	End_y	Start_bin	End_bin	Interval_bin	Start_drep	End_drep	Interval_drep
GCF_049200475.1	NZ_CP113903.1	3009706.0	3014189.0	6627.0	1	1	0	1	0	0	0	260	(-1, -1, -1)	(2, 1, 0)	NZ_CP113903.1:3004706-3019189	dereplication_representative										
GCF_029542625.1	NZ_CP120733.1	2709789.0	2717652.0	11242.0	1	1	0	1	1	1	1	25	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_CP120733.1:2704789-2722652	dereplication_representative										
GCF_038396635.1	NZ_CP121687.1	1183831.0	1193135.0	9521.0	1	1	0	1	0	1	1	120	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_CP121687.1:1178831-1198135	dereplication_representative										
GCF_037057455.1	NZ_CP124295.1	3110820.0	3116521.0	7881.0	1	1	0	1	1	0	0	232	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CP124295.1:3105820-3121521	dereplication_representative										
GCF_030013905.1	NZ_CP124862.1	5358736.0	5364164.0	6494.0	1	1	0	1	0	0	0	268	(1, 1, 1)	(2, 1, 0)	NZ_CP124862.1:5353736-5369164	dereplication_representative										
GCF_040267475.1	NZ_CP125628.1	4170540.0	4175303.0	5999.0	0	1	0	1	0	1	0	331	(-1, -1, -1)	(2, 1, 0)	NZ_CP125628.1:4165540-4180303	dereplication_representative										
GCF_030166575.1	NZ_CP126462.1	1779990.0	1787472.0	11693.0	1	1	0	1	1	1	1	9	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP126462.1:1774990-1792472	dereplication_representative										
GCF_030263895.1	NZ_CP127161.1	2343316.0	2350915.0	11145.0	1	1	0	1	1	1	1	30	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP127161.1:2338316-2355915	dereplication_representative										
GCF_030644385.1	NZ_CP130060.1	1443506.0	1448395.0	5849.0	0	1	0	1	0	1	0	371	(-1, -1, -1)	(2, 1, 0)	NZ_CP130060.1:1438506-1453395	dereplication_representative										
GCF_030534315.2	NZ_CP130558.2	2952099.0	2958942.0	9910.0	1	1	0	1	0	1	1	74	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP130558.2:2947099-2963942	dereplication_representative										
GCF_002250075.1	NZ_CP016893.1	2576894.0	2584228.0	10748.0	1	1	0	1	1	1	1	42	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP130558.2:2947099-2963942	readded_by_content										
GCF_017874545.1	NZ_JAGGLT010000024.1	25541.0	32384.0	9922.0	1	1	0	1	0	1	1	73	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP130558.2:2947099-2963942	redundant										
GCF_046529625.1	NZ_CP132338.1	911061.0	915054.0	5243.0	0	0	0	1	0	1	1	380	(1, 1, 1)	(2, 1, 0)	NZ_CP132338.1:906061-920054	dereplication_representative										
GCF_030913655.1	NZ_CP133189.1	707968.0	712719.0	6481.0	1	1	0	1	0	0	0	269	(1, 1, 1)	(2, 1, 0)	NZ_CP133189.1:702968-717719	dereplication_representative										
GCF_040267685.1	NZ_CP158367.1	851769.0	863553.0	10046.0	1	1	0	1	1	1	1	65	(1, 1, 1, -1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_CP158367.1:846769-868553	dereplication_representative										
GCF_040515995.1	NZ_CP159485.1	2060243.0	2072285.0	10126.0	1	1	0	1	1	1	1	61	(-1, -1, 1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_CP159485.1:2055243-2077285	dereplication_representative										
GCF_023653455.2	NZ_CP161000.1	2804035.0	2809730.0	7838.0	1	1	0	1	1	0	0	241	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CP161000.1:2799035-2814730	dereplication_representative										
GCF_004803955.2	NZ_CP163137.1	2233374.0	2237871.0	5123.0	0	0	0	1	0	1	1	388	(-1, -1, -1)	(2, 1, 0)	NZ_CP163137.1:2228374-2242871	dereplication_representative										
GCF_045038935.1	NZ_CP171113.1	889552.0	896584.0	9316.0	1	1	0	1	0	1	1	206	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP171113.1:884552-901584	dereplication_representative										
GCF_044502415.1	NZ_CP172402.1	1941133.0	1947968.0	7617.0	1	1	0	1	0	0	1	248	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CP172402.1:1936133-1952968	dereplication_representative										
GCF_047456265.2	NZ_CP173187.2	2740151.0	2744353.0	6605.0	1	1	0	1	0	0	0	262	(-1, -1, -1)	(2, 1, 0)	NZ_CP173187.2:2735151-2749353	dereplication_representative										
GCF_046523925.1	NZ_CP174369.1	1554884.0	1559817.0	6316.0	1	1	0	1	0	0	0	276	(1, 1, 1)	(2, 1, 0)	NZ_CP174369.1:1549884-1564817	dereplication_representative										
GCF_041861885.3	NZ_CP175761.1	1358982.0	1365749.0	9530.0	1	1	0	1	0	1	1	115	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_CP175761.1:1353982-1370749	dereplication_representative										
GCF_046603775.1	NZ_CP176625.1	3466586.0	3470808.0	6692.0	1	1	0	1	0	0	0	257	(-1, -1, -1)	(2, 1, 0)	NZ_CP176625.1:3461586-3475808	dereplication_representative										
GCF_900683775.1	NZ_LR215983.1	3000409.0	3004636.0	6724.0	1	1	0	1	0	0	0	256	(-1, -1, -1)	(2, 1, 0)	NZ_CP176625.1:3461586-3475808	redundant										
GCF_002441855.2	NZ_CP029487.1	3965629.0	3969857.0	6749.0	1	1	0	1	0	0	0	254	(1, 1, 1)	(2, 1, 0)	NZ_CP176625.1:3461586-3475808	redundant										
GCF_048568315.1	NZ_CP183811.1	277729.0	283428.0	7946.0	1	1	0	1	1	0	0	227	(1, 1, 1, 1)	(3, 2, 1, 0)	NZ_CP183811.1:272729-288428	dereplication_representative										
GCF_031202285.1	NZ_CP101637.1	2474866.0	2480566.0	7948.0	1	1	0	1	1	0	0	225	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CP183811.1:272729-288428	redundant										
GCF_036812735.1	NZ_CP117523.1	3666489.0	3672189.0	7948.0	1	1	0	1	1	0	0	226	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_CP183811.1:272729-288428	redundant										
GCF_001299475.1	NZ_CYUJ01000002.1	774043.0	778018.0	6730.0	1	1	0	1	0	0	0	255	(1, 1, 1)	(2, 1, 0)	NZ_CYUJ01000002.1:769043-783018	dereplication_representative										
GCF_900078395.1	NZ_FKLA01000009.1	1860070.0	1864784.0	6240.0	1	1	0	1	0	0	0	299	(1, 1, 1)	(2, 1, 0)	NZ_FKLA01000009.1:1855070-1869784	dereplication_representative										
GCF_900095445.1	NZ_FMJL01000002.1	121865.0	128823.0	9622.0	1	1	0	1	0	1	1	86	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FMJL01000002.1:116865-133823	dereplication_representative										
GCF_900095725.1	NZ_FMMP01000006.1	335960.0	339737.0	5166.0	0	0	0	1	0	1	1	384	(1, 1, 1)	(2, 1, 0)	NZ_FMMP01000006.1:330960-344737	dereplication_representative										
GCF_900100845.1	NZ_FNFP01000002.1	447265.0	454799.0	11295.0	1	1	0	1	1	1	1	21	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_FNFP01000002.1:442265-459799	dereplication_representative										
GCF_900103835.1	NZ_FNID01000019.1	22067.0	26967.0	6253.0	1	1	0	1	0	0	0	292	(-1, -1, -1)	(2, 1, 0)	NZ_FNID01000019.1:17067-31967	dereplication_representative										
GCF_900107485.1	NZ_FNQE01000022.1	24382.0	31911.0	11084.0	1	1	0	1	1	1	1	33	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_FNQE01000022.1:19382-36911	dereplication_representative										
GCF_900108045.1	NZ_FNUK01000016.1	38598.0		10096.0	1	1	0	1	0	1	1	63	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FNUK01000016.1:33598-48176	dereplication_representative			45023.0	48176.0						
GCF_900110045.1	NZ_FOCG01000001.1	784840.0	790374.0	6229.0	1	1	0	1	0	0	0	302	(-1, -1, -1)	(2, 1, 0)	NZ_FOCG01000001.1:779840-795374	dereplication_representative										
GCF_900111595.1	NZ_FOHN01000015.1	52931.0	61692.0	5985.0	0	1	0	1	0	1	0	333	(1, 1, 1)	(2, 1, 0)	NZ_FOHN01000015.1:47931-66692	dereplication_representative										
GCF_900111615.1	NZ_FOHU01000001.1	430839.0	438363.0	11213.0	1	1	0	1	1	1	1	28	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_FOHU01000001.1:425839-443363	dereplication_representative										
GCF_900111985.1	NZ_FOKI01000002.1	141121.0	148284.0	9486.0	1	1	0	1	0	1	1	138	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FOKI01000002.1:136121-153284	dereplication_representative										
GCF_900113635.1	NZ_FOQA01000001.1	58996.0	65961.0	10674.0	1	1	0	1	1	1	1	45	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_FOQA01000001.1:53996-70961	dereplication_representative										
GCF_900112775.1	NZ_FOYZ01000003.1	254876.0	261928.0	5920.0	0	1	0	1	0	1	0	357	(-1, -1, -1)	(2, 1, 0)	NZ_FOYZ01000003.1:249876-266928	dereplication_representative										
GCF_900128885.1	NZ_FQTU01000001.1	17798.0	24171.0	9827.0	1	1	0	1	0	1	1	79	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FQTU01000001.1:12798-29171	dereplication_representative										
GCF_900129075.1	NZ_FQVH01000002.1	52369.0	59136.0	9971.0	1	1	0	1	0	1	1	67	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FQVH01000002.1:47369-64136	dereplication_representative										
GCF_900129965.1	NZ_FQXM01000004.1	228634.0	235367.0	9331.0	1	1	0	1	0	1	1	204	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FQXM01000004.1:223634-240367	dereplication_representative										
GCF_900130005.1	NZ_FQXP01000013.1	42091.0	49599.0	9469.0	1	1	0	1	0	1	1	148	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FQXP01000013.1:37091-54599	dereplication_representative										
GCF_900141845.1	NZ_FQZB01000003.1	39027.0	45792.0	9510.0	1	1	0	1	0	1	1	127	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FQZB01000003.1:34027-50792	dereplication_representative										
GCF_900142075.1	NZ_FQZO01000001.1	696581.0	703347.0	9583.0	1	1	0	1	0	1	1	97	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FQZO01000001.1:691581-708347	dereplication_representative										
GCF_900142145.1	NZ_FQZV01000003.1	26074.0	33619.0	11575.0	1	1	0	1	1	1	1	15	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_FQZV01000003.1:21074-38619	dereplication_representative										
GCF_900142225.1	NZ_FRAD01000012.1	56835.0	63848.0	8112.0	1	1	0	1	0	1	0	224	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_FRAD01000012.1:51835-68848	dereplication_representative										
GCF_900142245.1	NZ_FRAG01000001.1	202027.0		6955.0	0	0	0	1	1	1	1	253	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_FRAG01000001.1:197027-207332	dereplication_representative			206243.0	207332.0						
GCF_900142275.1	NZ_FRAI01000005.1	531714.0	544077.0	8299.0	0	1	0	1	1	1	1	218	(-1, -1, 1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FRAI01000005.1:526714-549077	dereplication_representative										
GCF_900142955.1	NZ_FRCP01000014.1	143100.0	157240.0	5965.0	0	1	0	1	0	1	0	336	(1, 1, 1)	(2, 1, 0)	NZ_FRCP01000014.1:138100-162240	dereplication_representative										
GCF_900167305.1	NZ_FUWV01000001.1	267188.0	274389.0	10226.0	1	1	0	1	0	1	1	58	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FUWV01000001.1:262188-279389	dereplication_representative										
GCF_900167505.1	NZ_FUYD01000002.1	164119.0	171057.0	9465.0	1	1	0	1	0	1	1	152	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FUYD01000002.1:159119-176057	dereplication_representative										
GCF_900167605.1	NZ_FUYH01000004.1		12268.0	9938.0	1	1	0	1	0	1	1	71	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FUYH01000004.1:1-17268	readded_by_content	4724.0	1.0								
GCF_900167445.1	NZ_FUZT01000005.1	261103.0	268639.0	11748.0	1	1	0	1	1	1	1	8	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_FUZT01000005.1:256103-273639	dereplication_representative										
GCF_900176305.1	NZ_FWXH01000003.1	161024.0	167882.0	9572.0	1	1	0	1	0	1	1	100	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_FWXH01000003.1:156024-172882	dereplication_representative										
GCF_900176335.1	NZ_FWXW01000010.1	6030.0	10995.0	6243.0	1	1	0	1	0	0	0	297	(-1, -1, -1)	(2, 1, 0)	NZ_FWXW01000010.1:1030-15995	dereplication_representative										
GCF_900185645.1	NZ_FYAM01000024.1	178275.0	185601.0	9554.0	1	1	0	1	0	1	1	106	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_FYAM01000024.1:173275-190601	dereplication_representative										
GCF_900186535.1	NZ_FYDE01000005.1	1921900.0	1926615.0	6138.0	1	1	0	1	0	0	0	316	(-1, -1, -1)	(2, 1, 0)	NZ_FYDE01000005.1:1916900-1931615	dereplication_representative										
GCF_900188145.1	NZ_FZOJ01000008.1	59838.0	67445.0	11287.0	1	1	0	1	1	1	1	22	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_FZOJ01000008.1:54838-72445	dereplication_representative										
GCF_000430995.1	NZ_HF952018.1	1188859.0	1196543.0	10943.0	1	1	0	1	1	1	1	35	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_HF952018.1:1183859-1201543	dereplication_representative										
GCF_000308275.2	NZ_HG529490.1	556686.0	569230.0	4737.0	1	1	0	1	0	0	0	397	(-1, -1, -1)	(2, 1, 0)	NZ_HG529490.1:551686-574230	dereplication_representative										
GCF_000577895.1	NZ_HG917868.1	2207497.0	2214792.0	9238.0	1	1	0	1	0	1	1	212	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_HG917868.1:2202497-2219792	dereplication_representative										
GCF_009928445.1	NZ_JAABNO010000002.1	329524.0	336327.0	9450.0	1	1	0	1	0	1	1	171	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAABNO010000002.1:324524-341327	dereplication_representative										
GCF_010179735.1	NZ_JAAEEH010000017.1	18012.0	24380.0	5903.0	0	1	0	1	0	1	0	362	(1, 1, 1)	(2, 1, 0)	NZ_JAAEEH010000017.1:13012-29380	dereplication_representative										
GCF_011065905.2	NZ_JAAMNG020000001.1	2111783.0	2118661.0	9420.0	1	1	0	1	0	1	1	190	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAAMNG020000001.1:2106783-2123661	dereplication_representative										
GCF_011065935.2	NZ_JAAMNH020000001.1	3037593.0	3044519.0	9537.0	1	1	0	1	0	1	1	111	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAAMNH020000001.1:3032593-3049519	dereplication_representative										
GCF_011065955.2	NZ_JAAMNI020000001.1	3186023.0	3192951.0	9453.0	1	1	0	1	0	1	1	166	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAAMNI020000001.1:3181023-3197951	dereplication_representative										
GCF_012926525.1	NZ_JABBNI010000001.1	112639.0	119768.0	9432.0	1	1	0	1	0	1	1	179	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JABBNI010000001.1:107639-124768	dereplication_representative										
GCF_013294265.1	NZ_JABSWD010000001.1	3060865.0	3067972.0	9569.0	1	1	0	1	0	1	1	102	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JABSWD010000001.1:3055865-3072972	dereplication_representative										
GCF_014050525.1	NZ_JACGAG010000005.1	52397.0	59273.0	9425.0	1	1	0	1	0	1	1	185	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JACGAG010000005.1:47397-64273	dereplication_representative										
GCF_014205875.1	NZ_JACHEN010000004.1	71404.0	78943.0	11599.0	1	1	0	1	1	1	1	13	(-1, -1, -1, -1, -1, -1)	(5, 4, 3, 2, 1, 0)	NZ_JACHEN010000004.1:66404-83943	dereplication_representative										
GCF_014202115.1	NZ_JACHFW010000009.1	128875.0	135783.0	6069.0	0	1	0	1	0	1	0	320	(-1, -1, -1)	(2, 1, 0)	NZ_JACHFW010000009.1:123875-140783	dereplication_representative										
GCF_014281125.1	NZ_JACOEA010000001.1	380999.0	387212.0	6239.0	1	1	0	1	0	0	0	300	(1, 1, 1)	(2, 1, 0)	NZ_JACOEA010000001.1:375999-392212	dereplication_representative										
GCF_014287895.1	NZ_JACOPP010000002.1	150541.0	156233.0	6249.0	1	1	0	1	0	0	0	295	(-1, -1, -1)	(2, 1, 0)	NZ_JACOPP010000002.1:145541-161233	dereplication_representative										
GCF_014287675.1	NZ_JACOPQ010000002.1	43200.0	54227.0	6185.0	1	1	0	1	0	0	0	315	(-1, -1, -1)	(2, 1, 0)	NZ_JACOPQ010000002.1:38200-59227	dereplication_representative										
GCF_014384895.1	NZ_JACRSQ010000005.1	10859.0	14781.0	5192.0	0	0	0	1	0	1	1	382	(1, 1, 1)	(2, 1, 0)	NZ_JACRSQ010000005.1:5859-19781	dereplication_representative										
GCF_014384995.1	NZ_JACRSY010000008.1	52364.0	56011.0	5279.0	0	0	0	1	0	1	1	377	(-1, -1, -1)	(2, 1, 0)	NZ_JACRSY010000008.1:47364-61011	dereplication_representative										
GCF_014385085.1	NZ_JACRTD010000001.1	381596.0	386304.0	6348.0	1	1	0	1	0	0	0	271	(-1, -1, -1)	(2, 1, 0)	NZ_JACRTD010000001.1:376596-391304	dereplication_representative										
GCF_014385265.1	NZ_JACRTJ010000005.1	128371.0	133176.0	5962.0	0	1	0	1	0	1	0	337	(-1, -1, -1)	(2, 1, 0)	NZ_JACRTJ010000005.1:123371-138176	dereplication_representative										
GCF_016901815.1	NZ_JACSNR010000007.1	10409.0	15196.0	6216.0	1	1	0	1	0	0	0	306	(-1, -1, -1)	(2, 1, 0)	NZ_JACSNR010000007.1:5409-20196	dereplication_representative										
GCF_032335695.1	NZ_JACTOJ010000010.1	177458.0		9382.0	1	1	0	1	0	1	1	198	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JACTOJ010000010.1:172458-186097	dereplication_representative			184398.0	186097.0						
GCF_014982785.1	NZ_JADCKB010000015.1	13368.0	18085.0	5093.0	0	0	0	1	0	1	1	390	(-1, -1, -1)	(2, 1, 0)	NZ_JADCKB010000015.1:8368-23085	dereplication_representative										
GCF_015352425.1	NZ_JADKNH010000006.1	234916.0	238987.0	7696.0	0	0	0	1	1	1	1	246	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_JADKNH010000006.1:229916-243987	dereplication_representative										
GCF_017811815.1	NZ_JADKZI010000002.1	453445.0	463563.0	6187.0	1	1	0	1	0	0	0	314	(-1, -1, -1)	(2, 1, 0)	NZ_JADKZI010000002.1:448445-468563	dereplication_representative										
GCF_015550495.1	NZ_JADNAX010000004.1	43128.0	48999.0	8334.0	1	1	1	1	1	0	0	216	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JADNAX010000004.1:38128-53999	dereplication_representative										
GCF_015554605.1	NZ_JADNIV010000001.1	299120.0	304021.0	6291.0	1	1	0	1	0	0	0	281	(-1, -1, -1)	(2, 1, 0)	NZ_JADNIV010000001.1:294120-309021	dereplication_representative										
GCF_015557495.1	NZ_JADNOJ010000005.1	105647.0	118296.0	7601.0	0	1	0	1	0	1	1	249	(-1, -1, -1, -1)	(3, 2, 1, 0)	NZ_JADNOJ010000005.1:100647-123296	dereplication_representative										
GCF_015594845.1	NZ_JADNRK010000002.1	194573.0	200903.0	9861.0	1	1	0	1	0	1	1	78	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JADNRK010000002.1:189573-205903	dereplication_representative										
GCF_021531375.1	NZ_JADYTU010000007.1	64823.0	69927.0	6250.0	1	1	0	1	0	0	0	294	(-1, -1, -1)	(2, 1, 0)	NZ_JADYTU010000007.1:59823-74927	dereplication_representative										
GCF_021531815.1	NZ_JADYUM010000003.1	55199.0	60282.0	6220.0	1	1	0	1	0	0	0	304	(1, 1, 1)	(2, 1, 0)	NZ_JADYUM010000003.1:50199-65282	dereplication_representative										
GCF_021432385.1	NZ_JAEACT010000002.1	1175303.0	1182777.0	9455.0	1	1	0	1	0	1	1	164	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAEACT010000002.1:1170303-1187777	dereplication_representative										
GCF_016765615.1	NZ_JAESWA010000017.1	358692.0	365547.0	9423.0	1	1	0	1	0	1	1	186	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAESWA010000017.1:353692-370547	dereplication_representative										
GCF_028728205.1	NZ_JAQYUU010000001.1	1427221.0	1434076.0	9421.0	1	1	0	1	0	1	1	189	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAESWA010000017.1:353692-370547	redundant										
GCF_016765585.1	NZ_JAESWC010000002.1	394125.0	401012.0	9531.0	1	1	0	1	0	1	1	114	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAESWC010000002.1:389125-406012	dereplication_representative										
GCF_016908015.1	NZ_JAFBDB010000002.1	599421.0	607004.0	9565.0	1	1	0	1	0	1	1	104	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAFBDB010000002.1:594421-612004	dereplication_representative										
GCF_016908355.1	NZ_JAFBDT010000006.1	77753.0	84673.0	12821.0	1	1	1	1	1	1	1	2	(-1, -1, -1, -1, -1, -1, -1)	(6, 5, 4, 3, 2, 1, 0)	NZ_JAFBDT010000006.1:72753-89673	dereplication_representative										
GCF_000526495.1	NZ_JAGE01000001.1	3481939.0	3489673.0	10431.0	1	1	0	1	1	1	1	49	(1, 1, 1, 1, 1, 1)	(5, 4, 3, 2, 1, 0)	NZ_JAGE01000001.1:3476939-3494673	dereplication_representative										
GCF_017874425.1	NZ_JAGGLL010000001.1	249803.0	256912.0	9645.0	1	1	0	1	0	1	1	83	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAGGLL010000001.1:244803-261912	dereplication_representative										
GCF_017874415.1	NZ_JAGGLM010000005.1	67277.0	74140.0	9395.0	1	1	0	1	0	1	1	196	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAGGLM010000005.1:62277-79140	dereplication_representative										
GCF_018390735.1	NZ_JAHBCL010000024.1	43636.0	50752.0	14999.0	1	1	1	1	1	1	1	1	(1, 1, 1, 1, 1, 1, 1)	(6, 5, 4, 3, 2, 1, 0)	NZ_JAHBCL010000024.1:38636-55752	dereplication_representative										
GCF_019144085.1	NZ_JAHHUY010000004.1	55479.0	62338.0	9367.0	1	1	0	1	0	1	1	200	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAHHUY010000004.1:50479-67338	dereplication_representative										
GCF_036670035.1	NZ_CP137758.1	2057652.0	2064512.0	9423.0	1	1	0	1	0	1	1	188	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAHHUY010000004.1:50479-67338	redundant										
GCF_018861735.1	NZ_JAHLEB010000009.1	45301.0	52206.0	9429.0	1	1	0	1	0	1	1	183	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAHLEB010000009.1:40301-57206	dereplication_representative										
GCF_018861755.1	NZ_JAHLEF010000008.1	134908.0	141822.0	9492.0	1	1	0	1	0	1	1	133	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAHLEF010000008.1:129908-146822	dereplication_representative										
GCF_018917145.1	NZ_JAHLOD010000004.1	52006.0	58958.0	9248.0	1	1	0	1	0	1	1	211	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAHLOD010000004.1:47006-63958	dereplication_representative										
GCF_018917965.1	NZ_JAHLPP010000001.1	938278.0	943744.0	6251.0	1	1	0	1	0	0	0	293	(-1, -1, -1)	(2, 1, 0)	NZ_JAHLPP010000001.1:933278-948744	dereplication_representative										
GCF_018918155.1	NZ_JAHLPY010000001.1	312359.0	320745.0	5888.0	0	1	0	1	0	1	0	365	(-1, -1, -1)	(2, 1, 0)	NZ_JAHLPY010000001.1:307359-325745	dereplication_representative										
GCF_018918285.1	NZ_JAHLQF010000003.1	585649.0	592647.0	9606.0	1	1	0	1	0	1	1	90	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAHLQF010000003.1:580649-597647	dereplication_representative										
GCF_020176155.1	NZ_JAIRAZ010000035.1	5575.0	12485.0	9461.0	1	1	0	1	0	1	1	156	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAIRAZ010000035.1:575-17485	dereplication_representative										
GCF_020443705.1	NZ_JAIZZK010000001.1	402724.0	409734.0	9520.0	1	1	0	1	0	1	1	123	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAIZZK010000001.1:397724-414734	dereplication_representative										
GCF_020443565.1	NZ_JAIZZN010000004.1	51349.0	58309.0	9575.0	1	1	0	1	0	1	1	98	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAIZZN010000004.1:46349-63309	dereplication_representative										
GCF_020686985.1	NZ_JAJEPU010000020.1	26468.0	31221.0	5926.0	0	1	0	1	0	1	0	354	(1, 1, 1)	(2, 1, 0)	NZ_JAJEPU010000020.1:21468-36221	dereplication_representative										
GCF_020908015.1	NZ_JAJJPB010000020.1	37136.0	44115.0	9299.0	1	1	0	1	0	1	1	207	(1, 1, 1, 1, 1)	(4, 3, 2, 1, 0)	NZ_JAJJPB010000020.1:32136-49115	dereplication_representative										
GCF_021043395.1	NZ_JAJNKE010000001.1	249387.0	256776.0	9533.0	1	1	0	1	0	1	1	113	(-1, -1, -1, -1, -1)	(4, 3, 2, 1, 0)	NZ_JAJNKE010000001.1:244387-261776	dereplication_representative										
GCF_021044755.1	NZ_JAJNOR010000002.1	153101.0	157808.0	6013.0	0	1	0	1	0	1	0	327	(-1, -1, -1)	(2, 1, 0)	NZ_JAJNOR010000002.1:148101-162808	dereplication_representative										
GCF_014337195.1	NZ_CP060634.1	1424268.0	1428975.0	6052.0	0	1	0	1	0	1	0	321	(-1, -1, -1)	(2, 1, 0)	NZ_JAJNOR010000002.1:148101-162808	redundant										
GCF_026155355.1	NZ_JAJUXF010000001.1	856673.0	861147.0	5087.0	0	0	0	1	0	1	1	391	(1, 1, 1)	(2, 1, 0)	NZ_JAJUXF010000001.1:851673-866147	dereplication_representative										
GCF_022132365.1	NZ_JAKNJB010000022.1	33772.0	38756.0	6268.0	1	1	0	1	0	0	0	286	(-1, -1, -1)	(2, 1, 0)	NZ_JAKNJB010000022.1:28772-43756	dereplication_representative										
