CP030479.1	GCA_008934295.1
NZ_JAHMRQ010000004.1	GCF_018986175.1
JAHNPY010000001.1	GCF_019016865.1
JAHNUI010000002.1	GCF_019019435.1
NZ_WOCG01000002.1	GCF_019049915.1
NZ_WOCJ01000002.1	GCF_019049955.1
NZ_WOCO01000002.1	GCF_019050055.1
NZ_WOCL01000002.1	GCF_019050095.1
NZ_WOCR01000002.1	GCF_019050145.1
NZ_WOCS01000003.1	GCF_019050185.1
NZ_WOCW01000002.1	GCF_019050255.1
NZ_JABTVH010000001.1	GCF_019279755.1
NZ_JAHVYO010000003.1	GCF_019294805.1
NZ_JAHZUK010000003.1	GCF_019458145.1
NZ_JAHZUJ010000002.1	GCF_019458205.1
NZ_JAHZUH010000002.1	GCF_019458225.1
NZ_JAHZUF010000001.1	GCF_019458235.1
NZ_JAHZUI010000002.1	GCF_019458265.1
NZ_JAHZUG010000002.1	GCF_019458285.1
NZ_JAHZUE010000002.1	GCF_019458305.1
NZ_JAHZUC010000001.1	GCF_019458325.1
NZ_JAHZUB010000002.1	GCF_019458345.1
NZ_JAHZUA010000001.1	GCF_019458365.1
NZ_JAHZUD010000002.1	GCF_019458375.1
NZ_JAHZTZ010000002.1	GCF_019458425.1
NZ_JAFCXQ010000005.1	GCF_019689475.1
JAIGAS010000001.1	GCF_019718205.1
JAIGAR010000001.1	GCF_019718235.1
JAFVKH010000001.1	GCF_019757735.1
NZ_JAEAGF010000006.1	GCF_020075455.1
NZ_JAIUGC010000003.1	GCF_020165965.1
NZ_JAINYG010000019.1	GCF_020167415.1
NZ_CP077916.1	GCF_020388985.1
NZ_CP077917.1	GCF_020389005.1
NZ_CP077920.1	GCF_020389165.1
NZ_JAHMMV010000001.1	GCF_020682785.1
NZ_CP048008.1	GCF_020882195.1
NZ_JAHCPP010000002.1	GCF_021366875.1
NZ_JAHCPN010000002.1	GCF_021366915.1
NZ_JAHCPI010000002.1	GCF_021367015.1
NZ_JAHCPG010000002.1	GCF_021367055.1
NZ_JAHCPF010000002.1	GCF_021367075.1
NZ_JAHCOV010000003.1	GCF_021367275.1
NZ_JAHCOU010000002.1	GCF_021367285.1
NZ_JAHCOT010000004.1	GCF_021367315.1
NZ_JAHCOR010000002.1	GCF_021367355.1
NZ_JAHCON010000005.1	GCF_021367405.1
NZ_JABVWZ010000001.1	GCF_021432405.1
NZ_JABVWX010000001.1	GCF_021432415.1
NZ_JABVWY010000001.1	GCF_021432465.1
NZ_JABVXB010000001.1	GCF_021432505.1
NZ_JAKDEV010000003.1	GCF_021455085.1
NZ_JAKDEU010000005.1	GCF_021455095.1
NZ_JAKDEK010000002.1	GCF_021457465.1
NZ_JAKRKF010000002.1	GCF_022568915.1
NZ_JAKRKD010000003.1	GCF_022568935.1
NZ_JAKRKH010000002.1	GCF_022568975.1
NZ_JAKRKE010000003.1	GCF_022568985.1
NZ_JAKRKI010000001.1	GCF_022569015.1
NZ_JAKRKJ010000001.1	GCF_022569035.1
NZ_JAKRKK010000002.1	GCF_022569055.1
NZ_JAKRKM010000002.1	GCF_022569075.1
NZ_JAKRKL010000003.1	GCF_022569085.1
NZ_JAKRKN010000001.1	GCF_022569095.1
NZ_JAKRKO010000007.1	GCF_022569135.1
NZ_JAKRKP010000003.1	GCF_022569155.1
NZ_JAKRKR010000003.1	GCF_022569175.1
NZ_JAKRKS010000002.1	GCF_022569195.1
NZ_JAKRKQ010000001.1	GCF_022569205.1
NZ_JAKRKT010000002.1	GCF_022569235.1
NZ_JAKRKU010000001.1	GCF_022569245.1
NZ_JAKRKV010000002.1	GCF_022569275.1
NZ_JAKEZL010000001.1	GCF_022660955.1
NZ_JALCXY010000006.1	GCF_022689125.1
NZ_JALCXV010000001.1	GCF_022689145.1
NZ_JALCXX010000005.1	GCF_022689165.1
NZ_JALCXW010000003.1	GCF_022689185.1
NZ_JALCXU010000001.1	GCF_022689205.1
NZ_JALCXR010000002.1	GCF_022689225.1
NZ_JALCXS010000002.1	GCF_022689235.1
NZ_JALCXT010000012.1	GCF_022689255.1
NZ_JALCXQ010000006.1	GCF_022689285.1
NZ_JALCXP010000002.1	GCF_022689305.1
NZ_JALCXM010000002.1	GCF_022689325.1
NZ_JALCXN010000002.1	GCF_022689335.1
NZ_JALCXL010000002.1	GCF_022689365.1
NZ_JALCXO010000003.1	GCF_022689385.1
NZ_JALCXK010000015.1	GCF_022689405.1
NZ_JALCXI010000006.1	GCF_022689425.1
NZ_JALCXJ010000006.1	GCF_022689445.1
NZ_JALCXH010000002.1	GCF_022689465.1
NZ_JALCXF010000004.1	GCF_022689485.1
NZ_JALCXG010000029.1	GCF_022689495.1
NZ_JALCXE010000017.1	GCF_022689525.1
NZ_JALCXC010000001.1	GCF_022689545.1
NZ_JALCXD010000003.1	GCF_022689605.1
NZ_BPRN01000003.1	GCF_022833985.1
NZ_BPRO01000001.1	GCF_022834005.1
NZ_BPRQ01000001.1	GCF_022834045.1
NZ_BPRR01000012.1	GCF_022834065.1
NZ_BPRS01000002.1	GCF_022834085.1
NZ_BPRU01000001.1	GCF_022834125.1
NZ_BPRW01000001.1	GCF_022834165.1
NZ_BPRX01000001.1	GCF_022834185.1
NZ_BPRY01000001.1	GCF_022834205.1
NZ_BPSB01000001.1	GCF_022834265.1
NZ_BPSC01000001.1	GCF_022834285.1
NZ_BPSE01000003.1	GCF_022834325.1
NZ_BPSG01000001.1	GCF_022834365.1
NZ_JALJBO010000004.1	GCF_022899025.1
NZ_JALJCG010000003.1	GCF_022899645.1
NZ_JALJBJ010000004.1	GCF_022899835.1
JALJBX010000002.1	GCF_022899855.1
NZ_JAKZAE010000009.1	GCF_023197405.1
NZ_JAKYZJ010000009.1	GCF_023197845.1
NZ_JAKYZA010000009.1	GCF_023198005.1
NZ_JAKYYU010000010.1	GCF_023198145.1
NZ_JAKYYE010000010.1	GCF_023198585.1
NZ_JAKYYB010000009.1	GCF_023198645.1
NZ_JAJUES010000002.1	GCF_023383235.1
NZ_JAJUET010000002.1	GCF_023383245.1
NZ_CP048007.1	GCF_023508855.1
NZ_CP048713.1	GCF_023508875.1
NZ_CP086574.1	GCF_023611825.1
NZ_JAGSAS010000002.1	GCF_023655395.1
NZ_JAGSAR010000002.1	GCF_023655405.1
NZ_JAGSAT010000002.1	GCF_023655445.1
NZ_JAGSAU010000002.1	GCF_023655465.1
NZ_JAGSAW010000002.1	GCF_023655525.1
NZ_JAGSAY010000002.1	GCF_023655545.1
NZ_JAGSAZ010000002.1	GCF_023655565.1
NZ_JAGSBC010000002.1	GCF_023655625.1
NZ_JAGSBD010000002.1	GCF_023655645.1
NZ_JAGSBF010000002.1	GCF_023655665.1
NZ_JAGSBE010000002.1	GCF_023655675.1
NZ_JAGSBG010000002.1	GCF_023655705.1
NZ_JAGSBH010000002.1	GCF_023655725.1
NZ_JAGSBI010000002.1	GCF_023655745.1
NZ_JAGSBJ010000002.1	GCF_023655765.1
NZ_JAGSBL010000002.1	GCF_023655805.1
NZ_JAGSBM010000002.1	GCF_023655825.1
NZ_JAGSBN010000002.1	GCF_023655845.1
NZ_JAGSBQ010000002.1	GCF_023655865.1
NZ_JAGSBP010000002.1	GCF_023655885.1
NZ_JAGSBR010000002.1	GCF_023655905.1
NZ_JAGSBS010000002.1	GCF_023655925.1
NZ_JAGSBT010000002.1	GCF_023655945.1
NZ_JAGSBO010000002.1	GCF_023655955.1
NZ_JAGSBU010000002.1	GCF_023655985.1
NZ_JAGSBX010000002.1	GCF_023656005.1
NZ_JAGSBW010000002.1	GCF_023656025.1
NZ_JAGSBY010000002.1	GCF_023656045.1
NZ_JAGSBZ010000002.1	GCF_023656065.1
NZ_JAGSCA010000002.1	GCF_023656085.1
NZ_JAGSCB010000002.1	GCF_023656095.1
NZ_JAGSCC010000001.1	GCF_023656105.1
NZ_JAGSCD010000002.1	GCF_023656145.1
NZ_JAGSBV010000002.1	GCF_023656985.1
NZ_JAGSCF010000002.1	GCF_023657035.1
NZ_JAGSCH010000002.1	GCF_023657065.1
NZ_JAGSCG010000002.1	GCF_023657095.1
NZ_JAGSCM010000002.1	GCF_023657185.1
NZ_JAGSCN010000002.1	GCF_023657195.1
NZ_JAGSCP010000002.1	GCF_023657245.1
NZ_JAGSCQ010000002.1	GCF_023657265.1
NZ_JAGSCR010000002.1	GCF_023657275.1
NZ_JAHAVD010000003.1	GCF_024104375.1
NZ_JAHAVE010000003.1	GCF_024104395.1
NZ_JAHAVG010000004.1	GCF_024104415.1
NZ_JAHAVF010000003.1	GCF_024104435.1
NZ_JAHAVH010000004.1	GCF_024104455.1
NZ_JAHAVI010000004.1	GCF_024104475.1
NZ_JAHAVJ010000004.1	GCF_024104495.1
NZ_JAHAVK010000003.1	GCF_024104505.1
NZ_JAMKQG010000003.1	GCF_024106275.1
NZ_JANAWG010000001.1	GCF_024213775.1
NZ_CP075562.1	GCF_024399355.1
JAMQYW010000001.1	GCF_024590335.1
JAMQYV010000001.1	GCF_024590345.1
JAMQYY010000001.1	GCF_024590375.1
JAMQYX010000001.1	GCF_024590395.1
JAMQZU010000004.1	GCF_024593025.1
JAMQZZ010000001.1	GCF_024593165.1
JAMRAG010000007.1	GCF_024593255.1
JAMRAH010000003.1	GCF_024593295.1
JAMRAI010000004.1	GCF_024593305.1
JAMRBV010000001.1	GCF_024594035.1
JAMRBX010000004.1	GCF_024594115.1
JAMRBW010000003.1	GCF_024594135.1
JAMRBY010000001.1	GCF_024594155.1
NZ_CP102956.1	GCF_024741435.1
NZ_CP102959.1	GCF_024741495.1
NZ_CP102961.1	GCF_024741535.1
NZ_CP102967.1	GCF_024741615.1
NZ_CP102974.1	GCF_024741715.1
JAKKAG010000004.1	GCF_024897895.1
NZ_JANVGH010000009.1	GCF_024915315.1
NZ_JANVGI010000002.1	GCF_024915335.1
NZ_JANVGL010000005.1	GCF_024915355.1
NZ_JANVGN010000001.1	GCF_024915365.1
NZ_JANVGM010000005.1	GCF_024915415.1
NZ_JANVJM010000012.1	GCF_024916975.1
JANVJO010000005.1	GCF_024916995.1
NZ_JALXXQ010000002.1	GCF_025152445.1
NZ_JAOBSJ010000001.1	GCF_025245565.1
NZ_JAOBSK010000004.1	GCF_025245585.1
NZ_JAOBSN010000005.1	GCF_025245615.1
NZ_JAOBSH010000001.1	GCF_025246035.1
NZ_JAOBSL010000001.1	GCF_025246065.1
NZ_JAOBSM010000001.1	GCF_025246085.1
NZ_JAOBSO010000001.1	GCF_025246105.1
NZ_JAOBSP010000001.1	GCF_025246145.1
NZ_JAKKRF010000051.1	GCF_026191515.1
NZ_JAPDGJ010000001.1	GCF_026226495.1
NZ_CP084480.1	GCF_026427435.1
NZ_CP084434.1	GCF_026427455.1
NZ_CP084437.1	GCF_026427475.1
NZ_CP084440.1	GCF_026427495.1
NZ_CP084443.1	GCF_026427515.1
NZ_CP084444.1	GCF_026427535.1
NZ_JAPMSV010000001.1	GCF_026459925.1
NZ_JAPMSU010000002.1	GCF_026459935.1
NZ_JAPVNL010000001.1	GCF_027272345.1
NZ_JAQFXG010000001.1	GCF_027717445.1
NZ_CP096272.1	GCF_027942255.1
NZ_CP096274.1	GCF_027942275.1
NZ_JAQYUN010000001.1	GCF_028680555.1
NZ_JAQYUO010000001.1	GCF_028680615.1
NZ_JAQYUP010000001.1	GCF_028680635.1
NZ_JARAOZ010000008.1	GCF_028803395.1
NZ_JARAPB010000004.1	GCF_028803405.1
NZ_JARAPA010000006.1	GCF_028803415.1
NZ_JARAPC010000005.1	GCF_028803495.1
NZ_JARAPD010000004.1	GCF_028803575.1
NZ_JARAPG010000006.1	GCF_028803635.1
NZ_JARAPF010000004.1	GCF_028803645.1
NZ_JARAPE010000004.1	GCF_028803655.1
NZ_JARAPH010000001.1	GCF_028803695.1
NZ_JARAPI010000001.1	GCF_028803755.1
NZ_JARAPK010000001.1	GCF_028803835.1
NZ_JARAPJ010000005.1	GCF_028803845.1
NZ_JARAPL010000007.1	GCF_028803875.1
NZ_JARAPM010000004.1	GCF_028803885.1
NZ_JARAPN010000004.1	GCF_028803975.1
NZ_JARAPO010000004.1	GCF_028804035.1
NZ_JARAPR010000001.1	GCF_028804075.1
NZ_JARAPQ010000004.1	GCF_028804125.1
NZ_JARAPS010000002.1	GCF_028804175.1
NZ_JARAPP010000005.1	GCF_028804195.1
NZ_JARAPT010000004.1	GCF_028804235.1
NZ_JARAPV010000004.1	GCF_028804275.1
NZ_JARAPU010000004.1	GCF_028804285.1
NZ_JARAPY010000011.1	GCF_028804355.1
NZ_JARAPW010000004.1	GCF_028804375.1
NZ_JARAPX010000003.1	GCF_028804385.1
NZ_JARAQA010000001.1	GCF_028804475.1
NZ_JARAQB010000001.1	GCF_028804485.1
NZ_JARAPZ010000006.1	GCF_028804515.1
NZ_JARAQC010000001.1	GCF_028804575.1
NZ_JARAQD010000001.1	GCF_028804615.1
NZ_JARAQE010000003.1	GCF_028804675.1
NZ_JARAQF010000001.1	GCF_028804695.1
NZ_JARAQH010000001.1	GCF_028804755.1
NZ_JARAQI010000001.1	GCF_028804765.1
NZ_JARAQG010000001.1	GCF_028804775.1
NZ_JARAQJ010000004.1	GCF_028804915.1
NZ_JARAQK010000001.1	GCF_028804935.1
NZ_JARAQL010000001.1	GCF_028804955.1
NZ_JARAQN010000001.1	GCF_028804975.1
NZ_JARAQM010000001.1	GCF_028804985.1
NZ_JARAQP010000001.1	GCF_028805115.1
NZ_JARAQQ010000001.1	GCF_028805125.1
NZ_JARAQO010000002.1	GCF_028805135.1
NZ_JARAQS010000001.1	GCF_028805215.1
NZ_JARAQR010000004.1	GCF_028805225.1
NZ_JARAQU010000004.1	GCF_028805315.1
NZ_JARAQT010000002.1	GCF_028805325.1
NZ_JARAQV010000006.1	GCF_028805355.1
NZ_JARAQX010000002.1	GCF_028805395.1
NZ_JARAQW010000006.1	GCF_028805425.1
NZ_JARARA010000003.1	GCF_028805495.1
NZ_JARAQY010000004.1	GCF_028805515.1
NZ_JARAQZ010000009.1	GCF_028805525.1
NZ_JARARC010000005.1	GCF_028805615.1
NZ_JARARB010000006.1	GCF_028805665.1
NZ_JARARD010000005.1	GCF_028805675.1
NZ_JARARF010000002.1	GCF_028805715.1
NZ_JARARE010000012.1	GCF_028805745.1
NZ_JARARG010000016.1	GCF_028805855.1
NZ_JARARI010000006.1	GCF_028805875.1
NZ_JARARH010000002.1	GCF_028805885.1
NZ_JARARK010000007.1	GCF_028805925.1
NZ_JARARJ010000006.1	GCF_028805945.1
NZ_JARARL010000003.1	GCF_028806035.1
NZ_JARARM010000006.1	GCF_028806075.1
NZ_JARARN010000012.1	GCF_028806095.1
NZ_JARARP010000011.1	GCF_028806155.1
NZ_JARARO010000038.1	GCF_028806195.1
NZ_JARARR010000010.1	GCF_028806235.1
NZ_JARARQ010000007.1	GCF_028806255.1
NZ_JARARS010000003.1	GCF_028806295.1
NZ_JARARU010000009.1	GCF_028806355.1
NZ_JARARV010000003.1	GCF_028806385.1
NZ_JARARW010000006.1	GCF_028806435.1
NZ_JARART010000013.1	GCF_028806445.1
NZ_JARARX010000032.1	GCF_028806535.1
NZ_JARARY010000002.1	GCF_028806555.1
NZ_JARARZ010000002.1	GCF_028806595.1
NZ_JARASA010000005.1	GCF_028806635.1
NZ_JARASB010000005.1	GCF_028806665.1
NZ_JARASC010000004.1	GCF_028806715.1
NZ_JARDYM010000003.1	GCF_029078465.1
NZ_JARDYN010000004.1	GCF_029078485.1
JARDYO010000004.1	GCF_029078505.1
NZ_JARDYP010000004.1	GCF_029078525.1
NZ_JARDYT010000011.1	GCF_029078545.1
NZ_JARDYQ010000001.1	GCF_029078555.1
NZ_JARDYU010000004.1	GCF_029078585.1
NZ_JARDYR010000004.1	GCF_029078605.1
NZ_JARDYV010000001.1	GCF_029078625.1
NZ_JARDYS010000004.1	GCF_029078665.1
NZ_JARIGI010000001.1	GCF_029269035.1
NZ_JARIGG010000004.1	GCF_029269045.1
NZ_JARIGH010000004.1	GCF_029269055.1
NZ_JARIGJ010000004.1	GCF_029269115.1
JARUBX010000005.1	GCF_029663675.1
JARUEB010000002.1	GCF_029665435.1
JARUGE010000003.1	GCF_029666555.1
JARUGV010000004.1	GCF_029666895.1
NZ_JARZFR010000001.1	GCF_029930445.1
NZ_JARZFP010000002.1	GCF_029930455.1
NZ_JARZFQ010000001.1	GCF_029930535.1
NZ_JARZFE010000003.1	GCF_029930685.1
NZ_JARZEZ010000001.1	GCF_029930755.1
JARZXT010000011.1	GCF_029951485.1
NZ_CP125895.1	GCF_030063965.1
NZ_JASOFG010000002.1	GCF_030212975.1
NZ_JASOVA010000003.1	GCF_030224835.1
NZ_JASOVG010000003.1	GCF_030225045.1
NZ_JASOVY010000004.1	GCF_030225285.1
NZ_JASOZB010000001.1	GCF_030228685.1
NZ_JASPCW010000031.1	GCF_030234055.1
NZ_JAURVG010000004.1	GCF_030646525.1
NZ_JASGBD010000014.1	GCF_030767105.1
NZ_JASGBC010000005.1	GCF_030767115.1
NZ_JAVFYF010000001.1	GCF_030970965.1
NZ_JAVKRS010000001.1	GCF_031462615.1
NZ_JAVKRQ010000001.1	GCF_031462655.1
NZ_JAVKRM010000001.1	GCF_031462735.1
NZ_JAVKRO010000001.1	GCF_031462775.1
NZ_JAVKRU010000001.1	GCF_031462785.1
NZ_JAVKRP010000001.1	GCF_031462795.1
NZ_JAYESL010000001.1	GCF_035040855.1
NZ_JALSEQ010000003.1	GCF_035789175.1
NZ_JAMWTB010000001.1	GCF_035797825.1
NZ_JAZGPH010000001.1	GCF_036421195.1
NZ_JAVRXV010000004.1	GCF_036673015.1
NZ_CP134620.1	GCF_036898235.1
NZ_JBBLTI010000002.1	GCF_037694565.1
NZ_JBBLTQ010000006.1	GCF_037694975.1
NZ_JBBLTR010000004.1	GCF_037695005.1
NZ_JBBLTS010000002.1	GCF_037700005.1
NZ_JBBLTT010000002.1	GCF_037700085.1
NZ_JBBNCG010000003.1	GCF_037991605.1
NZ_JBBNCT010000004.1	GCF_037991825.1
NZ_JBBNDM010000001.1	GCF_037992235.1
NZ_JAYJLR010000001.1	GCF_038404825.1
NZ_JBCGEO010000002.1	GCF_038738095.1
NZ_JBCGEP010000002.1	GCF_038738135.1
NZ_JBCGEQ010000001.1	GCF_038738185.1
NZ_JBCGER010000002.1	GCF_038738265.1
NZ_JBCGEZ010000002.1	GCF_038738635.1
NZ_JBDKWI010000001.1	GCF_039680915.1
NZ_CP155636.1	GCF_039700225.1
NZ_JBEAMF010000007.1	GCF_040062725.1
NZ_JBEAMG010000002.1	GCF_040062735.1
NZ_JBEWAU010000007.1	GCF_040529915.1
NZ_JBFCTH010000001.1	GCF_040705355.1
NZ_JBFEHM010000001.1	GCF_040717915.1
NZ_JBFTBU010000001.1	GCF_041023015.1
NZ_JBFSZM010000001.1	GCF_041024995.1
NZ_JARYIA010000001.1	GCF_041354335.1
NZ_JBHEUB010000015.1	GCF_041922735.1
NZ_JBHETI010000008.1	GCF_041923265.1
NZ_JBHETP010000009.1	GCF_041923285.1
NZ_JBHETK010000006.1	GCF_041923345.1
NZ_JBHETL010000001.1	GCF_041923565.1
NZ_JBHEUV010000001.1	GCF_041923705.1
NZ_JBHETY010000001.1	GCF_041923725.1
NZ_JBHETE010000001.1	GCF_041923745.1
NZ_JBHESY010000009.1	GCF_041923845.1
NZ_JBHESJ010000001.1	GCF_041924165.1
NZ_JBHERR010000009.1	GCF_041924525.1
NZ_JBHERO010000001.1	GCF_041924545.1
NZ_JBHFCR010000001.1	GCF_041925095.1
NZ_JBHFAQ010000002.1	GCF_041926075.1
NZ_JBHOLS010000001.1	GCF_042583665.1
NZ_JAZGRG010000005.1	GCF_042954505.1
NZ_CP048714.1	GCF_043550065.1
NZ_JBIPJO010000012.1	GCF_044003545.1
NZ_JASUAR010000262.1	GCF_044425285.1
NZ_JBJGAI010000006.1	GCF_045032965.1
JAWMYB010000004.1	GCF_046499805.1
JAWMYH010000004.1	GCF_046499905.1
JAWMYQ010000001.1	GCF_046500105.1
NZ_CP123123.1	GCF_046741925.1
NZ_FMNF01000005.1	GCF_900097315.1
NZ_FMNQ01000002.1	GCF_900097335.1
NZ_FMMV01000003.1	GCF_900097495.1
NZ_FMNW01000003.1	GCF_900097595.1
NZ_FMOE01000004.1	GCF_900097615.1
NZ_FMQS01000002.1	GCF_900098345.1
NZ_FMQU01000003.1	GCF_900098355.1
NZ_FMQT01000003.1	GCF_900098365.1
NZ_FMQW01000003.1	GCF_900098375.1
NZ_FMQV01000002.1	GCF_900098385.1
NZ_FMQX01000001.1	GCF_900098395.1
NZ_FMQZ01000003.1	GCF_900098405.1
NZ_FMQY01000003.1	GCF_900098415.1
NZ_FMRA01000002.1	GCF_900098425.1
NZ_FMRB01000003.1	GCF_900098435.1
NZ_FMRD01000003.1	GCF_900098445.1
NZ_FMRE01000002.1	GCF_900098455.1
NZ_FMRC01000004.1	GCF_900098465.1
NZ_FMRF01000002.1	GCF_900098475.1
NZ_FMRG01000004.1	GCF_900098485.1
NZ_FMRI01000003.1	GCF_900098495.1
NZ_FMRH01000002.1	GCF_900098505.1
NZ_FMRK01000003.1	GCF_900098515.1
NZ_FMSA01000002.1	GCF_900098705.1
FMSB01000003.1	GCF_900098715.1
NZ_FQDA01000002.1	GCF_900124665.1
NZ_FQDN01000003.1	GCF_900124785.1
NZ_FQEH01000001.1	GCF_900124985.1
NZ_FQFN01000001.1	GCF_900125325.1
NZ_FQFR01000001.1	GCF_900125345.1
NZ_FQIN01000001.1	GCF_900126095.1
NZ_FQIP01000001.1	GCF_900126115.1
NZ_FQIS01000001.1	GCF_900126155.1
NZ_FQME01000001.1	GCF_900126965.1
NZ_FQMG01000001.1	GCF_900126975.1
NZ_FQMJ01000001.1	GCF_900126995.1
NZ_FQMI01000001.1	GCF_900127005.1
NZ_FQMS01000001.1	GCF_900127025.1
NZ_FQMT01000001.1	GCF_900127035.1
NZ_FQMX01000001.1	GCF_900127065.1
NZ_FQNB01000001.1	GCF_900127115.1
NZ_FQRQ01000002.1	GCF_900128305.1
NZ_FQRW01000001.1	GCF_900128385.1
NZ_FQTG01000001.1	GCF_900128715.1
NZ_FXVL01000001.1	GCF_900183905.1
NZ_OFUT01000048.1	GCF_900250335.1
NZ_OFVJ01000043.1	GCF_900250475.1
NZ_OFVG01000049.1	GCF_900250525.1
NZ_OFVN01000037.1	GCF_900250585.1
NZ_OFWE01000031.1	GCF_900250735.1
NZ_OFZL01000032.1	GCF_900251635.1
NZ_OGAE01000010.1	GCF_900251765.1
NZ_UGZS01000001.1	GCF_900457635.1
NZ_UHBI01000001.1	GCF_900457855.1
NZ_UHCG01000001.1	GCF_900458115.1
NZ_LS483300.1	GCF_900474535.1
NZ_LS483312.1	GCF_900474705.1
NZ_LS483482.1	GCF_900478255.1
NZ_LR134304.1	GCF_900636685.1
NZ_CABFMG010000020.1	GCF_901875495.1
NZ_CATOWO010000004.1	GCF_954773185.1
NZ_CATOXL010000002.1	GCF_954775475.1
NZ_CAXOPE010000001.1	GCF_964211005.1
NZ_CAXOQZ010000001.1	GCF_964211535.1
NZ_CAYADL010000001.1	GCF_964301415.1
NZ_CAYAGZ010000001.1	GCF_964302165.1
NZ_CAYAJC010000002.1	GCF_964302675.1
NZ_CAYAJO010000003.1	GCF_964302885.1
NZ_CAYAKQ010000001.1	GCF_964303195.1
NZ_CAYANN010000002.1	GCF_964303895.1
