	Organism	Scaffold	Start	End	Score	STS_Dehydrogenase	STS_E1-like	STS_StsA	STS_YcaO	assembly_file	representative	dereplication_status
286	Staphylococcus aureus SA399	NZ_JAGSBI010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023655745.1_ASM2365574v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
287	Staphylococcus aureus SA395	NZ_JAGSBJ010000002.1	70844	73973	3.1421	1	1	0	1	GCF_023655765.1_ASM2365576v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
288	Staphylococcus aureus SA387	NZ_JAGSBL010000002.1	269079	272208	3.1423	1	1	0	1	GCF_023655805.1_ASM2365580v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
289	Staphylococcus aureus SA384	NZ_JAGSBM010000002.1	70844	73973	3.1421	1	1	0	1	GCF_023655825.1_ASM2365582v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
290	Staphylococcus aureus SA380	NZ_JAGSBN010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023655845.1_ASM2365584v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
291	Staphylococcus aureus SA379	NZ_JAGSBO010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023655955.1_ASM2365595v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
292	Staphylococcus aureus SA378	NZ_JAGSBP010000002.1	269079	272208	3.1421	1	1	0	1	GCF_023655885.1_ASM2365588v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
293	Staphylococcus aureus SA375	NZ_JAGSBQ010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023655865.1_ASM2365586v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
294	Staphylococcus aureus SA373	NZ_JAGSBR010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023655905.1_ASM2365590v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
295	Staphylococcus aureus SA371	NZ_JAGSBS010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023655925.1_ASM2365592v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
296	Staphylococcus aureus SA370	NZ_JAGSBT010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023655945.1_ASM2365594v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
297	Staphylococcus aureus SA369	NZ_JAGSBU010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023655985.1_ASM2365598v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
298	Staphylococcus aureus SA367	NZ_JAGSBV010000002.1	70844	73973	3.1423	1	1	0	1	GCF_023656985.1_ASM2365698v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
299	Staphylococcus aureus SA366	NZ_JAGSBW010000002.1	269079	272208	3.1423	1	1	0	1	GCF_023656025.1_ASM2365602v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
300	Staphylococcus aureus SA365	NZ_JAGSBX010000002.1	70844	73973	3.1423	1	1	0	1	GCF_023656005.1_ASM2365600v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
301	Staphylococcus aureus SA364	NZ_JAGSBY010000002.1	269079	272208	3.1423	1	1	0	1	GCF_023656045.1_ASM2365604v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
302	Staphylococcus aureus SA363	NZ_JAGSBZ010000002.1	70900	74029	3.1421	1	1	0	1	GCF_023656065.1_ASM2365606v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
303	Staphylococcus aureus SA362	NZ_JAGSCA010000002.1	70900	74029	3.1421	1	1	0	1	GCF_023656085.1_ASM2365608v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
304	Staphylococcus aureus SA361	NZ_JAGSCB010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023656095.1_ASM2365609v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
305	Staphylococcus aureus SA356	NZ_JAGSCC010000001.1	369722	372851	3.1421	1	1	0	1	GCF_023656105.1_ASM2365610v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
306	Staphylococcus aureus SA320	NZ_JAGSCD010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023656145.1_ASM2365614v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
307	Staphylococcus aureus SA296	NZ_JAGSCF010000002.1	269079	272208	3.1421	1	1	0	1	GCF_023657035.1_ASM2365703v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
308	Staphylococcus aureus SA294	NZ_JAGSCG010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023657095.1_ASM2365709v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
309	Staphylococcus aureus SA282	NZ_JAGSCH010000002.1	200731	203860	3.1423	1	1	0	1	GCF_023657065.1_ASM2365706v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
310	Staphylococcus aureus SA228	NZ_JAGSCM010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023657185.1_ASM2365718v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
311	Staphylococcus aureus SA162	NZ_JAGSCN010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023657195.1_ASM2365719v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
312	Staphylococcus aureus SA152	NZ_JAGSCP010000002.1	200731	203860	3.1421	1	1	0	1	GCF_023657245.1_ASM2365724v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
313	Staphylococcus aureus SA143	NZ_JAGSCQ010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023657265.1_ASM2365726v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	redundant
314	Staphylococcus aureus SA49	NZ_JAGSCR010000002.1	144982	148111	3.1421	1	1	0	1	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	GCF_023657275.1_ASM2365727v1_genomic.fna.gz	dereplication_representative
315	Staphylococcus aureus Ani-GT-110	NZ_JAHCON010000005.1	218537	221665	3.1469	1	1	0	1	GCF_021367405.1_ASM2136740v1_genomic.fna.gz	GCA_044164975.1_PDT002439676.1_genomic.fna.gz	redundant
316	Staphylococcus aureus Ani-GT-115	NZ_JAHCOR010000002.1	218483	221611	3.1469	1	1	0	1	GCF_021367355.1_ASM2136735v1_genomic.fna.gz	GCA_044164975.1_PDT002439676.1_genomic.fna.gz	redundant
317	Staphylococcus aureus Ani-GT-117	NZ_JAHCOT010000004.1	77979	81107	3.1469	1	1	0	1	GCF_021367315.1_ASM2136731v1_genomic.fna.gz	GCA_044164975.1_PDT002439676.1_genomic.fna.gz	redundant
318	Staphylococcus aureus S183	NZ_JAHMRQ010000004.1	166568	169696	3.1683	1	1	0	1	GCF_018986175.1_ASM1898617v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
319	Staphylococcus aureus SA231	NZ_JAHZTZ010000002.1	143272	146400	3.1683	1	1	0	1	GCF_019458425.1_ASM1945842v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
320	Staphylococcus aureus SA232	NZ_JAHZUA010000001.1	143272	146400	3.1683	1	1	0	1	GCF_019458365.1_ASM1945836v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
321	Staphylococcus aureus SA233	NZ_JAHZUB010000002.1	143272	146400	3.1683	1	1	0	1	GCF_019458345.1_ASM1945834v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
322	Staphylococcus aureus SA236	NZ_JAHZUC010000001.1	122249	125377	3.1683	1	1	0	1	GCF_019458325.1_ASM1945832v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
323	Staphylococcus aureus SA238	NZ_JAHZUD010000002.1	122493	125621	3.1683	1	1	0	1	GCF_019458375.1_ASM1945837v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
324	Staphylococcus aureus SA240	NZ_JAHZUE010000002.1	122191	125319	3.1683	1	1	0	1	GCF_019458305.1_ASM1945830v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
325	Staphylococcus aureus SA241	NZ_JAHZUF010000001.1	112019	115147	3.1683	1	1	0	1	GCF_019458235.1_ASM1945823v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
326	Staphylococcus aureus SA243	NZ_JAHZUG010000002.1	122191	125319	3.1683	1	1	0	1	GCF_019458285.1_ASM1945828v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
327	Staphylococcus aureus SA246	NZ_JAHZUH010000002.1	122191	125319	3.1683	1	1	0	1	GCF_019458225.1_ASM1945822v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
328	Staphylococcus aureus SA247	NZ_JAHZUI010000002.1	143272	146400	3.1683	1	1	0	1	GCF_019458265.1_ASM1945826v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
329	Staphylococcus aureus SA248	NZ_JAHZUJ010000002.1	143272	146400	3.1683	1	1	0	1	GCF_019458205.1_ASM1945820v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
330	Staphylococcus aureus SA254	NZ_JAHZUK010000003.1	122191	125319	3.1683	1	1	0	1	GCF_019458145.1_ASM1945814v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
331	Staphylococcus aureus S.57.20.Sa	NZ_JAINYG010000019.1	18242	21370	3.1683	1	1	0	1	GCF_020167415.1_ASM2016741v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
332	Staphylococcus aureus KZ187	NZ_JAIUGC010000003.1	1037563	1040691	3.1444	1	1	0	1	GCF_020165965.1_ASM2016596v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
333	Staphylococcus aureus SA237	NZ_JAKDEK010000002.1	122191	125319	3.1683	1	1	0	1	GCF_021457465.1_ASM2145746v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
334	Staphylococcus aureus SA2021743	NZ_JAKDEU010000005.1	143061	146189	3.1683	1	1	0	1	GCF_021455095.1_ASM2145509v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
335	Staphylococcus aureus SA2021755	NZ_JAKDEV010000003.1	138441	141569	3.1683	1	1	0	1	GCF_021455085.1_ASM2145508v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
336	Staphylococcus aureus 544_S45	NZ_JAKYYB010000009.1	166217	169345	3.1683	1	1	0	1	GCF_023198645.1_ASM2319864v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
337	Staphylococcus aureus 548_S30	NZ_JAKYYE010000010.1	166268	169396	3.1683	1	1	0	1	GCF_023198585.1_ASM2319858v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
338	Staphylococcus aureus 613_S44	NZ_JAKYYU010000010.1	166154	169282	3.1683	1	1	0	1	GCF_023198145.1_ASM2319814v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
339	Staphylococcus aureus 658_S51	NZ_JAKYZA010000009.1	166274	169402	3.1683	1	1	0	1	GCF_023198005.1_ASM2319800v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
340	Staphylococcus aureus 716_S60	NZ_JAKYZJ010000009.1	166144	169272	3.1683	1	1	0	1	GCF_023197845.1_ASM2319784v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
341	Staphylococcus aureus 839_S82	NZ_JAKZAE010000009.1	166220	169348	3.1683	1	1	0	1	GCF_023197405.1_ASM2319740v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
342	Staphylococcus aureus Crie-F279	NZ_JALJBJ010000004.1	138513	141641	3.1683	1	1	0	1	GCF_022899835.1_ASM2289983v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
343	Staphylococcus aureus Crie-F371	NZ_JALJBO010000004.1	167163	170291	3.1683	1	1	0	1	GCF_022899025.1_ASM2289902v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
344	Staphylococcus aureus Crie-F595	NZ_JALJCG010000003.1	167827	170955	3.1683	1	1	0	1	GCF_022899645.1_ASM2289964v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
345	Staphylococcus aureus C14	NZ_JANAWG010000001.1	357875	361003	3.1683	1	1	0	1	GCF_024213775.1_ASM2421377v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
346	Staphylococcus aureus GDY9Z86P-1	NZ_JANVGL010000005.1	364905	368033	3.1683	1	1	0	1	GCF_024915355.1_ASM2491535v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
347	Staphylococcus aureus GDY9Z77A	NZ_JANVGM010000005.1	122175	125303	3.1683	1	1	0	1	GCF_024915415.1_ASM2491541v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
348	Staphylococcus aureus GDY9Z24A	NZ_JANVGN010000001.1	1038578	1041706	3.1683	1	1	0	1	GCF_024915365.1_ASM2491536v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
349	Staphylococcus aureus 16LC28	NZ_JAOBSH010000001.1	448815	451943	3.1683	1	1	0	1	GCF_025246035.1_ASM2524603v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
350	Staphylococcus aureus 17PC_2_154	NZ_JAOBSJ010000001.1	365279	368407	3.1683	1	1	0	1	GCF_025245565.1_ASM2524556v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
351	Staphylococcus aureus 16PD14	NZ_JAOBSK010000004.1	112031	115159	3.1683	1	1	0	1	GCF_025245585.1_ASM2524558v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
352	Staphylococcus aureus 17PQ_1_36	NZ_JAOBSL010000001.1	364747	367875	3.1683	1	1	0	1	GCF_025246065.1_ASM2524606v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
353	Staphylococcus aureus 16LQ28	NZ_JAOBSM010000001.1	365128	368256	3.1683	1	1	0	1	GCF_025246085.1_ASM2524608v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
354	Staphylococcus aureus 16LC49	NZ_JAOBSN010000005.1	108960	112088	3.1679	1	1	0	1	GCF_025245615.1_ASM2524561v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
355	Staphylococcus aureus 16PX103	NZ_JAOBSO010000001.1	365121	368249	3.1679	1	1	0	1	GCF_025246105.1_ASM2524610v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
356	Staphylococcus aureus 16LC15	NZ_JAOBSP010000001.1	365053	368181	3.1679	1	1	0	1	GCF_025246145.1_ASM2524614v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
357	Staphylococcus aureus P4T6	NZ_JAPDGJ010000001.1	167165	170293	3.1683	1	1	0	1	GCF_026226495.1_ASM2622649v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
358	Staphylococcus aureus 63A	NZ_JAPMSU010000002.1	401357	404485	3.1683	1	1	0	1	GCF_026459935.1_ASM2645993v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
359	Staphylococcus aureus 73A	NZ_JAPMSV010000001.1	401357	404485	3.1683	1	1	0	1	GCF_026459925.1_ASM2645992v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
360	Staphylococcus aureus CBP313	NZ_JAPVNL010000001.1	723370	726498	3.1683	1	1	0	1	GCF_027272345.1_ASM2727234v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
361	Staphylococcus aureus 375465	NZ_JAQFXG010000001.1	365084	368212	3.1683	1	1	0	1	GCF_027717445.1_ASM2771744v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
362	Staphylococcus aureus DC52998	NZ_JAQYUN010000001.1	1229176	1232304	3.1683	1	1	0	1	GCF_028680555.1_ASM2868055v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
363	Staphylococcus aureus DC53206	NZ_JAQYUO010000001.1	1229491	1232619	3.1683	1	1	0	1	GCF_028680615.1_ASM2868061v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
364	Staphylococcus aureus DC53285	NZ_JAQYUP010000001.1	1228853	1231981	3.1683	1	1	0	1	GCF_028680635.1_ASM2868063v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
365	Staphylococcus aureus SZ16J01	NZ_JARAOZ010000008.1	1038293	1041421	3.1683	1	1	0	1	GCF_028803395.1_ASM2880339v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
366	Staphylococcus aureus SZ11J01	NZ_JARAPA010000006.1	481776	484904	3.1683	1	1	0	1	GCF_028803415.1_ASM2880341v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
367	Staphylococcus aureus DC900107	NZ_JARAPB010000004.1	167597	170725	3.1683	1	1	0	1	GCF_028803405.1_ASM2880340v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
368	Staphylococcus aureus DC900088	NZ_JARAPC010000005.1	167189	170317	3.1683	1	1	0	1	GCF_028803495.1_ASM2880349v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
369	Staphylococcus aureus DC900086	NZ_JARAPD010000004.1	121934	125062	3.1683	1	1	0	1	GCF_028803575.1_ASM2880357v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
370	Staphylococcus aureus DC900082	NZ_JARAPE010000004.1	167602	170730	3.1683	1	1	0	1	GCF_028803655.1_ASM2880365v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
371	Staphylococcus aureus DC900078	NZ_JARAPF010000004.1	120021	123149	3.168	1	1	0	1	GCF_028803645.1_ASM2880364v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
372	Staphylococcus aureus DC900048	NZ_JARAPG010000006.1	109850	112978	3.168	1	1	0	1	GCF_028803635.1_ASM2880363v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
373	Staphylococcus aureus DC900044	NZ_JARAPH010000001.1	1038862	1041990	3.168	1	1	0	1	GCF_028803695.1_ASM2880369v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
374	Staphylococcus aureus DC900039	NZ_JARAPI010000001.1	1038799	1041927	3.168	1	1	0	1	GCF_028803755.1_ASM2880375v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
375	Staphylococcus aureus DC900031	NZ_JARAPJ010000005.1	167486	170614	3.1683	1	1	0	1	GCF_028803845.1_ASM2880384v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
376	Staphylococcus aureus DC900027	NZ_JARAPK010000001.1	399205	402333	3.1683	1	1	0	1	GCF_028803835.1_ASM2880383v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
377	Staphylococcus aureus DC900021	NZ_JARAPL010000007.1	97549	100677	3.1683	1	1	0	1	GCF_028803875.1_ASM2880387v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
378	Staphylococcus aureus DC900018	NZ_JARAPM010000004.1	122112	125240	3.1683	1	1	0	1	GCF_028803885.1_ASM2880388v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
379	Staphylococcus aureus DC53364	NZ_JARAPN010000004.1	167581	170709	3.1683	1	1	0	1	GCF_028803975.1_ASM2880397v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
380	Staphylococcus aureus DC53362	NZ_JARAPO010000004.1	167486	170614	3.1683	1	1	0	1	GCF_028804035.1_ASM2880403v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
381	Staphylococcus aureus DC53350	NZ_JARAPP010000005.1	167601	170729	3.1683	1	1	0	1	GCF_028804195.1_ASM2880419v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
382	Staphylococcus aureus DC53349	NZ_JARAPQ010000004.1	122112	125240	3.1683	1	1	0	1	GCF_028804125.1_ASM2880412v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
383	Staphylococcus aureus DC53336	NZ_JARAPR010000001.1	167127	170255	3.1683	1	1	0	1	GCF_028804075.1_ASM2880407v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
384	Staphylococcus aureus DC53323	NZ_JARAPS010000002.1	399135	402263	3.1683	1	1	0	1	GCF_028804175.1_ASM2880417v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
385	Staphylococcus aureus DC53319	NZ_JARAPT010000004.1	167581	170709	3.1683	1	1	0	1	GCF_028804235.1_ASM2880423v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
386	Staphylococcus aureus DC53318	NZ_JARAPU010000004.1	122097	125225	3.1683	1	1	0	1	GCF_028804285.1_ASM2880428v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
387	Staphylococcus aureus DC53316	NZ_JARAPV010000004.1	122097	125225	3.1683	1	1	0	1	GCF_028804275.1_ASM2880427v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
388	Staphylococcus aureus DC53315	NZ_JARAPW010000004.1	167581	170709	3.1683	1	1	0	1	GCF_028804375.1_ASM2880437v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
389	Staphylococcus aureus DC53314	NZ_JARAPX010000003.1	401309	404437	3.1683	1	1	0	1	GCF_028804385.1_ASM2880438v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
390	Staphylococcus aureus DC53313	NZ_JARAPY010000011.1	673907	677035	3.1683	1	1	0	1	GCF_028804355.1_ASM2880435v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
391	Staphylococcus aureus DC53311	NZ_JARAPZ010000006.1	365191	368319	3.1683	1	1	0	1	GCF_028804515.1_ASM2880451v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
392	Staphylococcus aureus DC53289	NZ_JARAQA010000001.1	936937	940065	3.1683	1	1	0	1	GCF_028804475.1_ASM2880447v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
393	Staphylococcus aureus DC53288	NZ_JARAQB010000001.1	937137	940265	3.1683	1	1	0	1	GCF_028804485.1_ASM2880448v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
394	Staphylococcus aureus DC53286	NZ_JARAQC010000001.1	937200	940328	3.1683	1	1	0	1	GCF_028804575.1_ASM2880457v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
395	Staphylococcus aureus DC53284	NZ_JARAQD010000001.1	167349	170477	3.1683	1	1	0	1	GCF_028804615.1_ASM2880461v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
396	Staphylococcus aureus DC53244	NZ_JARAQE010000003.1	201334	204462	3.1683	1	1	0	1	GCF_028804675.1_ASM2880467v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
397	Staphylococcus aureus DC53243	NZ_JARAQF010000001.1	167601	170729	3.1683	1	1	0	1	GCF_028804695.1_ASM2880469v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
398	Staphylococcus aureus DC53135	NZ_JARAQH010000001.1	167351	170479	3.1683	1	1	0	1	GCF_028804755.1_ASM2880475v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
399	Staphylococcus aureus DC53129	NZ_JARAQI010000001.1	995170	998298	3.1683	1	1	0	1	GCF_028804765.1_ASM2880476v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
400	Staphylococcus aureus DC53053	NZ_JARAQJ010000004.1	122079	125207	3.1683	1	1	0	1	GCF_028804915.1_ASM2880491v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
401	Staphylococcus aureus DC53050	NZ_JARAQK010000001.1	167352	170480	3.1683	1	1	0	1	GCF_028804935.1_ASM2880493v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
402	Staphylococcus aureus DC53032	NZ_JARAQL010000001.1	167484	170612	3.1683	1	1	0	1	GCF_028804955.1_ASM2880495v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
403	Staphylococcus aureus DC53024	NZ_JARAQM010000001.1	167486	170614	3.1683	1	1	0	1	GCF_028804985.1_ASM2880498v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
404	Staphylococcus aureus DC53011	NZ_JARAQN010000001.1	995718	998846	3.1683	1	1	0	1	GCF_028804975.1_ASM2880497v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
405	Staphylococcus aureus DC53007	NZ_JARAQO010000002.1	400628	403756	3.1683	1	1	0	1	GCF_028805135.1_ASM2880513v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
406	Staphylococcus aureus DC52980	NZ_JARAQP010000001.1	167273	170401	3.1683	1	1	0	1	GCF_028805115.1_ASM2880511v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
407	Staphylococcus aureus DC52966	NZ_JARAQQ010000001.1	1028379	1031507	3.1681	1	1	0	1	GCF_028805125.1_ASM2880512v1_genomic.fna.gz	GCF_046500105.1_ASM4650010v1_genomic.fna.gz	redundant
