Organism	Scaffold	Start	End	Score	ctg16_37	ctg16_38	ctg16_39	ctg16_40	ctg16_41	ctg16_42	ctg16_43
GCF_017357865.1	NZ_CP060096.1	1523723	1530520	10005.0000	1	1	0	1	0	1	1
GCF_017312485.1	NZ_BMBA01000001.1	1204040	1210812	9452.0000	1	1	0	1	0	1	1
GCF_014287675.1	NZ_JACOPQ010000002.1	43200	54227	6185.0000	1	1	0	1	0	0	0
GCF_014287895.1	NZ_JACOPP010000002.1	150541	156233	6249.0000	1	1	0	1	0	0	0
GCF_039503245.1	NZ_JBCLMT010000008.1	84341	89468	6341.0000	1	1	0	1	0	0	0
GCF_014384895.1	NZ_JACRSQ010000005.1	10859	14781	5192.0000	0	0	0	1	0	1	1
GCF_014385265.1	NZ_JACRTJ010000005.1	128371	133176	5962.0000	0	1	0	1	0	1	0
GCF_014384995.1	NZ_JACRSY010000008.1	52364	56011	5279.0000	0	0	0	1	0	1	1
GCF_014337195.1	NZ_CP060634.1	1424268	1428975	6052.0000	0	1	0	1	0	1	0
GCF_014385085.1	NZ_JACRTD010000001.1	381596	386304	6348.0000	1	1	0	1	0	0	0
GCF_014467055.1	NZ_CP060696.1	1391879	1396903	6328.0000	1	1	0	1	0	0	0
GCF_014467055.1	NZ_CP060696.1	1179204	1189289	3164.0000	0	0	0	1	0	1	1
GCF_032335695.1	NZ_JACTOJ010000010.1	177458	184398	9382.0000	1	1	0	1	0	1	1
GCF_042848755.1	NZ_AP031438.1	1471174	1476774	6253.0000	1	1	0	1	0	0	0
GCF_014982785.1	NZ_JADCKB010000015.1	13368	18085	5093.0000	0	0	0	1	0	1	1
GCF_016591975.1	NZ_AP024169.1	1429390	1436782	5944.0000	0	1	0	1	0	1	0
GCF_015352425.1	NZ_JADKNH010000006.1	234916	238987	7696.0000	0	0	0	1	1	1	1
GCF_017811815.1	NZ_JADKZI010000002.1	453445	463563	6187.0000	1	1	0	1	0	0	0
GCF_015550495.1	NZ_JADNAX010000004.1	43128	48999	8334.0000	1	1	1	1	1	0	0
GCF_015557495.1	NZ_JADNOJ010000005.1	105647	118296	7601.0000	0	1	0	1	0	1	1
GCF_015594845.1	NZ_JADNRK010000002.1	194573	200903	9861.0000	1	1	0	1	0	1	1
GCF_016765585.1	NZ_JAESWC010000002.1	394125	401012	9531.0000	1	1	0	1	0	1	1
GCF_016765615.1	NZ_JAESWA010000017.1	358692	365547	9423.0000	1	1	0	1	0	1	1
GCF_020908015.1	NZ_JAJJPB010000020.1	37136	44115	9299.0000	1	1	0	1	0	1	1
GCF_018918285.1	NZ_JAHLQF010000003.1	585649	592647	9606.0000	1	1	0	1	0	1	1
GCF_018918155.1	NZ_JAHLPY010000001.1	312359	320745	5888.0000	0	1	0	1	0	1	0
GCF_018917965.1	NZ_JAHLPP010000001.1	938278	943744	6251.0000	1	1	0	1	0	0	0
GCF_018861905.1	NZ_JAHLDU010000010.1	78708	85605	9402.0000	1	1	0	1	0	1	1
GCF_018861755.1	NZ_JAHLEF010000008.1	134908	141822	9492.0000	1	1	0	1	0	1	1
GCF_019203185.1	NZ_CP078093.1	2373195	2380631	11643.0000	1	1	0	1	1	1	1
GCF_021432385.1	NZ_JAEACT010000002.1	1175303	1182777	9455.0000	1	1	0	1	0	1	1
GCF_020443565.1	NZ_JAIZZN010000004.1	51349	58309	9575.0000	1	1	0	1	0	1	1
GCF_020686985.1	NZ_JAJEPU010000020.1	26468	31221	5926.0000	0	1	0	1	0	1	0
GCF_024341925.1	NZ_BQXZ01000002.1	837867	844644	9433.0000	1	1	0	1	0	1	1
GCF_934924865.1	NZ_OW235315.1	873458	881380	11263.0000	1	1	0	1	1	1	1
GCF_023161605.1	NZ_JALNQL010000002.1	460179	466992	11418.0000	1	1	0	1	1	1	1
GCF_023806125.1	NZ_JAMSKT010000006.1	93111	99976	9569.0000	1	1	0	1	0	1	1
GCF_943192995.1	NZ_CALPCP010000015.1	57561	64144	6246.0000	1	1	0	1	0	0	0
GCF_943193115.1	NZ_CALPCY010000007.1	93434	98187	5803.0000	0	1	0	1	0	1	0
GCF_943736985.1	NZ_CALSFS010000005.1	9922	17030	9551.0000	1	1	0	1	0	1	1
GCF_024135845.1	NZ_JAMYJV010000003.1	516503	520316	5131.0000	0	0	0	1	0	1	1
GCF_025398335.1	NZ_JAODOO010000009.1	15841	23008	9457.0000	1	1	0	1	0	1	1
GCF_025567095.1	NZ_JAOQJH010000006.1	99499	104312	5950.0000	0	1	0	1	0	1	0
GCF_025567365.1	NZ_JAOQJG010000008.1	6406	13171	5928.0000	0	1	0	1	0	1	0
GCF_014281125.1	NZ_JACOEA010000001.1	380999	387212	6239.0000	1	1	0	1	0	0	0
GCF_034439435.1	NZ_JAPCKJ010000001.1	943546	950043	9528.0000	1	1	0	1	0	1	1
GCF_026719745.1	NZ_JAPPRQ010000011.1	92185	99003	9492.0000	1	1	0	1	0	1	1
GCF_947568225.1	NZ_CANOOQ010000001.1	853204	858025	6301.0000	1	1	0	1	0	0	0
GCF_947381515.1	NZ_CANCWE010000007.1	108409	115488	9516.0000	1	1	0	1	0	1	1
GCF_026738875.1	NZ_JAPQFJ010000007.1	14207	21085	7729.0000	1	1	0	1	0	0	1
GCF_029542625.1	NZ_CP120733.1	2709789	2717652	11242.0000	1	1	0	1	1	1	1
GCF_030053595.1	NZ_JASGBQ010000003.1	141096	145805	5985.0000	0	1	0	1	0	1	0
GCF_030013905.1	NZ_CP124862.1	5358736	5364164	6494.0000	1	1	0	1	0	0	0
GCF_030263895.1	NZ_CP127161.1	2343316	2350915	11145.0000	1	1	0	1	1	1	1
GCF_046529625.1	NZ_CP132338.1	911061	915054	5243.0000	0	0	0	1	0	1	1
GCF_040088595.1	NZ_JAULJF010000005.1	8514	15836	10835.0000	1	1	0	1	1	1	1
GCF_030644385.1	NZ_CP130060.1	1443506	1448395	5849.0000	0	1	0	1	0	1	0
GCF_030546345.1	NZ_JAUONW010000040.1	96325	102794	10167.0000	1	1	0	1	0	1	1
GCF_033097505.1	NZ_AP028654.1	1680102	1687185	11792.0000	1	1	0	1	1	1	1
GCF_030848475.1	NZ_JAVDDS010000034.1	24118	28632	4952.0000	0	0	0	1	0	1	1
GCF_030913655.1	NZ_CP133189.1	707968	712719	6481.0000	1	1	0	1	0	0	0
GCF_002735925.1	NZ_PEDL01000002.1	131692	135469	5249.0000	0	0	0	1	0	1	1
GCF_031432315.1	NZ_JAVKGO010000001.1	180890	188521	11128.0000	1	1	0	1	1	1	1
GCF_036941135.1	NZ_JAYWSY010000001.1	1115075	1121948	6261.0000	1	1	0	1	0	0	0
GCF_038739695.1	NZ_JBBEWN010000003.1	38916	42629	4714.0000	0	1	1	1	0	0	0
GCF_040096075.1	NZ_JBBMFJ010000036.1	21039	25728	5900.0000	0	1	0	1	0	1	0
GCF_040096055.1	NZ_JBBMFK010000012.1	56093	60928	6290.0000	1	1	0	1	0	0	0
GCF_037572415.1	NZ_JBBHLB010000001.1	328751	338646	6188.0000	1	1	0	1	0	0	0
GCF_037844525.1	NZ_JBBMMD010000047.1	17164	24993	11213.0000	1	1	0	1	1	1	1
GCF_040719375.1	NZ_JBFDTP010000002.1	327401	332131	5961.0000	0	1	0	1	0	1	0
GCF_041205085.1	NZ_JBGEWD010000007.1	111305	118377	9368.0000	1	1	0	1	0	1	1
GCF_041861885.3	NZ_CP175761.1	1358982	1365749	9530.0000	1	1	0	1	0	1	1
GCF_041925195.1	NZ_JBHEVB010000002.1	8990	13786	6208.0000	1	1	0	1	0	0	0
GCF_045310675.1	NZ_JBJHZZ010000006.1	61204	68106	9475.0000	1	1	0	1	0	1	1
GCF_045310525.1	NZ_JBJHZY010000001.1	1492113	1499028	9479.0000	1	1	0	1	0	1	1
GCF_046523925.1	NZ_CP174369.1	1554884	1559817	6316.0000	1	1	0	1	0	0	0
